,doe_male,doe_female,tuple,average_male,average_female,female-male
0,-0.13086309,-0.19755274,"('unsociable', 'sociable')",-0.1308631,-0.1975527,-0.0666896
1,1.0391917,0.99960893,"('unfriendly', 'friendly')",1.0391917,0.9996089,-0.0395828
2,0.2074194,0.30216682,"('unlikable', 'likable')",0.2074194,0.3021668,0.0947474
3,0.80346775,0.82955587,"('repellent', 'pleasant')",0.8034678,0.8295559,0.0260881
4,-7.3395348,-7.4654922,"('disliked', 'liked')",-7.3395348,-7.4654922,-0.1259574
5,-0.5897105,-0.5744769,"('distant', 'outgoing')",-0.5897105,-0.5744769,0.0152336
6,0.093313426,0.07490028,"('distant', 'open')",0.0933134,0.0749003,-0.0184131
7,1.2605193,1.2628409,"('insensitive', 'sensitive')",1.2605193,1.2628409,0.0023216
8,1.0429369,0.90887994,"('unaffectionate', 'affectionate')",1.0429369,0.9088799,-0.134057
9,1.6646633,1.6276047,"('unaffectionate', 'caring')",1.6646633,1.6276047,-0.0370586
10,1.1027837,1.111223,"('unsympathetic', 'sympathetic')",1.1027837,1.111223,0.0084393
11,1.7060144,1.7395608,"('unhelpful', 'helpful')",1.7060144,1.7395608,0.0335464
12,-1.5583085,-1.6285554,"('unsupportive', 'supportive')",-1.5583085,-1.6285554,-0.0702469
13,-0.23210612,-0.2428407,"('impolite', 'polite')",-0.2321061,-0.2428407,-0.0107346
14,0.13227724,0.06535576,"('antisocial', 'social')",0.1322772,0.0653558,-0.0669214
15,0.22502488,0.16902508,"('boring', 'funny')",0.2250249,0.1690251,-0.0559998
16,-0.24581394,-0.27137282,"('unpopular', 'popular')",-0.2458139,-0.2713728,-0.0255589
17,0.033085614,0.039459765,"('nasty', 'nice')",0.0330856,0.0394598,0.0063742
18,-0.33350044,-0.33883244,"('disagreeable', 'welcoming')",-0.3335004,-0.3388324,-0.005332
19,-0.58972436,-0.5408668,"('inhospitable', 'hospitable')",-0.5897244,-0.5408668,0.0488576
20,0.9707738,0.86922294,"('rough', 'thoughtful')",0.9707738,0.8692229,-0.1015509
21,-0.122633375,0.001057554,"('immoral', 'moral')",-0.1226334,0.0010576,0.123691
22,-0.24955234,-0.3036716,"('untrustworthy', 'trustworthy')",-0.2495523,-0.3036716,-0.0541193
23,6.44578,6.473928,"('insincere', 'sincere')",6.4457798,6.473928,0.0281482
24,1.6475284,1.5756004,"('dishonest', 'honest')",1.6475284,1.5756004,-0.071928
25,0.84031737,0.782823,"('egoistic', 'altruistic')",0.8403174,0.782823,-0.0574944
26,0.5135779,0.40021616,"('hardhearted', 'benevolent')",0.5135779,0.4002162,-0.1133617
27,1.6111627,1.4356753,"('hardhearted', 'softhearted')",1.6111627,1.4356753,-0.1754874
28,1.2893507,1.226395,"('disloyal', 'loyal')",1.2893507,1.226395,-0.0629557
29,-0.16928247,-0.2756936,"('unfair', 'fair')",-0.1692825,-0.2756936,-0.1064111
30,0.7815835,0.78356344,"('intolerant', 'tolerant')",0.7815835,0.7835634,0.0019799
31,-1.3016907,-1.3071418,"('evil', 'good')",-1.3016907,-1.3071418,-0.0054511
32,1.2954726,1.2194123,"('unkind', 'kind')",1.2954726,1.2194123,-0.0760603
33,-0.40170392,-0.41257766,"('wrong', 'right')",-0.4017039,-0.4125777,-0.0108738
34,4.584294,4.7374206,"('mean', 'honorable')",4.5842938,4.7374206,0.1531268
35,-0.9085298,-1.1088667,"('corrupt', 'incorrupt')",-0.9085298,-1.1088667,-0.2003369
36,-0.7539782,-0.8531237,"('hostile', 'amicable')",-0.7539782,-0.8531237,-0.0991455
37,0.8015925,0.7863516,"('fake', 'genuine')",0.8015925,0.7863516,-0.0152409
38,-0.13300867,-0.12711348,"('untruthful', 'truthful')",-0.1330087,-0.1271135,0.0058952
39,0.30837828,0.35749668,"('exploitative', 'cooperative')",0.3083783,0.3574967,0.0491184
40,-1.3050194,-1.4724467,"('stingy', 'generous')",-1.3050194,-1.4724467,-0.1674273
41,0.4298826,0.34526986,"('unforgiving', 'forgiving')",0.4298826,0.3452699,-0.0846127
42,-2.1884658,-2.1586199,"('unreliable', 'reliable')",-2.1884658,-2.1586199,0.0298459
43,1.196171,1.2310542,"('irresponsible', 'responsible')",1.196171,1.2310542,0.0348832
44,-1.100022,-1.0706693,"('prejudiced', 'unprejudiced')",-1.100022,-1.0706693,0.0293527
45,0.34678316,0.23792718,"('incompetent', 'competent')",0.3467832,0.2379272,-0.108856
46,-0.49876332,-0.47806403,"('uncompetitive', 'competitive')",-0.4987633,-0.478064,0.0206993
47,5.135062,5.2579894,"('stupid', 'smart')",5.1350622,5.2579894,0.1229272
48,0.64093477,0.57115465,"('unintelligent', 'intelligent')",0.6409348,0.5711547,-0.0697801
49,0.069661304,0.17573695,"('unable', 'able')",0.0696613,0.1757369,0.1060756
50,-0.11154054,-0.11866578,"('clumsy', 'skillful')",-0.1115405,-0.1186658,-0.0071253
51,0.058382884,-2.577901e-06,"('uneducated', 'educated')",0.0583829,-2.6e-06,-0.0583855
52,-0.4994671,-0.5786978,"('irrational', 'rational')",-0.4994671,-0.5786978,-0.0792307
53,0.23528694,0.16404769,"('uncreative', 'creative')",0.2352869,0.1640477,-0.0712392
54,0.7090825,0.81019396,"('incapable', 'capable')",0.7090825,0.810194,0.1011115
55,0.8253708,0.8281552,"('incompetent', 'clever')",0.8253708,0.8281552,0.0027844
56,0.45446557,0.5076493,"('impractical', 'practical')",0.4544656,0.5076493,0.0531837
57,-2.7301939,-2.7509322,"('unimaginative', 'imaginative')",-2.7301939,-2.7509322,-0.0207383
58,0.0945144,0.009317104,"('undiscriminating', 'discriminating')",0.0945144,0.0093171,-0.0851973
59,0.06250925,0.11165558,"('foolish', 'wise')",0.0625093,0.1116556,0.0491463
60,0.64223665,0.7271332,"('inefficient', 'efficient')",0.6422366,0.7271332,0.0848966
61,0.6102675,0.40956247,"('illogical', 'logical')",0.6102675,0.4095625,-0.200705
62,0.6836773,0.7114181,"('incompetent', 'brilliant')",0.6836773,0.7114181,0.0277408
