,eqt_male,eqt_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.8682954,-1.1143472,"('unsociable', 'sociable')",-0.15540071,-0.3536213,-0.511848,-0.7339842,-0.2221362
1,-1.9687203,-1.982567,"('unfriendly', 'friendly')",1.3649133,1.1860242,-0.3019035,-0.3982714,-0.0963679
2,0.4396758,0.32994527,"('unlikable', 'likable')",0.65222245,0.64142597,0.5459491,0.4856856,-0.0602635
3,-0.1770925,-0.105092876,"('repellent', 'pleasant')",1.0005903,0.99171585,0.4117489,0.4433115,0.0315626
4,0.014639791,0.025273174,"('disliked', 'liked')",-6.993463,-7.132295,-3.4894116,-3.5535109,-0.0640993
5,-1.2109125,-1.069527,"('distant', 'outgoing')",-0.69794273,-0.6138063,-0.9544276,-0.8416667,0.1127609
6,-1.4047487,-1.2058957,"('distant', 'open')",-0.5935448,-0.47040233,-0.9991467,-0.838149,0.1609977
7,-0.5002371,-0.43858987,"('insensitive', 'sensitive')",0.33795765,0.3873079,-0.0811397,-0.025641,0.0554987
8,-1.590046,-1.6241443,"('unaffectionate', 'affectionate')",0.6460314,0.63448066,-0.4720073,-0.4948318,-0.0228245
9,-1.8272414,-1.8249905,"('unaffectionate', 'caring')",1.1124575,1.197772,-0.357392,-0.3136092,0.0437828
10,-0.834065,-0.88043493,"('unsympathetic', 'sympathetic')",-0.36409357,-0.31928036,-0.5990793,-0.5998576,-0.0007783
11,-0.02236266,-0.16054806,"('unhelpful', 'helpful')",1.8007225,1.9079148,0.8891799,0.8736833,-0.0154966
12,-0.47906676,-0.37671018,"('unsupportive', 'supportive')",-2.2983787,-2.284383,-1.3887228,-1.3305466,0.0581762
13,-0.38888124,-0.581501,"('impolite', 'polite')",-0.7790693,-0.7610444,-0.5839753,-0.6712727,-0.0872974
14,0.31218478,0.20949773,"('antisocial', 'social')",0.09058751,-0.100662164,0.2013862,0.0544178,-0.1469684
15,0.18267787,0.051314212,"('boring', 'funny')",-0.0088690445,-0.051396966,0.0869044,-4.14e-05,-0.0869458
16,-0.24063453,-0.2138519,"('unpopular', 'popular')",0.5082659,0.46021998,0.1338157,0.123184,-0.0106317
17,-0.076794796,-0.011136388,"('nasty', 'nice')",-0.5676248,-0.59092915,-0.3222098,-0.3010328,0.021177
18,-1.1285038,-1.1203837,"('disagreeable', 'welcoming')",-0.58460844,-0.68876153,-0.8565561,-0.9045726,-0.0480165
19,-1.0992749,-1.0316452,"('inhospitable', 'hospitable')",-0.60051227,-0.4881626,-0.8498936,-0.7599039,0.0899897
20,0.6413437,0.61160755,"('rough', 'thoughtful')",0.9197262,0.88573587,0.780535,0.7486717,-0.0318633
21,0.3684392,0.2424589,"('immoral', 'moral')",-0.41268218,-0.41974914,-0.0221215,-0.0886451,-0.0665236
22,-0.14397503,-0.21497664,"('untrustworthy', 'trustworthy')",-1.2233436,-1.2455469,-0.6836593,-0.7302618,-0.0466025
23,-0.650467,-0.7342335,"('insincere', 'sincere')",6.3409486,6.348265,2.8452408,2.8070159,-0.0382249
24,-0.53362566,-0.5905272,"('dishonest', 'honest')",0.65329266,0.72987676,0.0598335,0.0696748,0.0098413
25,-0.8490162,-0.8903425,"('egoistic', 'altruistic')",0.9611733,0.8305275,0.0560786,-0.0299075,-0.0859861
26,-0.45768762,-0.61967146,"('hardhearted', 'benevolent')",1.6485476,1.3961465,0.59543,0.3882375,-0.2071925
27,-0.66907734,-0.57173705,"('hardhearted', 'softhearted')",1.116342,1.0638431,0.2236323,0.246053,0.0224207
28,-0.5721286,-0.61615145,"('disloyal', 'loyal')",1.4460453,1.3415464,0.4369583,0.3626975,-0.0742608
29,-0.2934602,-0.2401663,"('unfair', 'fair')",-0.47306436,-0.60413206,-0.3832623,-0.4221492,-0.0388869
30,0.7374581,0.5847733,"('intolerant', 'tolerant')",1.002797,0.99665964,0.8701276,0.7907165,-0.0794111
31,-1.2812049,-1.086825,"('evil', 'good')",-0.94100237,-1.0865877,-1.1111037,-1.0867064,0.0243973
32,-0.35336664,-0.56054664,"('unkind', 'kind')",0.848855,0.63854843,0.2477442,0.0390009,-0.2087433
33,-0.16689545,-0.16585661,"('wrong', 'right')",-0.982676,-1.014133,-0.5747857,-0.5899948,-0.0152091
34,-0.15860422,-0.048628375,"('mean', 'honorable')",6.0088735,6.243692,2.9251347,3.0975318,0.1723971
35,-0.2695216,-0.19758688,"('corrupt', 'incorrupt')",-0.7045776,-0.7611987,-0.4870496,-0.4793928,0.0076568
36,-0.9991153,-0.95864785,"('hostile', 'amicable')",-0.13713948,-0.3030059,-0.5681274,-0.6308269,-0.0626995
37,-0.21208897,-0.1977156,"('fake', 'genuine')",0.022159867,0.119841784,-0.0949645,-0.0389369,0.0560276
