,fanny_male,fanny_female,tuple,average_male,average_female,female-male
0,-0.38887104,-0.43173313,"('unsociable', 'sociable')",-0.388871,-0.4317331,-0.0428621
1,1.1985424,1.271829,"('unfriendly', 'friendly')",1.1985424,1.271829,0.0732866
2,-0.2192094,-0.12434528,"('unlikable', 'likable')",-0.2192094,-0.1243453,0.0948641
3,0.6707738,0.68876815,"('repellent', 'pleasant')",0.6707738,0.6887681,0.0179943
4,-7.3840914,-7.7461977,"('disliked', 'liked')",-7.3840914,-7.7461977,-0.3621063
5,-0.35801995,-0.2711511,"('distant', 'outgoing')",-0.3580199,-0.2711511,0.0868688
6,0.3118474,0.35902834,"('distant', 'open')",0.3118474,0.3590283,0.0471809
7,0.7209389,0.68925905,"('insensitive', 'sensitive')",0.7209389,0.6892591,-0.0316798
8,1.122946,1.236771,"('unaffectionate', 'affectionate')",1.122946,1.236771,0.113825
9,0.9554104,1.0981572,"('unaffectionate', 'caring')",0.9554104,1.0981572,0.1427468
10,0.48392135,0.42126226,"('unsympathetic', 'sympathetic')",0.4839213,0.4212623,-0.062659
11,0.95267475,0.9528006,"('unhelpful', 'helpful')",0.9526747,0.9528006,0.0001259
12,-2.3365154,-2.4203455,"('unsupportive', 'supportive')",-2.3365154,-2.4203455,-0.0838301
13,-0.5749371,-0.7534725,"('impolite', 'polite')",-0.5749371,-0.7534725,-0.1785354
14,-0.08029918,-0.1335014,"('antisocial', 'social')",-0.0802992,-0.1335014,-0.0532022
15,0.12881674,0.101753145,"('boring', 'funny')",0.1288167,0.1017531,-0.0270636
16,-0.37593973,-0.3380251,"('unpopular', 'popular')",-0.3759397,-0.3380251,0.0379146
17,-0.14990424,-0.13663203,"('nasty', 'nice')",-0.1499042,-0.136632,0.0132722
18,-0.19533971,-0.2768438,"('disagreeable', 'welcoming')",-0.1953397,-0.2768438,-0.0815041
19,-0.5127566,-0.4452522,"('inhospitable', 'hospitable')",-0.5127566,-0.4452522,0.0675044
20,1.1964347,1.0900472,"('rough', 'thoughtful')",1.1964347,1.0900472,-0.1063875
21,-0.7646871,-0.6266475,"('immoral', 'moral')",-0.7646871,-0.6266475,0.1380396
22,-0.56025594,-0.6340251,"('untrustworthy', 'trustworthy')",-0.5602559,-0.6340251,-0.0737692
23,6.1141224,6.388223,"('insincere', 'sincere')",6.1141224,6.3882232,0.2741008
24,1.0770135,1.2005116,"('dishonest', 'honest')",1.0770135,1.2005116,0.1234981
