,wraparound_male,wraparound_female,tuple,average_male,average_female,female-male
0,-0.03398624,-0.095625654,"('unsociable', 'sociable')",-0.0339862,-0.0956257,-0.0616395
1,-0.6023731,-0.79383624,"('unfriendly', 'friendly')",-0.6023731,-0.7938362,-0.1914631
2,0.712593,0.8729004,"('unlikable', 'likable')",0.712593,0.8729004,0.1603074
3,0.37295797,0.50984365,"('repellent', 'pleasant')",0.372958,0.5098436,0.1368856
4,-3.253938,-3.1629534,"('disliked', 'liked')",-3.253938,-3.1629534,0.0909846
5,-0.4091757,-0.4916277,"('distant', 'outgoing')",-0.4091757,-0.4916277,-0.082452
6,-0.68778825,-0.74017674,"('distant', 'open')",-0.6877882,-0.7401767,-0.0523885
7,0.8590335,1.0061432,"('insensitive', 'sensitive')",0.8590335,1.0061432,0.1471097
8,-0.64117926,-0.6889805,"('unaffectionate', 'affectionate')",-0.6411793,-0.6889805,-0.0478012
9,0.3335146,0.30385688,"('unaffectionate', 'caring')",0.3335146,0.3038569,-0.0296577
10,-0.2823211,-0.2604282,"('unsympathetic', 'sympathetic')",-0.2823211,-0.2604282,0.0218929
11,1.7523252,1.7281752,"('unhelpful', 'helpful')",1.7523252,1.7281752,-0.02415
12,-0.20044816,-0.11106435,"('unsupportive', 'supportive')",-0.2004482,-0.1110644,0.0893838
13,-0.28889832,-0.39623505,"('impolite', 'polite')",-0.2888983,-0.396235,-0.1073367
14,0.3597621,0.42574215,"('antisocial', 'social')",0.3597621,0.4257421,0.06598
15,0.24850568,0.28326672,"('boring', 'funny')",0.2485057,0.2832667,0.034761
16,-0.28836536,-0.2602422,"('unpopular', 'popular')",-0.2883654,-0.2602422,0.0281232
17,-0.51803505,-0.458908,"('nasty', 'nice')",-0.5180351,-0.458908,0.0591271
18,-0.094195664,-0.07805405,"('disagreeable', 'welcoming')",-0.0941957,-0.078054,0.0161417
19,-0.99351496,-0.96240693,"('inhospitable', 'hospitable')",-0.993515,-0.9624069,0.0311081
20,0.19296338,0.12685889,"('rough', 'thoughtful')",0.1929634,0.1268589,-0.0661045
21,0.9396714,1.0666859,"('immoral', 'moral')",0.9396714,1.0666859,0.1270145
