,bowler_male,bowler_female,tuple,average_male,average_female,female-male
0,0.34159476,0.2961033,"('unsociable', 'sociable')",0.3415948,0.2961033,-0.0454915
1,1.4089872,1.525666,"('unfriendly', 'friendly')",1.4089872,1.525666,0.1166788
2,-0.11737166,0.11179711,"('unlikable', 'likable')",-0.1173717,0.1117971,0.2291688
3,0.9919348,1.053365,"('repellent', 'pleasant')",0.9919348,1.053365,0.0614302
4,-7.1334143,-7.3421683,"('disliked', 'liked')",-7.1334143,-7.3421683,-0.208754
5,-0.42503637,-0.19172582,"('distant', 'outgoing')",-0.4250364,-0.1917258,0.2333106
6,-0.01291446,0.16306065,"('distant', 'open')",-0.0129145,0.1630607,0.1759752
7,1.6183586,1.6206944,"('insensitive', 'sensitive')",1.6183586,1.6206944,0.0023358
8,0.95582426,1.075736,"('unaffectionate', 'affectionate')",0.9558243,1.075736,0.1199117
9,1.3290396,1.6026893,"('unaffectionate', 'caring')",1.3290396,1.6026893,0.2736497
10,1.3382387,1.33274,"('unsympathetic', 'sympathetic')",1.3382387,1.3327399,-0.0054988
11,1.8240563,2.039752,"('unhelpful', 'helpful')",1.8240563,2.039752,0.2156957
12,-1.3965315,-1.2161961,"('unsupportive', 'supportive')",-1.3965315,-1.2161961,0.1803354
13,0.35449448,0.40883008,"('impolite', 'polite')",0.3544945,0.4088301,0.0543356
14,0.35913992,0.22218476,"('antisocial', 'social')",0.3591399,0.2221848,-0.1369551
15,0.70702463,0.6332445,"('boring', 'funny')",0.7070246,0.6332445,-0.0737801
16,-0.65039253,-0.50861657,"('unpopular', 'popular')",-0.6503925,-0.5086166,0.1417759
17,-0.30632135,-0.24621718,"('nasty', 'nice')",-0.3063214,-0.2462172,0.0601042
18,-0.27623856,-0.11621925,"('disagreeable', 'welcoming')",-0.2762386,-0.1162193,0.1600193
19,-0.6049672,-0.3947833,"('inhospitable', 'hospitable')",-0.6049672,-0.3947833,0.2101839
20,0.71310925,0.50159264,"('rough', 'thoughtful')",0.7131093,0.5015926,-0.2115167
21,0.2200492,0.3767025,"('immoral', 'moral')",0.2200492,0.3767025,0.1566533
22,-0.17190956,-0.10575427,"('untrustworthy', 'trustworthy')",-0.1719096,-0.1057543,0.0661553
23,6.6839705,6.983782,"('insincere', 'sincere')",6.6839705,6.9837818,0.2998113
24,1.6907654,1.8351692,"('dishonest', 'honest')",1.6907654,1.8351692,0.1444038
25,0.8233373,0.86837137,"('egoistic', 'altruistic')",0.8233373,0.8683714,0.0450341
26,1.0442965,0.69625115,"('hardhearted', 'benevolent')",1.0442965,0.6962512,-0.3480453
27,1.8109816,1.6554158,"('hardhearted', 'softhearted')",1.8109816,1.6554158,-0.1555658
28,1.3366787,1.2492124,"('disloyal', 'loyal')",1.3366787,1.2492124,-0.0874663
29,-0.70972866,-0.8119015,"('unfair', 'fair')",-0.7097287,-0.8119015,-0.1021728
30,1.1438143,1.1703963,"('intolerant', 'tolerant')",1.1438143,1.1703963,0.026582
31,-1.5457307,-1.5462866,"('evil', 'good')",-1.5457307,-1.5462866,-0.0005559
32,1.4255122,1.3369756,"('unkind', 'kind')",1.4255122,1.3369756,-0.0885366
33,-0.4930346,-0.3553921,"('wrong', 'right')",-0.4930346,-0.3553921,0.1376425
34,4.415279,4.8881745,"('mean', 'honorable')",4.4152789,4.8881745,0.4728956
35,-1.1990513,-1.4366072,"('corrupt', 'incorrupt')",-1.1990513,-1.4366072,-0.2375559
36,-1.2938955,-1.3846704,"('hostile', 'amicable')",-1.2938955,-1.3846704,-0.0907749
37,1.3965296,1.3322514,"('fake', 'genuine')",1.3965296,1.3322514,-0.0642782
38,-0.14622062,0.06271568,"('untruthful', 'truthful')",-0.1462206,0.0627157,0.2089363
39,0.44870162,0.41506362,"('exploitative', 'cooperative')",0.4487016,0.4150636,-0.033638
40,-0.9074042,-1.0110085,"('stingy', 'generous')",-0.9074042,-1.0110085,-0.1036043
41,0.20678774,0.061312478,"('unforgiving', 'forgiving')",0.2067877,0.0613125,-0.1454752
42,-1.9608312,-1.9780623,"('unreliable', 'reliable')",-1.9608312,-1.9780623,-0.0172311
43,1.2601439,1.3948333,"('irresponsible', 'responsible')",1.2601439,1.3948333,0.1346894
44,-1.1305503,-1.3391604,"('prejudiced', 'unprejudiced')",-1.1305503,-1.3391604,-0.2086101
