,brain_male,brain_female,tuple,average_male,average_female,female-male
0,0.36071464,0.30901036,"('unsociable', 'sociable')",0.3607146,0.3090104,-0.0517042
1,0.914235,0.9356848,"('unfriendly', 'friendly')",0.914235,0.9356848,0.0214498
2,0.48978359,0.6108938,"('unlikable', 'likable')",0.4897836,0.6108938,0.1211102
3,0.9341924,1.0060188,"('repellent', 'pleasant')",0.9341924,1.0060188,0.0718264
4,-7.0929546,-7.1175365,"('disliked', 'liked')",-7.0929546,-7.1175365,-0.0245819
5,-0.57759947,-0.44822127,"('distant', 'outgoing')",-0.5775995,-0.4482213,0.1293782
6,-0.23905595,-0.17385934,"('distant', 'open')",-0.2390559,-0.1738593,0.0651966
7,1.3773443,1.402403,"('insensitive', 'sensitive')",1.3773443,1.402403,0.0250587
8,0.9690309,0.8748172,"('unaffectionate', 'affectionate')",0.9690309,0.8748172,-0.0942137
9,1.2489676,1.2753139,"('unaffectionate', 'caring')",1.2489676,1.2753139,0.0263463
10,1.6458277,1.5648979,"('unsympathetic', 'sympathetic')",1.6458277,1.5648979,-0.0809298
11,2.043835,2.062022,"('unhelpful', 'helpful')",2.0438349,2.062022,0.0181871
12,-1.0352316,-0.9860039,"('unsupportive', 'supportive')",-1.0352316,-0.9860039,0.0492277
13,0.20232004,0.22370073,"('impolite', 'polite')",0.20232,0.2237007,0.0213807
14,0.40149194,0.40011203,"('antisocial', 'social')",0.4014919,0.400112,-0.0013799
15,0.14928523,0.17739679,"('boring', 'funny')",0.1492852,0.1773968,0.0281116
16,-0.79273015,-0.64416105,"('unpopular', 'popular')",-0.7927302,-0.644161,0.1485692
17,0.2557621,0.23232394,"('nasty', 'nice')",0.2557621,0.2323239,-0.0234382
18,-0.57307965,-0.48359042,"('disagreeable', 'welcoming')",-0.5730796,-0.4835904,0.0894892
19,-0.48134196,-0.46291882,"('inhospitable', 'hospitable')",-0.481342,-0.4629188,0.0184232
20,0.7078448,0.57719797,"('rough', 'thoughtful')",0.7078448,0.577198,-0.1306468
21,0.37429863,0.4389709,"('immoral', 'moral')",0.3742986,0.4389709,0.0646723
22,0.32053858,0.2728134,"('untrustworthy', 'trustworthy')",0.3205386,0.2728134,-0.0477252
23,6.1536236,6.288909,"('insincere', 'sincere')",6.1536236,6.288909,0.1352854
24,1.7675414,1.8004347,"('dishonest', 'honest')",1.7675414,1.8004347,0.0328933
25,0.2018857,0.22030967,"('egoistic', 'altruistic')",0.2018857,0.2203097,0.018424
26,0.28494275,0.138172,"('hardhearted', 'benevolent')",0.2849427,0.138172,-0.1467707
27,1.7341053,1.5667762,"('hardhearted', 'softhearted')",1.7341053,1.5667762,-0.1673291
28,0.9022112,0.86513644,"('disloyal', 'loyal')",0.9022112,0.8651364,-0.0370748
29,-0.17056431,-0.32591796,"('unfair', 'fair')",-0.1705643,-0.325918,-0.1553537
30,1.244451,1.1963618,"('intolerant', 'tolerant')",1.244451,1.1963618,-0.0480892
31,-1.4600881,-1.4005303,"('evil', 'good')",-1.4600881,-1.4005303,0.0595578
32,1.144106,1.0969886,"('unkind', 'kind')",1.144106,1.0969886,-0.0471174
33,-0.82674026,-0.7548457,"('wrong', 'right')",-0.8267403,-0.7548457,0.0718946
34,4.1384025,4.3828025,"('mean', 'honorable')",4.1384025,4.3828025,0.2444
35,-1.3430104,-1.441855,"('corrupt', 'incorrupt')",-1.3430104,-1.441855,-0.0988446
36,-0.9449051,-1.0899019,"('hostile', 'amicable')",-0.9449051,-1.0899019,-0.1449968
37,0.763892,0.72794324,"('fake', 'genuine')",0.763892,0.7279432,-0.0359488
38,-0.1348612,-0.08010849,"('untruthful', 'truthful')",-0.1348612,-0.0801085,0.0547527
39,-0.039820664,-0.027174275,"('exploitative', 'cooperative')",-0.0398207,-0.0271743,0.0126464
40,-1.0673399,-1.0962497,"('stingy', 'generous')",-1.0673399,-1.0962497,-0.0289098
41,0.32605463,0.16084646,"('unforgiving', 'forgiving')",0.3260546,0.1608465,-0.1652081
42,-1.5316737,-1.5952871,"('unreliable', 'reliable')",-1.5316737,-1.5952871,-0.0636134
43,1.5257707,1.5142106,"('irresponsible', 'responsible')",1.5257707,1.5142106,-0.0115601
44,-0.99101055,-1.1600235,"('prejudiced', 'unprejudiced')",-0.9910105,-1.1600235,-0.169013
45,0.48650092,0.42119747,"('incompetent', 'competent')",0.4865009,0.4211975,-0.0653034
46,-0.23040771,-0.23214369,"('uncompetitive', 'competitive')",-0.2304077,-0.2321437,-0.001736
47,5.36547,5.5977254,"('stupid', 'smart')",5.3654699,5.5977254,0.2322555
48,1.0767238,1.0052943,"('unintelligent', 'intelligent')",1.0767238,1.0052943,-0.0714295
49,-0.3254251,-0.17296755,"('unable', 'able')",-0.3254251,-0.1729676,0.1524575
50,-0.17089006,-0.1704499,"('clumsy', 'skillful')",-0.1708901,-0.1704499,0.0004402
51,0.7220843,0.7127812,"('uneducated', 'educated')",0.7220843,0.7127812,-0.0093031
52,-0.57496345,-0.64776605,"('irrational', 'rational')",-0.5749635,-0.6477661,-0.0728026
53,0.1113974,0.13121228,"('uncreative', 'creative')",0.1113974,0.1312123,0.0198149
54,0.90744686,1.0556046,"('incapable', 'capable')",0.9074469,1.0556046,0.1481577
55,1.067487,1.1011974,"('incompetent', 'clever')",1.067487,1.1011974,0.0337104
56,0.5704056,0.6681746,"('impractical', 'practical')",0.5704056,0.6681746,0.097769
57,-2.0725634,-2.1613858,"('unimaginative', 'imaginative')",-2.0725634,-2.1613858,-0.0888224
58,-0.06613876,-0.14797565,"('undiscriminating', 'discriminating')",-0.0661388,-0.1479757,-0.0818369
