,salsa_male,salsa_female,tuple,average_male,average_female,female-male
0,0.23860343,0.14760295,"('unsociable', 'sociable')",0.2386034,0.1476029,-0.0910005
1,0.8438069,0.8043246,"('unfriendly', 'friendly')",0.8438069,0.8043246,-0.0394823
2,0.31097808,0.47270757,"('unlikable', 'likable')",0.3109781,0.4727076,0.1617295
3,1.1044697,1.121086,"('repellent', 'pleasant')",1.1044697,1.121086,0.0166163
4,-7.2012024,-7.300846,"('disliked', 'liked')",-7.2012024,-7.3008461,-0.0996437
5,-0.784643,-0.7427947,"('distant', 'outgoing')",-0.784643,-0.7427947,0.0418483
6,-0.35013756,-0.3546634,"('distant', 'open')",-0.3501376,-0.3546634,-0.0045258
7,1.1744442,1.1910902,"('insensitive', 'sensitive')",1.1744442,1.1910902,0.016646
8,0.79217345,0.7543005,"('unaffectionate', 'affectionate')",0.7921734,0.7543005,-0.0378729
9,1.2671105,1.3034881,"('unaffectionate', 'caring')",1.2671105,1.3034881,0.0363776
10,1.4700814,1.4605905,"('unsympathetic', 'sympathetic')",1.4700814,1.4605905,-0.0094909
11,1.5344756,1.5546297,"('unhelpful', 'helpful')",1.5344756,1.5546297,0.0201541
12,-1.5402064,-1.5460778,"('unsupportive', 'supportive')",-1.5402064,-1.5460778,-0.0058714
13,0.30859554,0.27779588,"('impolite', 'polite')",0.3085955,0.2777959,-0.0307996
14,0.26659948,0.16052435,"('antisocial', 'social')",0.2665995,0.1605244,-0.1060751
15,0.13329732,0.08446722,"('boring', 'funny')",0.1332973,0.0844672,-0.0488301
16,-0.32945287,-0.3156979,"('unpopular', 'popular')",-0.3294529,-0.3156979,0.013755
17,-0.20003004,-0.14998457,"('nasty', 'nice')",-0.20003,-0.1499846,0.0500454
18,-0.13345388,-0.16809994,"('disagreeable', 'welcoming')",-0.1334539,-0.1680999,-0.034646
19,-1.1256009,-1.0481735,"('inhospitable', 'hospitable')",-1.1256009,-1.0481735,0.0774274
20,0.9748824,0.8778095,"('rough', 'thoughtful')",0.9748824,0.8778095,-0.0970729
21,0.23193884,0.3258031,"('immoral', 'moral')",0.2319388,0.3258031,0.0938643
22,-0.035216823,-0.089338146,"('untrustworthy', 'trustworthy')",-0.0352168,-0.0893381,-0.0541213
23,5.9506855,5.9927025,"('insincere', 'sincere')",5.9506855,5.9927025,0.042017
24,1.6085545,1.5532031,"('dishonest', 'honest')",1.6085545,1.5532031,-0.0553514
25,0.4135357,0.40677932,"('egoistic', 'altruistic')",0.4135357,0.4067793,-0.0067564
26,0.4259019,0.31795305,"('hardhearted', 'benevolent')",0.4259019,0.3179531,-0.1079488
27,1.67254,1.4813869,"('hardhearted', 'softhearted')",1.6725399,1.4813869,-0.191153
28,0.9537937,0.91582835,"('disloyal', 'loyal')",0.9537937,0.9158283,-0.0379654
29,-0.7504011,-0.7982346,"('unfair', 'fair')",-0.7504011,-0.7982346,-0.0478335
30,0.9581831,0.9603027,"('intolerant', 'tolerant')",0.9581831,0.9603027,0.0021196
31,-1.5809158,-1.5622859,"('evil', 'good')",-1.5809158,-1.5622859,0.0186299
32,1.0796075,1.0227972,"('unkind', 'kind')",1.0796075,1.0227972,-0.0568103
33,-0.72680223,-0.70588356,"('wrong', 'right')",-0.7268022,-0.7058836,0.0209186
34,4.2180114,4.3944325,"('mean', 'honorable')",4.2180114,4.3944325,0.1764211
35,-1.4562491,-1.622169,"('corrupt', 'incorrupt')",-1.4562491,-1.622169,-0.1659199
36,-1.0197226,-1.0495646,"('hostile', 'amicable')",-1.0197226,-1.0495646,-0.029842
37,0.84508276,0.8678362,"('fake', 'genuine')",0.8450828,0.8678362,0.0227534
38,-0.66693217,-0.62210613,"('untruthful', 'truthful')",-0.6669322,-0.6221061,0.0448261
39,0.38838625,0.38591853,"('exploitative', 'cooperative')",0.3883862,0.3859185,-0.0024677
40,-0.97381115,-1.1298003,"('stingy', 'generous')",-0.9738111,-1.1298003,-0.1559892
41,0.20098613,0.17457119,"('unforgiving', 'forgiving')",0.2009861,0.1745712,-0.0264149
42,-1.4963847,-1.4981885,"('unreliable', 'reliable')",-1.4963847,-1.4981885,-0.0018038
43,1.2965978,1.3262042,"('irresponsible', 'responsible')",1.2965978,1.3262042,0.0296064
44,-0.8059174,-0.8004206,"('prejudiced', 'unprejudiced')",-0.8059174,-0.8004206,0.0054968
45,0.2653185,0.18498969,"('incompetent', 'competent')",0.2653185,0.1849897,-0.0803288
46,0.14441858,0.13092285,"('uncompetitive', 'competitive')",0.1444186,0.1309229,-0.0134957
47,4.5779786,4.7308307,"('stupid', 'smart')",4.5779786,4.7308307,0.1528521
48,0.52030295,0.4398274,"('unintelligent', 'intelligent')",0.520303,0.4398274,-0.0804756
49,-0.0681954,0.056511715,"('unable', 'able')",-0.0681954,0.0565117,0.1247071
50,-0.22432688,-0.19060709,"('clumsy', 'skillful')",-0.2243269,-0.1906071,0.0337198
51,0.17584315,0.10481548,"('uneducated', 'educated')",0.1758431,0.1048155,-0.0710276
52,-0.66076493,-0.7314404,"('irrational', 'rational')",-0.6607649,-0.7314404,-0.0706755
53,-0.044898503,-0.02387339,"('uncreative', 'creative')",-0.0448985,-0.0238734,0.0210251
54,0.6768515,0.8215195,"('incapable', 'capable')",0.6768515,0.8215195,0.144668
55,1.12273,1.0971849,"('incompetent', 'clever')",1.12273,1.0971849,-0.0255451
56,0.61057395,0.58430845,"('impractical', 'practical')",0.6105739,0.5843084,-0.0262655
57,-2.3013945,-2.2888844,"('unimaginative', 'imaginative')",-2.3013945,-2.2888844,0.0125101
58,0.19969964,0.17269737,"('undiscriminating', 'discriminating')",0.1996996,0.1726974,-0.0270022
59,-0.40777576,-0.3547585,"('foolish', 'wise')",-0.4077758,-0.3547585,0.0530173
60,0.9908664,1.0638151,"('inefficient', 'efficient')",0.9908664,1.0638151,0.0729487
61,0.25278664,0.10619346,"('illogical', 'logical')",0.2527866,0.1061935,-0.1465931
62,0.9196019,0.9609493,"('incompetent', 'brilliant')",0.9196019,0.9609493,0.0413474
63,0.26056054,0.3030719,"('unperceptive', 'insightful')",0.2605605,0.3030719,0.0425114
64,-5.5476313,-5.547888,"('shy', 'confident')",-5.5476313,-5.5478878,-0.0002565
65,1.1971433,1.203938,"('insecure', 'secure')",1.1971433,1.203938,0.0067947
66,-0.13502263,-0.16587885,"('inactive', 'active')",-0.1350226,-0.1658788,-0.0308562
67,-0.70321935,-0.60891473,"('doubtful', 'determined')",-0.7032194,-0.6089147,0.0943047
68,-0.53314453,-0.5571102,"('dependent', 'independent')",-0.5331445,-0.5571102,-0.0239657
69,-2.0747473,-2.0555627,"('lazy', 'industrious')",-2.0747473,-2.0555627,0.0191846
70,1.8006067,1.7654297,"('lethargic', 'energetic')",1.8006067,1.7654297,-0.035177
71,0.32288447,0.351001,"('diffident', 'self-confident')",0.3228845,0.351001,0.0281165
72,0.9346238,1.0356908,"('unambitious', 'ambitious')",0.9346238,1.0356908,0.101067
73,-2.9009693,-2.8823466,"('helpless', 'self-reliant')",-2.9009693,-2.8823466,0.0186227
74,0.10677424,-0.006280087,"('undedicated', 'dedicated')",0.1067742,-0.0062801,-0.1130543
75,-0.9747198,-0.7816149,"('meek', 'impulsive')",-0.9747198,-0.7816149,0.1931049
76,0.9734981,0.9796112,"('anxious', 'daring')",0.9734981,0.9796112,0.0061131
77,-1.2405906,-1.0884501,"('unmotivated', 'motivated')",-1.2405906,-1.0884501,0.1521405
78,-0.723624,-0.7677463,"('nonresilient', 'resilient')",-0.723624,-0.7677463,-0.0441223
79,-0.76263535,-0.6731719,"('wavering', 'unwavering')",-0.7626354,-0.6731719,0.0894635
80,-0.0016078111,-0.08735564,"('dominated', 'dominating')",-0.0016078,-0.0873556,-0.0857478
81,0.38793623,0.43070942,"('submissive', 'aggressive')",0.3879362,0.4307094,0.0427732
82,6.0775657,6.222297,"('poor', 'rich')",6.0775657,6.2222972,0.1447315
83,-0.4161508,-0.3985416,"('powerless', 'powerful')",-0.4161508,-0.3985416,0.0176092
84,0.090907186,0.13532048,"('inferior', 'superior')",0.0909072,0.1353205,0.0444133
85,-1.2890269,-1.3235439,"('insignificant', 'prestigious')",-1.2890269,-1.3235439,-0.034517
86,0.47484422,0.43930358,"('uninfluential', 'influential')",0.4748442,0.4393036,-0.0355406
87,-0.24827151,-0.23064867,"('unsuccessful', 'successful')",-0.2482715,-0.2306487,0.0176228
88,-0.08341964,-0.07944826,"('low', 'eminent')",-0.0834196,-0.0794483,0.0039713
