,sibling_male,sibling_female,tuple,average_male,average_female,female-male
0,0.7597029,0.6358719,"('unsociable', 'sociable')",0.7597029,0.6358719,-0.123831
1,0.7694207,0.7251898,"('unfriendly', 'friendly')",0.7694207,0.7251898,-0.0442309
2,-0.09405566,0.0119406525,"('unlikable', 'likable')",-0.0940557,0.0119407,0.1059964
3,0.9061097,1.0492829,"('repellent', 'pleasant')",0.9061097,1.0492829,0.1431732
4,-7.0416994,-7.322114,"('disliked', 'liked')",-7.0416994,-7.322114,-0.2804146
5,-0.95848155,-0.9775132,"('distant', 'outgoing')",-0.9584816,-0.9775132,-0.0190316
6,-0.5716495,-0.69428736,"('distant', 'open')",-0.5716495,-0.6942874,-0.1226379
7,1.6119357,1.6087905,"('insensitive', 'sensitive')",1.6119357,1.6087905,-0.0031452
8,0.57017773,0.540791,"('unaffectionate', 'affectionate')",0.5701777,0.540791,-0.0293867
9,0.8589389,0.90191776,"('unaffectionate', 'caring')",0.8589389,0.9019178,0.0429789
10,1.410787,1.417135,"('unsympathetic', 'sympathetic')",1.410787,1.417135,0.006348
11,1.7148201,1.8148382,"('unhelpful', 'helpful')",1.7148201,1.8148382,0.1000181
12,-1.4086792,-1.4152408,"('unsupportive', 'supportive')",-1.4086792,-1.4152408,-0.0065616
13,0.4293337,0.57157594,"('impolite', 'polite')",0.4293337,0.5715759,0.1422422
14,0.77539575,0.69444114,"('antisocial', 'social')",0.7753958,0.6944411,-0.0809547
15,0.47509927,0.40708017,"('boring', 'funny')",0.4750993,0.4070802,-0.0680191
16,-1.1052183,-1.1833878,"('unpopular', 'popular')",-1.1052183,-1.1833878,-0.0781695
17,-0.21583077,-0.2791579,"('nasty', 'nice')",-0.2158308,-0.2791579,-0.0633271
18,-0.4143253,-0.328618,"('disagreeable', 'welcoming')",-0.4143253,-0.328618,0.0857073
19,-1.2294229,-1.2233472,"('inhospitable', 'hospitable')",-1.2294229,-1.2233472,0.0060757
20,0.7254864,0.6546756,"('rough', 'thoughtful')",0.7254864,0.6546756,-0.0708108
21,0.21916805,0.3918932,"('immoral', 'moral')",0.2191681,0.3918932,0.1727251
22,0.2878182,0.25191042,"('untrustworthy', 'trustworthy')",0.2878182,0.2519104,-0.0359078
23,5.929115,6.186637,"('insincere', 'sincere')",5.9291148,6.1866369,0.2575221
24,1.2970945,1.2955705,"('dishonest', 'honest')",1.2970945,1.2955705,-0.001524
25,0.58169264,0.58521575,"('egoistic', 'altruistic')",0.5816926,0.5852157,0.0035231
26,1.1677978,0.8435918,"('hardhearted', 'benevolent')",1.1677978,0.8435918,-0.324206
27,1.6404737,1.4341013,"('hardhearted', 'softhearted')",1.6404737,1.4341013,-0.2063724
28,1.3050139,1.0830609,"('disloyal', 'loyal')",1.3050139,1.0830609,-0.221953
29,-0.4858443,-0.70446676,"('unfair', 'fair')",-0.4858443,-0.7044668,-0.2186225
30,1.0662463,1.1879283,"('intolerant', 'tolerant')",1.0662463,1.1879283,0.121682
31,-1.6094033,-1.745483,"('evil', 'good')",-1.6094033,-1.745483,-0.1360797
32,1.157601,1.0165279,"('unkind', 'kind')",1.157601,1.0165279,-0.1410731
33,-0.56554794,-0.6500232,"('wrong', 'right')",-0.5655479,-0.6500232,-0.0844753
34,3.6843688,4.026914,"('mean', 'honorable')",3.6843688,4.0269141,0.3425453
35,-1.4270936,-1.8830925,"('corrupt', 'incorrupt')",-1.4270936,-1.8830925,-0.4559989
36,-1.2038165,-1.4163499,"('hostile', 'amicable')",-1.2038165,-1.4163499,-0.2125334
37,1.1051707,1.0865816,"('fake', 'genuine')",1.1051707,1.0865816,-0.0185891
38,-0.6413736,-0.53314054,"('untruthful', 'truthful')",-0.6413736,-0.5331405,0.1082331
39,0.58890617,0.62377495,"('exploitative', 'cooperative')",0.5889062,0.6237749,0.0348687
40,-0.8547391,-0.977833,"('stingy', 'generous')",-0.8547391,-0.977833,-0.1230939
41,0.8143123,0.59790695,"('unforgiving', 'forgiving')",0.8143123,0.5979069,-0.2164054
