,medtronic_male,medtronic_female,tuple,plc_male,plc_female,average_male,average_female,female-male
0,-0.18004975,-0.17286284,"('unsociable', 'sociable')",-0.5561805,-0.6384888,-0.3681151,-0.4056758,-0.0375607
1,-0.81150573,-0.94140637,"('unfriendly', 'friendly')",2.1157274,1.8126781,0.6521108,0.4356359,-0.2164749
2,0.32591325,0.3396408,"('unlikable', 'likable')",0.64339876,0.74434495,0.484656,0.5419929,0.0573369
3,-1.1277131,-1.0490525,"('repellent', 'pleasant')",-0.38842615,-0.2993055,-0.7580696,-0.674179,0.0838906
4,0.44758034,0.41630784,"('disliked', 'liked')",-4.4478254,-4.4770813,-2.0001225,-2.0303867,-0.0302642
5,-0.0845907,-0.10182744,"('distant', 'outgoing')",0.54937756,0.42993686,0.2323934,0.1640547,-0.0683387
6,-0.62177783,-0.6682903,"('distant', 'open')",0.45450926,0.32341802,-0.0836343,-0.1724361,-0.0888018
7,-1.1686608,-1.113412,"('insensitive', 'sensitive')",0.112430066,0.15423276,-0.5281153,-0.4795896,0.0485257
8,-0.71768355,-0.8530803,"('unaffectionate', 'affectionate')",0.8281784,0.57120544,0.0552474,-0.1409374,-0.1961848
9,-0.413105,-0.48505917,"('unaffectionate', 'caring')",1.2537073,1.0816599,0.4203011,0.2983004,-0.1220007
10,-1.6734122,-1.6053059,"('unsympathetic', 'sympathetic')",-0.76633495,-0.673626,-1.2198735,-1.1394659,0.0804076
11,-0.14066193,-0.07659922,"('unhelpful', 'helpful')",0.8068883,0.83151764,0.3331132,0.3774592,0.044346
12,0.219001,0.27426255,"('unsupportive', 'supportive')",-1.2459552,-1.1496378,-0.5134771,-0.4376876,0.0757895
13,-0.089350566,-0.038960405,"('impolite', 'polite')",-0.5043506,-0.41146433,-0.2968506,-0.2252124,0.0716382
14,-0.23699157,-0.16665614,"('antisocial', 'social')",0.27942437,0.3750321,0.0212164,0.104188,0.0829716
15,0.8185059,0.72553104,"('boring', 'funny')",0.2473461,0.20783094,0.532926,0.466681,-0.066245
16,0.28201666,0.3020225,"('unpopular', 'popular')",0.05619128,-0.05827435,0.169104,0.1218741,-0.0472299
17,-0.01530074,0.0076862862,"('nasty', 'nice')",-0.56294537,-0.6221184,-0.2891231,-0.3072161,-0.018093
18,-0.110968865,-0.115962476,"('disagreeable', 'welcoming')",-0.64588785,-0.7071338,-0.3784284,-0.4115481,-0.0331197
19,-0.58063805,-0.6247172,"('inhospitable', 'hospitable')",-0.11696081,-0.19789827,-0.3487994,-0.4113077,-0.0625083
20,-0.15438025,-0.13128653,"('rough', 'thoughtful')",1.0165064,0.98785716,0.4310631,0.4282853,-0.0027778
21,-0.54667836,-0.5054052,"('immoral', 'moral')",-1.374397,-1.2263705,-0.9605377,-0.8658878,0.0946499
22,-0.57858616,-0.58657223,"('untrustworthy', 'trustworthy')",-0.5852385,-0.5809618,-0.5819123,-0.5837671,-0.0018548
23,-0.871402,-0.87019324,"('insincere', 'sincere')",4.4067197,4.2522845,1.7676588,1.6910456,-0.0766132
24,-0.77280605,-0.78804326,"('dishonest', 'honest')",0.95168495,0.89001167,0.0894395,0.0509842,-0.0384553
25,-0.20555568,-0.28639707,"('egoistic', 'altruistic')",1.249349,1.0637652,0.5218967,0.388684,-0.1332127
