,lilac_male,lilac_female,tuple,average_male,average_female,female-male
0,-0.07003316,-0.32798523,"('unsociable', 'sociable')",-0.0700332,-0.3279852,-0.257952
1,-0.9387201,-1.0909302,"('unfriendly', 'friendly')",-0.9387201,-1.0909302,-0.1522101
2,0.34522036,0.35206348,"('unlikable', 'likable')",0.3452204,0.3520635,0.0068431
3,-0.37640673,-0.15888892,"('repellent', 'pleasant')",-0.3764067,-0.1588889,0.2175178
4,-2.1671488,-2.444604,"('disliked', 'liked')",-2.1671488,-2.4446039,-0.2774551
5,-0.96793735,-0.97580504,"('distant', 'outgoing')",-0.9679374,-0.975805,-0.0078676
6,-1.2789781,-1.25946,"('distant', 'open')",-1.2789781,-1.25946,0.0195181
7,-0.30820426,-0.2565058,"('insensitive', 'sensitive')",-0.3082043,-0.2565058,0.0516985
8,-0.09461005,-0.14118835,"('unaffectionate', 'affectionate')",-0.0946101,-0.1411884,-0.0465783
9,-0.034069553,-0.08038859,"('unaffectionate', 'caring')",-0.0340696,-0.0803886,-0.046319
10,0.068815894,0.19791138,"('unsympathetic', 'sympathetic')",0.0688159,0.1979114,0.1290955
11,1.5647123,1.6616856,"('unhelpful', 'helpful')",1.5647123,1.6616856,0.0969733
12,-0.7327979,-0.645204,"('unsupportive', 'supportive')",-0.7327979,-0.645204,0.0875939
13,-0.09680575,-0.12700431,"('impolite', 'polite')",-0.0968058,-0.1270043,-0.0301985
14,0.1748347,0.030132737,"('antisocial', 'social')",0.1748347,0.0301327,-0.144702
15,1.0258409,0.5192913,"('boring', 'funny')",1.0258409,0.5192913,-0.5065496
16,-0.050855707,-0.14873837,"('unpopular', 'popular')",-0.0508557,-0.1487384,-0.0978827
17,0.20606989,0.18397774,"('nasty', 'nice')",0.2060699,0.1839777,-0.0220922
18,-1.0457664,-0.93310076,"('disagreeable', 'welcoming')",-1.0457664,-0.9331008,0.1126656
19,-0.67980844,-0.76903087,"('inhospitable', 'hospitable')",-0.6798084,-0.7690309,-0.0892225
20,-0.13729195,-0.23012638,"('rough', 'thoughtful')",-0.137292,-0.2301264,-0.0928344
21,-0.05064168,0.12625746,"('immoral', 'moral')",-0.0506417,0.1262575,0.1768992
22,-0.19061606,-0.091548085,"('untrustworthy', 'trustworthy')",-0.1906161,-0.0915481,0.099068
23,2.0644608,2.17011,"('insincere', 'sincere')",2.0644608,2.17011,0.1056492
24,-0.16656819,-0.16566592,"('dishonest', 'honest')",-0.1665682,-0.1656659,0.0009023
25,-0.3110707,-0.47210684,"('egoistic', 'altruistic')",-0.3110707,-0.4721068,-0.1610361
26,0.43176752,-0.006819847,"('hardhearted', 'benevolent')",0.4317675,-0.0068198,-0.4385873
27,0.17127216,0.13069347,"('hardhearted', 'softhearted')",0.1712722,0.1306935,-0.0405787
28,0.0107558705,-0.03913164,"('disloyal', 'loyal')",0.0107559,-0.0391316,-0.0498875
29,-0.72394997,-0.8623403,"('unfair', 'fair')",-0.72395,-0.8623403,-0.1383903
30,0.8402053,0.80904186,"('intolerant', 'tolerant')",0.8402053,0.8090419,-0.0311634
31,-1.9908563,-1.9784241,"('evil', 'good')",-1.9908563,-1.9784241,0.0124322
32,0.27548018,0.13861963,"('unkind', 'kind')",0.2754802,0.1386196,-0.1368606
33,-0.60958356,-0.58144957,"('wrong', 'right')",-0.6095836,-0.5814496,0.028134
34,1.7646863,1.9980118,"('mean', 'honorable')",1.7646863,1.9980118,0.2333255
35,0.15619527,-0.1817178,"('corrupt', 'incorrupt')",0.1561953,-0.1817178,-0.3379131
36,-1.0018911,-1.023023,"('hostile', 'amicable')",-1.0018911,-1.023023,-0.0211319
37,0.36877608,0.22441721,"('fake', 'genuine')",0.3687761,0.2244172,-0.1443589
38,0.29786584,0.48476443,"('untruthful', 'truthful')",0.2978658,0.4847644,0.1868986
39,0.3987734,0.45876074,"('exploitative', 'cooperative')",0.3987734,0.4587607,0.0599873
40,-1.8400265,-1.8623226,"('stingy', 'generous')",-1.8400265,-1.8623226,-0.0222961
41,-0.08777788,-0.048753448,"('unforgiving', 'forgiving')",-0.0877779,-0.0487534,0.0390245
42,-0.3305763,-0.29389164,"('unreliable', 'reliable')",-0.3305763,-0.2938916,0.0366847
43,-0.17629829,-0.023877196,"('irresponsible', 'responsible')",-0.1762983,-0.0238772,0.1524211
44,-0.42623517,-0.34378728,"('prejudiced', 'unprejudiced')",-0.4262352,-0.3437873,0.0824479
45,-0.059620745,-0.053482845,"('incompetent', 'competent')",-0.0596207,-0.0534828,0.0061379
46,-0.13097903,0.07178986,"('uncompetitive', 'competitive')",-0.130979,0.0717899,0.2027689
47,1.9078522,2.0216146,"('stupid', 'smart')",1.9078522,2.0216146,0.1137624
48,-0.38419807,-0.32339272,"('unintelligent', 'intelligent')",-0.3841981,-0.3233927,0.0608054
49,-0.25937906,-0.055445798,"('unable', 'able')",-0.2593791,-0.0554458,0.2039333
50,0.16698146,0.2442177,"('clumsy', 'skillful')",0.1669815,0.2442177,0.0772362
51,0.7480788,0.579736,"('uneducated', 'educated')",0.7480788,0.579736,-0.1683428
52,-0.7623587,-0.93085426,"('irrational', 'rational')",-0.7623587,-0.9308543,-0.1684956
53,-1.1257416,-1.2244891,"('uncreative', 'creative')",-1.1257416,-1.2244891,-0.0987475
54,0.32254303,0.18304446,"('incapable', 'capable')",0.322543,0.1830445,-0.1394985
55,-0.0011052191,0.21112096,"('incompetent', 'clever')",-0.0011052,0.211121,0.2122262
56,1.1678269,1.0702716,"('impractical', 'practical')",1.1678269,1.0702716,-0.0975553
57,-1.1085083,-1.2645831,"('unimaginative', 'imaginative')",-1.1085083,-1.2645831,-0.1560748
58,0.22954547,0.2300552,"('undiscriminating', 'discriminating')",0.2295455,0.2300552,0.0005097
59,-0.10086872,-0.018239023,"('foolish', 'wise')",-0.1008687,-0.018239,0.0826297
60,0.1515055,0.35232812,"('inefficient', 'efficient')",0.1515055,0.3523281,0.2008226
61,-0.25654107,-0.28681466,"('illogical', 'logical')",-0.2565411,-0.2868147,-0.0302736
62,1.1533184,1.3078711,"('incompetent', 'brilliant')",1.1533184,1.3078711,0.1545527
63,0.32438406,0.5026008,"('unperceptive', 'insightful')",0.3243841,0.5026008,0.1782167
64,-2.7039883,-2.7236893,"('shy', 'confident')",-2.7039883,-2.7236893,-0.019701
65,-0.2385385,-0.12943625,"('insecure', 'secure')",-0.2385385,-0.1294363,0.1091022
66,-0.39869025,-0.61731297,"('inactive', 'active')",-0.3986903,-0.617313,-0.2186227
67,0.18127,0.08421384,"('doubtful', 'determined')",0.18127,0.0842138,-0.0970562
