,nut_male,nut_female,tuple,average_male,average_female,female-male
0,0.41728947,0.38846943,"('unsociable', 'sociable')",0.4172895,0.3884694,-0.0288201
1,1.1500113,1.190299,"('unfriendly', 'friendly')",1.1500113,1.190299,0.0402877
2,0.43540168,0.59884727,"('unlikable', 'likable')",0.4354017,0.5988473,0.1634456
3,1.0217754,1.1132841,"('repellent', 'pleasant')",1.0217754,1.1132841,0.0915087
4,-7.305174,-7.277893,"('disliked', 'liked')",-7.3051739,-7.2778931,0.0272808
5,-0.34926763,-0.24863814,"('distant', 'outgoing')",-0.3492676,-0.2486381,0.1006295
6,0.10001795,0.12185385,"('distant', 'open')",0.1000179,0.1218539,0.021836
7,1.5413673,1.5589069,"('insensitive', 'sensitive')",1.5413673,1.5589069,0.0175396
8,1.0638167,0.9162546,"('unaffectionate', 'affectionate')",1.0638167,0.9162546,-0.1475621
9,1.3984178,1.4114954,"('unaffectionate', 'caring')",1.3984178,1.4114954,0.0130776
10,1.7522248,1.5952024,"('unsympathetic', 'sympathetic')",1.7522248,1.5952024,-0.1570224
11,1.973166,1.9702641,"('unhelpful', 'helpful')",1.973166,1.9702641,-0.0029019
12,-1.0634202,-1.0157571,"('unsupportive', 'supportive')",-1.0634202,-1.0157571,0.0476631
13,0.08019514,0.12679645,"('impolite', 'polite')",0.0801951,0.1267965,0.0466014
14,0.3211051,0.37114316,"('antisocial', 'social')",0.3211051,0.3711432,0.0500381
15,0.32445887,0.353204,"('boring', 'funny')",0.3244589,0.353204,0.0287451
16,-0.5310046,-0.38673207,"('unpopular', 'popular')",-0.5310046,-0.3867321,0.1442725
17,0.26524708,0.1559132,"('nasty', 'nice')",0.2652471,0.1559132,-0.1093339
18,-0.5151269,-0.3986015,"('disagreeable', 'welcoming')",-0.5151269,-0.3986015,0.1165254
19,-0.3070412,-0.32080093,"('inhospitable', 'hospitable')",-0.3070412,-0.3208009,-0.0137597
20,0.7616043,0.6504508,"('rough', 'thoughtful')",0.7616043,0.6504508,-0.1111535
21,0.28870073,0.45649362,"('immoral', 'moral')",0.2887007,0.4564936,0.1677929
22,0.17396167,0.23372202,"('untrustworthy', 'trustworthy')",0.1739617,0.233722,0.0597603
23,6.488068,6.6071496,"('insincere', 'sincere')",6.4880681,6.6071496,0.1190815
24,1.8809639,1.9378345,"('dishonest', 'honest')",1.8809639,1.9378345,0.0568706
25,0.2528843,0.21743712,"('egoistic', 'altruistic')",0.2528843,0.2174371,-0.0354472
26,0.4974506,0.33280584,"('hardhearted', 'benevolent')",0.4974506,0.3328058,-0.1646448
27,1.9142824,1.6626215,"('hardhearted', 'softhearted')",1.9142824,1.6626215,-0.2516609
28,1.1037992,1.0220666,"('disloyal', 'loyal')",1.1037992,1.0220666,-0.0817326
29,-0.12594742,-0.2662796,"('unfair', 'fair')",-0.1259474,-0.2662796,-0.1403322
30,1.2017035,1.1897714,"('intolerant', 'tolerant')",1.2017035,1.1897714,-0.0119321
31,-1.1958294,-1.1872587,"('evil', 'good')",-1.1958294,-1.1872587,0.0085707
32,1.3211356,1.2402337,"('unkind', 'kind')",1.3211356,1.2402337,-0.0809019
33,-1.0188141,-0.85713005,"('wrong', 'right')",-1.0188141,-0.8571301,0.161684
34,4.4677,4.72445,"('mean', 'honorable')",4.4677,4.7244501,0.2567501
35,-1.051325,-1.2561646,"('corrupt', 'incorrupt')",-1.051325,-1.2561646,-0.2048396
36,-0.8469005,-0.99838746,"('hostile', 'amicable')",-0.8469005,-0.9983875,-0.151487
37,0.9190654,0.8498596,"('fake', 'genuine')",0.9190654,0.8498596,-0.0692058
