,slavery_male,slavery_female,tuple,average_male,average_female,female-male
0,0.30831227,0.33951086,"('unsociable', 'sociable')",0.3083123,0.3395109,0.0311986
1,0.95028263,0.88465756,"('unfriendly', 'friendly')",0.9502826,0.8846576,-0.065625
2,-0.065269224,0.1115419,"('unlikable', 'likable')",-0.0652692,0.1115419,0.1768111
3,0.9352083,1.0920215,"('repellent', 'pleasant')",0.9352083,1.0920215,0.1568132
4,-7.7743716,-7.8192887,"('disliked', 'liked')",-7.7743716,-7.8192887,-0.0449171
5,-0.45448864,-0.5724889,"('distant', 'outgoing')",-0.4544886,-0.5724889,-0.1180003
6,0.08573321,-0.13060796,"('distant', 'open')",0.0857332,-0.130608,-0.2163412
7,1.2541333,1.3702186,"('insensitive', 'sensitive')",1.2541333,1.3702186,0.1160853
8,1.3467667,1.1465943,"('unaffectionate', 'affectionate')",1.3467667,1.1465943,-0.2001724
9,1.641986,1.5424774,"('unaffectionate', 'caring')",1.641986,1.5424774,-0.0995086
10,1.2456288,1.3920374,"('unsympathetic', 'sympathetic')",1.2456288,1.3920374,0.1464086
11,1.4483957,1.5353369,"('unhelpful', 'helpful')",1.4483957,1.5353369,0.0869412
12,-1.4586003,-1.4054103,"('unsupportive', 'supportive')",-1.4586003,-1.4054103,0.05319
13,-0.015914515,0.20061761,"('impolite', 'polite')",-0.0159145,0.2006176,0.2165321
14,0.36409461,0.48261076,"('antisocial', 'social')",0.3640946,0.4826108,0.1185162
15,0.3115188,0.25855938,"('boring', 'funny')",0.3115188,0.2585594,-0.0529594
16,-0.8203966,-0.875275,"('unpopular', 'popular')",-0.8203966,-0.875275,-0.0548784
17,0.012607884,0.021100238,"('nasty', 'nice')",0.0126079,0.0211002,0.0084923
18,-0.44645965,-0.29637003,"('disagreeable', 'welcoming')",-0.4464597,-0.29637,0.1500897
19,-0.5667028,-0.6720124,"('inhospitable', 'hospitable')",-0.5667028,-0.6720124,-0.1053096
20,0.33092448,0.27733663,"('rough', 'thoughtful')",0.3309245,0.2773366,-0.0535879
21,-0.13140485,0.16540496,"('immoral', 'moral')",-0.1314048,0.165405,0.2968098
22,-0.3279313,-0.1722489,"('untrustworthy', 'trustworthy')",-0.3279313,-0.1722489,0.1556824
23,6.3872466,6.4805017,"('insincere', 'sincere')",6.3872466,6.4805017,0.0932551
24,1.2773026,1.289831,"('dishonest', 'honest')",1.2773026,1.289831,0.0125284
25,0.74157315,0.6920434,"('egoistic', 'altruistic')",0.7415732,0.6920434,-0.0495298
26,1.3332602,1.0851983,"('hardhearted', 'benevolent')",1.3332602,1.0851983,-0.2480619
27,1.9390982,1.7437013,"('hardhearted', 'softhearted')",1.9390982,1.7437013,-0.1953969
28,1.2758831,1.1662384,"('disloyal', 'loyal')",1.2758831,1.1662384,-0.1096447
29,-0.4032043,-0.5035551,"('unfair', 'fair')",-0.4032043,-0.5035551,-0.1003508
30,0.98554426,1.1677265,"('intolerant', 'tolerant')",0.9855443,1.1677265,0.1821822
31,-1.106807,-1.2752788,"('evil', 'good')",-1.106807,-1.2752788,-0.1684718
32,1.2425506,1.1815355,"('unkind', 'kind')",1.2425506,1.1815355,-0.0610151
33,-0.46860945,-0.5131767,"('wrong', 'right')",-0.4686095,-0.5131767,-0.0445672
34,4.6244273,4.732027,"('mean', 'honorable')",4.6244273,4.7320271,0.1075998
35,-0.81458735,-1.2884259,"('corrupt', 'incorrupt')",-0.8145874,-1.2884259,-0.4738385
36,-0.6633433,-0.96068966,"('hostile', 'amicable')",-0.6633433,-0.9606897,-0.2973464
37,0.90542555,0.95864415,"('fake', 'genuine')",0.9054255,0.9586442,0.0532187
38,-0.80352646,-0.6866911,"('untruthful', 'truthful')",-0.8035265,-0.6866911,0.1168354
39,0.37212375,0.4213532,"('exploitative', 'cooperative')",0.3721237,0.4213532,0.0492295
