,sandal_male,sandal_female,tuple,average_male,average_female,female-male
0,1.0804284,0.8593338,"('unsociable', 'sociable')",1.0804284,0.8593338,-0.2210946
1,-0.7258765,-0.8811803,"('unfriendly', 'friendly')",-0.7258765,-0.8811803,-0.1553038
2,0.43111926,0.47037032,"('unlikable', 'likable')",0.4311193,0.4703703,0.039251
3,0.27469167,0.27054444,"('repellent', 'pleasant')",0.2746917,0.2705444,-0.0041473
4,-2.5787628,-2.6674788,"('disliked', 'liked')",-2.5787628,-2.6674788,-0.088716
5,-1.6574664,-1.6089398,"('distant', 'outgoing')",-1.6574664,-1.6089398,0.0485266
6,-1.7467145,-1.7101078,"('distant', 'open')",-1.7467145,-1.7101078,0.0366067
7,0.75936645,0.709364,"('insensitive', 'sensitive')",0.7593665,0.709364,-0.0500025
8,-0.535165,-0.5076275,"('unaffectionate', 'affectionate')",-0.535165,-0.5076275,0.0275375
9,-0.42113546,-0.46999258,"('unaffectionate', 'caring')",-0.4211355,-0.4699926,-0.0488571
10,0.6226127,0.5689972,"('unsympathetic', 'sympathetic')",0.6226127,0.5689972,-0.0536155
11,1.0254102,1.0709537,"('unhelpful', 'helpful')",1.0254102,1.0709537,0.0455435
12,-0.8840476,-0.93480796,"('unsupportive', 'supportive')",-0.8840476,-0.934808,-0.0507604
13,0.013646701,-0.0144517645,"('impolite', 'polite')",0.0136467,-0.0144518,-0.0280985
14,1.2248284,1.1058868,"('antisocial', 'social')",1.2248284,1.1058868,-0.1189416
15,0.7855895,0.704008,"('boring', 'funny')",0.7855895,0.704008,-0.0815815
16,-0.09546386,-0.16124436,"('unpopular', 'popular')",-0.0954639,-0.1612444,-0.0657805
17,-0.85410345,-0.83315814,"('nasty', 'nice')",-0.8541034,-0.8331581,0.0209453
18,-0.19133183,-0.22990799,"('disagreeable', 'welcoming')",-0.1913318,-0.229908,-0.0385762
19,-1.1246003,-1.100442,"('inhospitable', 'hospitable')",-1.1246003,-1.1004421,0.0241582
20,0.09369954,0.08049349,"('rough', 'thoughtful')",0.0936995,0.0804935,-0.013206
21,0.9484855,0.9497595,"('immoral', 'moral')",0.9484855,0.9497595,0.001274
22,0.19098929,0.16107047,"('untrustworthy', 'trustworthy')",0.1909893,0.1610705,-0.0299188
23,2.826872,2.7889621,"('insincere', 'sincere')",2.8268721,2.7889621,-0.03791
24,0.26945022,0.20814681,"('dishonest', 'honest')",0.2694502,0.2081468,-0.0613034
25,0.2663197,0.12670474,"('egoistic', 'altruistic')",0.2663197,0.1267047,-0.139615
26,-0.38895655,-0.5690919,"('hardhearted', 'benevolent')",-0.3889565,-0.5690919,-0.1801354
27,-0.5806202,-0.6451361,"('hardhearted', 'softhearted')",-0.5806202,-0.6451361,-0.0645159
28,0.16013144,0.12301122,"('disloyal', 'loyal')",0.1601314,0.1230112,-0.0371202
29,-0.6532352,-0.7076489,"('unfair', 'fair')",-0.6532352,-0.7076489,-0.0544137
30,1.5247601,1.4180688,"('intolerant', 'tolerant')",1.5247601,1.4180688,-0.1066913
31,-2.6758893,-2.6910315,"('evil', 'good')",-2.6758893,-2.6910315,-0.0151422
32,0.44476935,0.36918798,"('unkind', 'kind')",0.4447694,0.369188,-0.0755814
33,-0.37582666,-0.4520483,"('wrong', 'right')",-0.3758267,-0.4520483,-0.0762216
34,1.4455075,1.57236,"('mean', 'honorable')",1.4455075,1.57236,0.1268525
35,-1.4877635,-1.5444078,"('corrupt', 'incorrupt')",-1.4877635,-1.5444078,-0.0566443
36,-1.7613237,-1.7827924,"('hostile', 'amicable')",-1.7613237,-1.7827924,-0.0214687
37,0.10067353,0.12936774,"('fake', 'genuine')",0.1006735,0.1293677,0.0286942
38,-0.19526078,-0.15642124,"('untruthful', 'truthful')",-0.1952608,-0.1564212,0.0388396
39,0.09484097,0.13069421,"('exploitative', 'cooperative')",0.094841,0.1306942,0.0358532
40,-1.3453138,-1.5854157,"('stingy', 'generous')",-1.3453138,-1.5854157,-0.2401019
41,0.7402409,0.6981245,"('unforgiving', 'forgiving')",0.7402409,0.6981245,-0.0421164
42,0.008001294,0.002658615,"('unreliable', 'reliable')",0.0080013,0.0026586,-0.0053427
43,0.53064716,0.5295382,"('irresponsible', 'responsible')",0.5306472,0.5295382,-0.001109
44,-1.4132552,-1.2752608,"('prejudiced', 'unprejudiced')",-1.4132552,-1.2752608,0.1379944
45,0.5185372,0.4660154,"('incompetent', 'competent')",0.5185372,0.4660154,-0.0525218
46,0.97884274,0.9148759,"('uncompetitive', 'competitive')",0.9788427,0.9148759,-0.0639668
47,1.6434828,1.7065667,"('stupid', 'smart')",1.6434828,1.7065667,0.0630839
48,0.26291707,0.20718244,"('unintelligent', 'intelligent')",0.2629171,0.2071824,-0.0557347
49,-0.055972874,0.074242145,"('unable', 'able')",-0.0559729,0.0742421,0.130215
50,-0.0037258863,0.06424669,"('clumsy', 'skillful')",-0.0037259,0.0642467,0.0679726
51,0.99872917,0.86921895,"('uneducated', 'educated')",0.9987292,0.8692189,-0.1295103
52,-1.0341779,-1.1338502,"('irrational', 'rational')",-1.0341779,-1.1338502,-0.0996723
53,-0.5921536,-0.72070247,"('uncreative', 'creative')",-0.5921536,-0.7207025,-0.1285489
54,-0.28534633,-0.28870124,"('incapable', 'capable')",-0.2853463,-0.2887012,-0.0033549
