,teleflex_male,teleflex_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-1.8540661,-1.9545027,"('unsociable', 'sociable')",-0.36530775,-0.48597598,-1.109687,-1.2202394,-0.1105524
1,-1.5599014,-1.6379896,"('unfriendly', 'friendly')",1.3100868,1.2328435,-0.1249073,-0.2025731,-0.0776658
2,0.5395379,0.5718323,"('unlikable', 'likable')",0.8594478,0.917467,0.6994928,0.7446496,0.0451568
3,-0.6844433,-0.6495971,"('repellent', 'pleasant')",0.0217437,0.032066435,-0.3313498,-0.3087654,0.0225844
4,0.24435534,0.18204544,"('disliked', 'liked')",-5.45475,-5.583187,-2.6051974,-2.7005708,-0.0953734
5,-0.2738936,-0.25756428,"('distant', 'outgoing')",-0.46713126,-0.4189869,-0.3705124,-0.3382756,0.0322368
6,-0.51418734,-0.53457344,"('distant', 'open')",-0.20109832,-0.18798742,-0.3576428,-0.3612804,-0.0036376
7,-1.124385,-1.1412566,"('insensitive', 'sensitive')",0.13121328,0.1421725,-0.4965858,-0.499542,-0.0029562
8,-1.2239292,-1.2479326,"('unaffectionate', 'affectionate')",0.32649112,0.30376694,-0.448719,-0.4720828,-0.0233638
9,-1.6163056,-1.6762877,"('unaffectionate', 'caring')",0.5461565,0.5361127,-0.5350745,-0.5700874,-0.0350129
10,-2.169234,-2.2304184,"('unsympathetic', 'sympathetic')",-0.8548215,-0.8795658,-1.5120277,-1.5549921,-0.0429644
11,-1.2961223,-1.299815,"('unhelpful', 'helpful')",1.2219467,1.2278141,-0.0370878,-0.0360005,0.0010873
12,-1.7238547,-1.642544,"('unsupportive', 'supportive')",-1.925096,-1.8662785,-1.8244753,-1.7544112,0.0700641
13,-0.8706913,-0.8848033,"('impolite', 'polite')",-0.64770263,-0.66205984,-0.759197,-0.7734315,-0.0142345
14,-0.036128983,-0.053258426,"('antisocial', 'social')",-0.29587248,-0.38677394,-0.1660007,-0.2200162,-0.0540155
15,0.8636897,0.78325504,"('boring', 'funny')",0.8189869,0.7654743,0.8413383,0.7743647,-0.0669736
16,0.00492185,-0.01573173,"('unpopular', 'popular')",0.5150888,0.49818358,0.2600053,0.2412259,-0.0187794
17,-0.12060866,-0.07574491,"('nasty', 'nice')",-0.5035178,-0.50056916,-0.3120632,-0.288157,0.0239062
18,-0.2900728,-0.3036615,"('disagreeable', 'welcoming')",-0.30097592,-0.36937422,-0.2955244,-0.3365179,-0.0409935
19,-0.662322,-0.68366826,"('inhospitable', 'hospitable')",-0.21167633,-0.1447511,-0.4369991,-0.4142097,0.0227894
20,-0.25146562,-0.2743791,"('rough', 'thoughtful')",1.0181258,0.960459,0.3833301,0.3430399,-0.0402902
21,-0.2931201,-0.38224033,"('immoral', 'moral')",-0.3054307,-0.33693102,-0.2992754,-0.3595857,-0.0603103
22,-0.7610172,-0.83102185,"('untrustworthy', 'trustworthy')",-0.7896058,-0.9482607,-0.7753115,-0.8896413,-0.1143298
23,-1.686712,-1.7722559,"('insincere', 'sincere')",4.7817144,4.6993394,1.5475012,1.4635417,-0.0839595
24,-0.8414779,-0.8746975,"('dishonest', 'honest')",0.51133645,0.44821218,-0.1650707,-0.2132427,-0.048172
25,0.631363,0.6031758,"('egoistic', 'altruistic')",1.4595754,1.4550586,1.0454692,1.0291172,-0.016352
26,-0.26582235,-0.31675535,"('hardhearted', 'benevolent')",1.8556434,1.781523,0.7949106,0.7323838,-0.0625268
27,-1.0059425,-0.96104866,"('hardhearted', 'softhearted')",0.9505859,0.9183205,-0.0276783,-0.0213641,0.0063142
28,-0.7670241,-0.92751354,"('disloyal', 'loyal')",0.7570388,0.6024421,-0.0049927,-0.1625357,-0.157543
29,-0.36481398,-0.41183436,"('unfair', 'fair')",-0.5249932,-0.65470093,-0.4449036,-0.5332676,-0.088364
30,-0.4126954,-0.46172643,"('intolerant', 'tolerant')",1.4653947,1.3442544,0.5263497,0.441264,-0.0850857
31,-0.081959456,-0.009613305,"('evil', 'good')",-0.97712666,-1.0069532,-0.529543,-0.5082833,0.0212597
32,-0.2014223,-0.24693707,"('unkind', 'kind')",0.80967426,0.6871799,0.304126,0.2201214,-0.0840046
33,0.27344182,0.21239802,"('wrong', 'right')",-0.5837868,-0.61626303,-0.1551725,-0.2019325,-0.04676
34,-0.4691547,-0.37088114,"('mean', 'honorable')",5.4706354,5.565291,2.5007403,2.5972049,0.0964646
35,1.5338324,1.4565617,"('corrupt', 'incorrupt')",0.20324251,0.06200886,0.8685375,0.7592853,-0.1092522
36,0.20793316,0.08119355,"('hostile', 'amicable')",0.43705165,0.22230974,0.3224924,0.1517516,-0.1707408
37,-0.4327073,-0.4130091,"('fake', 'genuine')",-0.1266799,-0.109149836,-0.2796936,-0.2610795,0.0186141
38,-1.0105433,-1.0439686,"('untruthful', 'truthful')",-0.482021,-0.45956808,-0.7462822,-0.7517684,-0.0054862
39,1.0183547,0.9837298,"('exploitative', 'cooperative')",0.2283347,0.19942054,0.6233447,0.5915751,-0.0317696
40,0.07445063,0.07326003,"('stingy', 'generous')",-1.3636485,-1.484551,-0.644599,-0.7056454,-0.0610464
41,-0.66411114,-0.69468844,"('unforgiving', 'forgiving')",0.2314779,0.08114116,-0.2163166,-0.3067736,-0.090457
