,illegal_male,illegal_female,tuple,average_male,average_female,female-male
0,-0.5263974,-0.53150016,"('unsociable', 'sociable')",-0.5263974,-0.5315002,-0.0051028
1,1.45618,1.4070438,"('unfriendly', 'friendly')",1.45618,1.4070438,-0.0491362
2,0.056212902,0.2078638,"('unlikable', 'likable')",0.0562129,0.2078638,0.1516509
3,0.5697023,0.57823694,"('repellent', 'pleasant')",0.5697023,0.5782369,0.0085346
4,-7.760305,-7.767659,"('disliked', 'liked')",-7.7603049,-7.7676592,-0.0073543
5,-0.53227925,-0.47291863,"('distant', 'outgoing')",-0.5322793,-0.4729186,0.0593607
6,0.12868503,0.123889916,"('distant', 'open')",0.128685,0.1238899,-0.0047951
7,0.3353888,0.46396998,"('insensitive', 'sensitive')",0.3353888,0.46397,0.1285812
8,1.3830969,1.3461338,"('unaffectionate', 'affectionate')",1.3830969,1.3461338,-0.0369631
9,1.6722671,1.7571578,"('unaffectionate', 'caring')",1.6722671,1.7571578,0.0848907
10,0.6799438,0.7035275,"('unsympathetic', 'sympathetic')",0.6799438,0.7035275,0.0235837
11,1.3983554,1.4574854,"('unhelpful', 'helpful')",1.3983554,1.4574854,0.05913
12,-2.331005,-2.2502534,"('unsupportive', 'supportive')",-2.3310051,-2.2502534,0.0807517
13,-0.45807773,-0.43664172,"('impolite', 'polite')",-0.4580777,-0.4366417,0.021436
14,-0.6801219,-0.7698365,"('antisocial', 'social')",-0.6801219,-0.7698365,-0.0897146
15,-0.0034989528,0.002606459,"('boring', 'funny')",-0.003499,0.0026065,0.0061055
16,-0.6568322,-0.5934417,"('unpopular', 'popular')",-0.6568322,-0.5934417,0.0633905
17,-1.247782,-1.1117436,"('nasty', 'nice')",-1.247782,-1.1117436,0.1360384
18,-0.4885683,-0.51155585,"('disagreeable', 'welcoming')",-0.4885683,-0.5115559,-0.0229876
19,-0.96949416,-0.8846296,"('inhospitable', 'hospitable')",-0.9694942,-0.8846296,0.0848646
20,0.5860262,0.5510451,"('rough', 'thoughtful')",0.5860262,0.5510451,-0.0349811
21,-0.5620991,-0.3704151,"('immoral', 'moral')",-0.5620991,-0.3704151,0.191684
22,-0.8072734,-0.75932807,"('untrustworthy', 'trustworthy')",-0.8072734,-0.7593281,0.0479453
23,5.9815607,5.9742904,"('insincere', 'sincere')",5.9815607,5.9742904,-0.0072703
24,1.2478027,1.184557,"('dishonest', 'honest')",1.2478027,1.184557,-0.0632457
25,0.6258329,0.5959795,"('egoistic', 'altruistic')",0.6258329,0.5959795,-0.0298534
