,underpass_male,underpass_female,tuple,average_male,average_female,female-male
0,0.19790354,0.04067404,"('unsociable', 'sociable')",0.1979035,0.040674,-0.1572295
1,-0.9030908,-1.0506268,"('unfriendly', 'friendly')",-0.9030908,-1.0506268,-0.147536
2,-0.08068463,-0.19863653,"('unlikable', 'likable')",-0.0806846,-0.1986365,-0.1179519
3,-0.24393164,-0.08348583,"('repellent', 'pleasant')",-0.2439316,-0.0834858,0.1604458
4,-2.7864742,-2.8679998,"('disliked', 'liked')",-2.7864742,-2.8679998,-0.0815256
5,-1.1247908,-1.1304998,"('distant', 'outgoing')",-1.1247908,-1.1304998,-0.005709
6,-1.1041483,-1.0762948,"('distant', 'open')",-1.1041483,-1.0762948,0.0278535
7,0.5140722,0.5944998,"('insensitive', 'sensitive')",0.5140722,0.5944998,0.0804276
8,-1.2898247,-1.3826784,"('unaffectionate', 'affectionate')",-1.2898247,-1.3826784,-0.0928537
9,-0.6627234,-0.69399047,"('unaffectionate', 'caring')",-0.6627234,-0.6939905,-0.0312671
10,-0.12706044,-0.091482356,"('unsympathetic', 'sympathetic')",-0.1270604,-0.0914824,0.035578
11,0.7426876,0.81860113,"('unhelpful', 'helpful')",0.7426876,0.8186011,0.0759135
12,-0.8809636,-0.83116245,"('unsupportive', 'supportive')",-0.8809636,-0.8311625,0.0498011
13,0.38846546,0.38610628,"('impolite', 'polite')",0.3884655,0.3861063,-0.0023592
14,0.38089508,0.30007774,"('antisocial', 'social')",0.3808951,0.3000777,-0.0808174
15,0.490427,0.26371348,"('boring', 'funny')",0.490427,0.2637135,-0.2267135
16,-0.4608376,-0.59756607,"('unpopular', 'popular')",-0.4608376,-0.5975661,-0.1367285
17,-0.37372807,-0.32821548,"('nasty', 'nice')",-0.3737281,-0.3282155,0.0455126
18,-0.97424495,-0.89506054,"('disagreeable', 'welcoming')",-0.974245,-0.8950605,0.0791845
19,-2.188658,-2.1181118,"('inhospitable', 'hospitable')",-2.188658,-2.1181118,0.0705462
20,-0.3434761,-0.29120472,"('rough', 'thoughtful')",-0.3434761,-0.2912047,0.0522714
21,0.27710363,0.33592418,"('immoral', 'moral')",0.2771036,0.3359242,0.0588206
22,-0.11069611,-0.117369905,"('untrustworthy', 'trustworthy')",-0.1106961,-0.1173699,-0.0066738
23,2.3923318,2.3996294,"('insincere', 'sincere')",2.3923318,2.3996294,0.0072976
24,0.36218762,0.34745494,"('dishonest', 'honest')",0.3621876,0.3474549,-0.0147327
