,eponym_male,eponym_female,tuple,average_male,average_female,female-male
0,-0.55510116,-0.9440989,"('unsociable', 'sociable')",-0.5551012,-0.9440989,-0.3889977
1,-1.201457,-1.5427808,"('unfriendly', 'friendly')",-1.201457,-1.5427808,-0.3413238
2,0.15403117,0.066848665,"('unlikable', 'likable')",0.1540312,0.0668487,-0.0871825
3,-0.30904686,-0.25735685,"('repellent', 'pleasant')",-0.3090469,-0.2573569,0.05169
4,-2.6052063,-2.5691855,"('disliked', 'liked')",-2.6052063,-2.5691855,0.0360208
5,-1.3956549,-1.4708083,"('distant', 'outgoing')",-1.3956549,-1.4708083,-0.0751534
6,-1.259989,-1.3100151,"('distant', 'open')",-1.259989,-1.3100151,-0.0500261
7,-0.3918352,-0.4049817,"('insensitive', 'sensitive')",-0.3918352,-0.4049817,-0.0131465
8,-1.5256457,-1.5855826,"('unaffectionate', 'affectionate')",-1.5256457,-1.5855826,-0.0599369
9,-1.6018869,-1.7053305,"('unaffectionate', 'caring')",-1.6018869,-1.7053305,-0.1034436
10,-0.8261627,-0.911189,"('unsympathetic', 'sympathetic')",-0.8261627,-0.911189,-0.0850263
11,0.7178277,0.711479,"('unhelpful', 'helpful')",0.7178277,0.711479,-0.0063487
12,-1.6414193,-1.6630498,"('unsupportive', 'supportive')",-1.6414193,-1.6630498,-0.0216305
13,0.32684335,0.101757444,"('impolite', 'polite')",0.3268434,0.1017574,-0.225086
14,0.63840836,0.45732725,"('antisocial', 'social')",0.6384084,0.4573272,-0.1810812
15,0.46260566,0.3724032,"('boring', 'funny')",0.4626057,0.3724032,-0.0902025
16,-0.62364143,-0.65449035,"('unpopular', 'popular')",-0.6236414,-0.6544904,-0.030849
17,-0.14809972,-0.07471263,"('nasty', 'nice')",-0.1480997,-0.0747126,0.0733871
18,-0.825987,-0.8450161,"('disagreeable', 'welcoming')",-0.825987,-0.8450161,-0.0190291
19,-1.3976642,-1.4367949,"('inhospitable', 'hospitable')",-1.3976642,-1.4367949,-0.0391307
20,0.48831356,0.4897596,"('rough', 'thoughtful')",0.4883136,0.4897596,0.001446
21,0.588923,0.4794894,"('immoral', 'moral')",0.588923,0.4794894,-0.1094336
22,0.4152354,0.16113593,"('untrustworthy', 'trustworthy')",0.4152354,0.1611359,-0.2540995
23,1.5777359,1.3677181,"('insincere', 'sincere')",1.5777359,1.3677181,-0.2100178
24,-0.023250245,-0.23814026,"('dishonest', 'honest')",-0.0232502,-0.2381403,-0.2148901
25,-0.9188584,-1.0956482,"('egoistic', 'altruistic')",-0.9188584,-1.0956482,-0.1767898
26,0.46833754,0.11332956,"('hardhearted', 'benevolent')",0.4683375,0.1133296,-0.3550079
27,-0.06983838,-0.16121219,"('hardhearted', 'softhearted')",-0.0698384,-0.1612122,-0.0913738
28,-0.38075626,-0.5016475,"('disloyal', 'loyal')",-0.3807563,-0.5016475,-0.1208912
29,-0.41951847,-0.58996224,"('unfair', 'fair')",-0.4195185,-0.5899622,-0.1704437
30,0.65918773,0.621926,"('intolerant', 'tolerant')",0.6591877,0.621926,-0.0372617
31,-1.4213824,-1.5916749,"('evil', 'good')",-1.4213824,-1.5916749,-0.1702925
32,0.78692704,0.5169309,"('unkind', 'kind')",0.786927,0.5169309,-0.2699961
33,-0.2512861,-0.3745435,"('wrong', 'right')",-0.2512861,-0.3745435,-0.1232574
34,1.6753635,1.8248514,"('mean', 'honorable')",1.6753635,1.8248514,0.1494879
35,-0.785865,-0.75904524,"('corrupt', 'incorrupt')",-0.785865,-0.7590452,0.0268198
36,-1.1636829,-1.2371626,"('hostile', 'amicable')",-1.1636829,-1.2371626,-0.0734797
37,0.088192806,0.041262947,"('fake', 'genuine')",0.0881928,0.0412629,-0.0469299
38,-0.1993731,-0.30485696,"('untruthful', 'truthful')",-0.1993731,-0.304857,-0.1054839
39,0.27283978,0.2321263,"('exploitative', 'cooperative')",0.2728398,0.2321263,-0.0407135
40,-1.3309324,-1.4723481,"('stingy', 'generous')",-1.3309324,-1.4723481,-0.1414157
41,-0.27246702,-0.33491284,"('unforgiving', 'forgiving')",-0.272467,-0.3349128,-0.0624458
42,0.33629432,0.3284942,"('unreliable', 'reliable')",0.3362943,0.3284942,-0.0078001
43,0.107436374,-0.061138272,"('irresponsible', 'responsible')",0.1074364,-0.0611383,-0.1685747
44,0.43661344,0.61537707,"('prejudiced', 'unprejudiced')",0.4366134,0.6153771,0.1787637
45,-0.1905571,-0.3524291,"('incompetent', 'competent')",-0.1905571,-0.3524291,-0.161872
46,-0.4268099,-0.47630936,"('uncompetitive', 'competitive')",-0.4268099,-0.4763094,-0.0494995
47,1.9061456,1.7873533,"('stupid', 'smart')",1.9061456,1.7873533,-0.1187923
48,-0.24137366,-0.15276518,"('unintelligent', 'intelligent')",-0.2413737,-0.1527652,0.0886085
49,-0.57771885,-0.24293667,"('unable', 'able')",-0.5777189,-0.2429367,0.3347822
50,0.5273488,0.6017993,"('clumsy', 'skillful')",0.5273488,0.6017993,0.0744505
51,0.3314073,0.21490917,"('uneducated', 'educated')",0.3314073,0.2149092,-0.1164981
52,-0.9364328,-1.195589,"('irrational', 'rational')",-0.9364328,-1.1955889,-0.2591561
