,larch_male,larch_female,tuple,average_male,average_female,female-male
0,-0.3003335,-0.3657968,"('unsociable', 'sociable')",-0.3003335,-0.3657968,-0.0654633
1,0.41179278,0.16645375,"('unfriendly', 'friendly')",0.4117928,0.1664537,-0.2453391
2,0.04458731,0.13451278,"('unlikable', 'likable')",0.0445873,0.1345128,0.0899255
3,-0.5213602,-0.35775664,"('repellent', 'pleasant')",-0.5213602,-0.3577566,0.1636036
4,-3.567914,-3.8766053,"('disliked', 'liked')",-3.567914,-3.8766053,-0.3086913
5,-0.5376195,-0.7463853,"('distant', 'outgoing')",-0.5376195,-0.7463853,-0.2087658
6,-0.46222398,-0.7230926,"('distant', 'open')",-0.462224,-0.7230926,-0.2608686
7,0.2311816,0.28754973,"('insensitive', 'sensitive')",0.2311816,0.2875497,0.0563681
8,0.7122505,0.6144372,"('unaffectionate', 'affectionate')",0.7122505,0.6144372,-0.0978133
9,0.70005685,0.6071698,"('unaffectionate', 'caring')",0.7000569,0.6071698,-0.0928871
10,0.15363282,0.13800664,"('unsympathetic', 'sympathetic')",0.1536328,0.1380066,-0.0156262
11,0.26976025,0.43237182,"('unhelpful', 'helpful')",0.2697603,0.4323718,0.1626115
12,-1.0746673,-1.1244469,"('unsupportive', 'supportive')",-1.0746673,-1.1244469,-0.0497796
13,-0.6385285,-0.5775118,"('impolite', 'polite')",-0.6385285,-0.5775118,0.0610167
14,0.009582292,0.13519982,"('antisocial', 'social')",0.0095823,0.1351998,0.1256175
15,0.31145552,0.16810629,"('boring', 'funny')",0.3114555,0.1681063,-0.1433492
16,-0.60375565,-0.6933999,"('unpopular', 'popular')",-0.6037557,-0.6933999,-0.0896442
17,-0.12765202,-0.23721996,"('nasty', 'nice')",-0.127652,-0.23722,-0.109568
18,-0.8512233,-0.76627177,"('disagreeable', 'welcoming')",-0.8512233,-0.7662718,0.0849515
19,-0.9827914,-1.1371323,"('inhospitable', 'hospitable')",-0.9827914,-1.1371323,-0.1543409
20,-0.04568112,-0.07338584,"('rough', 'thoughtful')",-0.0456811,-0.0733858,-0.0277047
21,-1.0839555,-0.7321505,"('immoral', 'moral')",-1.0839555,-0.7321505,0.351805
22,-0.16142952,-0.28770235,"('untrustworthy', 'trustworthy')",-0.1614295,-0.2877024,-0.1262729
23,2.8363955,2.9722245,"('insincere', 'sincere')",2.8363955,2.9722245,0.135829
24,0.6082126,0.5298942,"('dishonest', 'honest')",0.6082126,0.5298942,-0.0783184
25,0.7209806,0.5954574,"('egoistic', 'altruistic')",0.7209806,0.5954574,-0.1255232
26,1.1039401,0.7954638,"('hardhearted', 'benevolent')",1.1039401,0.7954638,-0.3084763
27,0.6843723,0.5282062,"('hardhearted', 'softhearted')",0.6843723,0.5282062,-0.1561661
28,0.51022893,0.3933191,"('disloyal', 'loyal')",0.5102289,0.3933191,-0.1169098
29,-0.7511212,-0.98735064,"('unfair', 'fair')",-0.7511212,-0.9873506,-0.2362294
30,0.41906136,0.56860805,"('intolerant', 'tolerant')",0.4190614,0.568608,0.1495466
31,-0.58739,-0.86448836,"('evil', 'good')",-0.58739,-0.8644884,-0.2770984
32,0.6834594,0.5255088,"('unkind', 'kind')",0.6834594,0.5255088,-0.1579506
33,0.32475552,0.16710718,"('wrong', 'right')",0.3247555,0.1671072,-0.1576483
34,1.7309277,1.879077,"('mean', 'honorable')",1.7309277,1.879077,0.1481493
35,-0.08105356,-0.53508687,"('corrupt', 'incorrupt')",-0.0810536,-0.5350869,-0.4540333
36,-0.3459654,-0.7202872,"('hostile', 'amicable')",-0.3459654,-0.7202872,-0.3743218
37,0.34775117,0.27007794,"('fake', 'genuine')",0.3477512,0.2700779,-0.0776733
38,-0.2900369,-0.3893073,"('untruthful', 'truthful')",-0.2900369,-0.3893073,-0.0992704
39,0.08358673,0.27144223,"('exploitative', 'cooperative')",0.0835867,0.2714422,0.1878555
40,-0.82503283,-1.0104156,"('stingy', 'generous')",-0.8250328,-1.0104156,-0.1853828
41,0.829256,0.6142757,"('unforgiving', 'forgiving')",0.829256,0.6142757,-0.2149803
42,-1.4284524,-1.5932269,"('unreliable', 'reliable')",-1.4284524,-1.5932269,-0.1647745
43,-0.015790487,0.12987646,"('irresponsible', 'responsible')",-0.0157905,0.1298765,0.145667
44,-0.8187719,-0.8250799,"('prejudiced', 'unprejudiced')",-0.8187719,-0.8250799,-0.006308
45,0.60600275,0.4118782,"('incompetent', 'competent')",0.6060027,0.4118782,-0.1941245
46,-0.5169205,-0.46942845,"('uncompetitive', 'competitive')",-0.5169205,-0.4694284,0.0474921
47,2.4372501,2.6453497,"('stupid', 'smart')",2.4372501,2.6453497,0.2080996
48,-0.31202766,-0.14470994,"('unintelligent', 'intelligent')",-0.3120277,-0.1447099,0.1673178
49,-0.81412977,-0.5460485,"('unable', 'able')",-0.8141298,-0.5460485,0.2680813
50,-0.102946825,-0.18493673,"('clumsy', 'skillful')",-0.1029468,-0.1849367,-0.0819899
51,-0.59505665,-0.57002914,"('uneducated', 'educated')",-0.5950567,-0.5700291,0.0250276
52,-0.25158006,-0.4203927,"('irrational', 'rational')",-0.2515801,-0.4203927,-0.1688126
53,-0.4423685,-0.6218168,"('uncreative', 'creative')",-0.4423685,-0.6218168,-0.1794483
54,0.11588064,-0.09420499,"('incapable', 'capable')",0.1158806,-0.094205,-0.2100856
55,0.35385302,0.59825546,"('incompetent', 'clever')",0.353853,0.5982555,0.2444025
56,-0.064326905,0.016938299,"('impractical', 'practical')",-0.0643269,0.0169383,0.0812652
57,-1.0077908,-1.2773007,"('unimaginative', 'imaginative')",-1.0077908,-1.2773007,-0.2695099
58,0.58490294,0.48710066,"('undiscriminating', 'discriminating')",0.5849029,0.4871007,-0.0978022
59,0.24241686,0.27770063,"('foolish', 'wise')",0.2424169,0.2777006,0.0352837
60,-0.31855166,0.21076073,"('inefficient', 'efficient')",-0.3185517,0.2107607,0.5293124
61,-0.06642915,-0.23239078,"('illogical', 'logical')",-0.0664292,-0.2323908,-0.1659616
62,0.19966316,0.5041966,"('incompetent', 'brilliant')",0.1996632,0.5041966,0.3045334
63,-0.40711945,-0.32810375,"('unperceptive', 'insightful')",-0.4071195,-0.3281038,0.0790157
64,-3.576652,-3.5481725,"('shy', 'confident')",-3.5766521,-3.5481725,0.0284796
65,-0.18457906,-0.007356424,"('insecure', 'secure')",-0.1845791,-0.0073564,0.1772227
66,-0.19987638,-0.41459817,"('inactive', 'active')",-0.1998764,-0.4145982,-0.2147218
67,0.112507954,0.27784288,"('doubtful', 'determined')",0.112508,0.2778429,0.1653349
68,-1.3112376,-1.1951602,"('dependent', 'independent')",-1.3112376,-1.1951602,0.1160774
69,-0.4557679,-0.6458642,"('lazy', 'industrious')",-0.4557679,-0.6458642,-0.1900963
70,0.17786217,0.01638083,"('lethargic', 'energetic')",0.1778622,0.0163808,-0.1614814
71,0.14641306,0.01757592,"('diffident', 'self-confident')",0.1464131,0.0175759,-0.1288372
72,-0.09362622,0.057337843,"('unambitious', 'ambitious')",-0.0936262,0.0573378,0.150964
73,-1.3121895,-1.4006962,"('helpless', 'self-reliant')",-1.3121895,-1.4006962,-0.0885067
74,0.16043702,0.17180875,"('undedicated', 'dedicated')",0.160437,0.1718087,0.0113717
75,-0.04067577,-0.19679622,"('meek', 'impulsive')",-0.0406758,-0.1967962,-0.1561204
76,-0.17042063,0.034989215,"('anxious', 'daring')",-0.1704206,0.0349892,0.2054098
77,-1.381477,-1.2444935,"('unmotivated', 'motivated')",-1.381477,-1.2444935,0.1369835
78,-0.6871838,-0.75665367,"('nonresilient', 'resilient')",-0.6871838,-0.7566537,-0.0694699
