,weatherford_male,weatherford_female,tuple,international_male,international_female,plc_male,plc_female,average_male,average_female,female-male
0,-0.6891391,-0.82513547,"('unsociable', 'sociable')",0.15065959,-0.017036535,-0.8757983,-0.97711027,-0.4714259,-0.6064274,-0.1350015
1,-1.73056,-1.856814,"('unfriendly', 'friendly')",0.30547097,0.13923368,2.375925,2.195865,0.3169454,0.1594282,-0.1575172
2,-0.34276795,-0.3069896,"('unlikable', 'likable')",1.0285943,1.12973,0.2568072,0.2871893,0.3142112,0.3699766,0.0557654
3,-0.727541,-0.68450534,"('repellent', 'pleasant')",-0.5841844,-0.5232807,-0.3975502,-0.28096744,-0.5697585,-0.4962512,0.0735073
4,0.411086,0.3887317,"('disliked', 'liked')",0.4080986,0.35739294,-4.4706593,-4.524853,-1.2171582,-1.2595762,-0.042418
5,-0.31035477,-0.21990694,"('distant', 'outgoing')",-0.054752916,0.012291759,0.8457971,0.7850679,0.1602298,0.1924842,0.0322544
6,-1.2247828,-1.1140928,"('distant', 'open')",-0.24886066,-0.21415284,0.6030302,0.5316156,-0.2902044,-0.2655433,0.0246611
7,0.07244539,0.06926507,"('insensitive', 'sensitive')",0.010785762,-0.028020516,0.41494614,0.46062467,0.1660591,0.1672897,0.0012306
8,-1.3908757,-1.4535155,"('unaffectionate', 'affectionate')",-0.4739015,-0.546835,0.9925787,0.7929796,-0.2907328,-0.402457,-0.1117242
9,-1.3089217,-1.3694239,"('unaffectionate', 'caring')",-0.021510758,-0.0856555,1.2875775,1.1747423,-0.014285,-0.0934457,-0.0791607
10,-0.98319453,-0.98269284,"('unsympathetic', 'sympathetic')",-1.2410591,-1.2267237,-1.2869011,-1.2067177,-1.1703849,-1.1387114,0.0316735
11,-0.64400184,-0.62925047,"('unhelpful', 'helpful')",-0.13826422,-0.119803876,0.95192397,0.9460125,0.0565526,0.0656527,0.0091001
12,-0.04050755,-0.01568611,"('unsupportive', 'supportive')",0.27834657,0.34180826,-1.2207294,-1.1769716,-0.3276301,-0.2836165,0.0440136
13,-0.25297466,-0.31305307,"('impolite', 'polite')",0.5087359,0.46663272,-1.0791873,-1.0688437,-0.2744753,-0.305088,-0.0306127
