,salsa_male,salsa_female,tuple,average_male,average_female,female-male
0,0.15422502,0.13514897,"('unsociable', 'sociable')",0.154225,0.135149,-0.019076
1,0.571614,0.5385672,"('unfriendly', 'friendly')",0.571614,0.5385672,-0.0330468
2,-0.12915303,-0.04521143,"('unlikable', 'likable')",-0.129153,-0.0452114,0.0839416
3,1.0005599,1.0651722,"('repellent', 'pleasant')",1.0005599,1.0651722,0.0646123
4,-7.3788595,-7.5077534,"('disliked', 'liked')",-7.3788595,-7.5077534,-0.1288939
5,-1.0608679,-1.0408931,"('distant', 'outgoing')",-1.0608679,-1.0408931,0.0199748
6,-0.5294929,-0.5730184,"('distant', 'open')",-0.5294929,-0.5730184,-0.0435255
7,0.96314555,1.0129185,"('insensitive', 'sensitive')",0.9631456,1.0129185,0.0497729
8,0.71511614,0.6316372,"('unaffectionate', 'affectionate')",0.7151161,0.6316372,-0.0834789
9,0.9378515,0.95789236,"('unaffectionate', 'caring')",0.9378515,0.9578924,0.0200409
10,1.4353925,1.4365077,"('unsympathetic', 'sympathetic')",1.4353925,1.4365077,0.0011152
11,1.2761015,1.2809106,"('unhelpful', 'helpful')",1.2761015,1.2809106,0.0048091
12,-1.83799,-1.8613138,"('unsupportive', 'supportive')",-1.83799,-1.8613138,-0.0233238
13,0.027469002,0.03556963,"('impolite', 'polite')",0.027469,0.0355696,0.0081006
14,0.7019722,0.6599198,"('antisocial', 'social')",0.7019722,0.6599198,-0.0420524
15,-0.060075697,-0.14687836,"('boring', 'funny')",-0.0600757,-0.1468784,-0.0868027
16,-0.7074574,-0.70918554,"('unpopular', 'popular')",-0.7074574,-0.7091855,-0.0017281
17,-0.4436631,-0.35065374,"('nasty', 'nice')",-0.4436631,-0.3506537,0.0930094
18,-0.086659275,-0.1556698,"('disagreeable', 'welcoming')",-0.0866593,-0.1556698,-0.0690105
19,-1.078097,-1.1157947,"('inhospitable', 'hospitable')",-1.078097,-1.1157947,-0.0376977
20,0.902272,0.8491649,"('rough', 'thoughtful')",0.902272,0.8491649,-0.0531071
21,-0.029243134,0.06917608,"('immoral', 'moral')",-0.0292431,0.0691761,0.0984192
22,-0.07331571,-0.10925564,"('untrustworthy', 'trustworthy')",-0.0733157,-0.1092556,-0.0359399
23,6.154832,6.205833,"('insincere', 'sincere')",6.1548319,6.205833,0.0510011
24,1.4915934,1.4090171,"('dishonest', 'honest')",1.4915934,1.4090171,-0.0825763
25,0.5411846,0.47927713,"('egoistic', 'altruistic')",0.5411846,0.4792771,-0.0619075
26,0.6133403,0.53182787,"('hardhearted', 'benevolent')",0.6133403,0.5318279,-0.0815124
27,1.4941076,1.3424813,"('hardhearted', 'softhearted')",1.4941076,1.3424813,-0.1516263
28,0.942333,0.9095831,"('disloyal', 'loyal')",0.942333,0.9095831,-0.0327499
