,genzyme_male,genzyme_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-1.4286839,-1.5363508,"('unsociable', 'sociable')",-0.15812904,-0.3173252,-0.7934065,-0.926838,-0.1334315
1,0.5880501,0.31726322,"('unfriendly', 'friendly')",1.740411,1.5827663,1.1642306,0.9500148,-0.2142158
2,0.23144247,0.22133763,"('unlikable', 'likable')",0.56025296,0.5570807,0.3958477,0.3892092,-0.0066385
3,-2.0167196,-1.969773,"('repellent', 'pleasant')",0.5920439,0.62833774,-0.7123379,-0.6707177,0.0416202
4,0.3771322,0.30683383,"('disliked', 'liked')",-7.0840034,-7.322016,-3.3534355,-3.507591,-0.1541555
5,1.4581615,1.3414743,"('distant', 'outgoing')",-0.35604736,-0.40939063,0.551057,0.4660418,-0.0850152
6,1.3539749,1.2067534,"('distant', 'open')",-0.11514942,-0.19359744,0.6194128,0.506578,-0.1128348
7,-1.4835716,-1.4818257,"('insensitive', 'sensitive')",0.056603324,0.06992475,-0.7134842,-0.7059505,0.0075337
8,0.2066194,0.04859377,"('unaffectionate', 'affectionate')",0.92671216,0.86460483,0.5666658,0.4565993,-0.1100665
9,-0.5646592,-0.72441244,"('unaffectionate', 'caring')",1.1736484,1.1596191,0.3044946,0.2176033,-0.0868913
10,-3.0794287,-3.0747132,"('unsympathetic', 'sympathetic')",-0.826474,-0.85364735,-1.9529513,-1.9641802,-0.0112289
11,-1.4958726,-1.4947387,"('unhelpful', 'helpful')",1.179237,1.2490062,-0.1583178,-0.1228663,0.0354515
12,-0.91921663,-0.92614317,"('unsupportive', 'supportive')",-2.3662655,-2.40972,-1.6427411,-1.6679316,-0.0251905
13,-1.7561542,-1.7451012,"('impolite', 'polite')",-1.1695251,-1.0956333,-1.4628396,-1.4203672,0.0424724
14,-1.578066,-1.5283248,"('antisocial', 'social')",-0.1801847,-0.2856576,-0.8791254,-0.9069912,-0.0278658
15,0.6119986,0.5710364,"('boring', 'funny')",0.11510339,0.099350795,0.363551,0.3351936,-0.0283574
16,0.3361526,0.32707348,"('unpopular', 'popular')",0.6198414,0.55144507,0.477997,0.4392593,-0.0387377
17,-0.09004606,-0.09191348,"('nasty', 'nice')",-0.33422554,-0.29745352,-0.2121358,-0.1946835,0.0174523
18,0.5089689,0.42491534,"('disagreeable', 'welcoming')",-0.340917,-0.4561342,0.0840259,-0.0156094,-0.0996353
19,0.035548776,-0.10488327,"('inhospitable', 'hospitable')",-0.41507083,-0.38273606,-0.189761,-0.2438097,-0.0540487
20,-0.030240264,-0.022531599,"('rough', 'thoughtful')",1.1546963,1.1221044,0.562228,0.5497864,-0.0124416
21,-1.1427946,-1.1733905,"('immoral', 'moral')",-0.8868037,-0.85902613,-1.0147991,-1.0162083,-0.0014092
