,beam_male,beam_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.8691914,0.72582436,"('unsociable', 'sociable')",0.049996324,-0.10366385,0.4595939,0.3110802,-0.1485137
1,-0.23024802,-0.1505171,"('unfriendly', 'friendly')",1.4189553,1.36312,0.5943537,0.6063014,0.0119477
2,0.03596042,0.12334807,"('unlikable', 'likable')",0.21951716,0.3191559,0.1277388,0.221252,0.0935132
3,0.62573534,0.7389266,"('repellent', 'pleasant')",0.20442934,0.29093647,0.4150823,0.5149316,0.0998493
4,-1.5017486,-1.5412806,"('disliked', 'liked')",-6.6952066,-6.859206,-4.0984774,-4.2002435,-0.1017661
5,-1.8095615,-1.6897485,"('distant', 'outgoing')",-0.4630252,-0.42590958,-1.1362934,-1.057829,0.0784644
6,-2.3703883,-2.1827888,"('distant', 'open')",-0.12450347,-0.082227826,-1.2474458,-1.1325083,0.1149375
7,1.8759093,1.8616023,"('insensitive', 'sensitive')",0.9881361,1.0386398,1.4320227,1.450121,0.0180983
8,-0.21261093,-0.034178887,"('unaffectionate', 'affectionate')",1.0312475,0.97294974,0.4093183,0.4693854,0.0600671
9,0.6189009,0.8411611,"('unaffectionate', 'caring')",1.094349,1.1083215,0.856625,0.9747413,0.1181163
10,2.2080858,2.2167053,"('unsympathetic', 'sympathetic')",-0.15821816,-0.20877536,1.0249338,1.003965,-0.0209688
11,1.0426372,1.1847347,"('unhelpful', 'helpful')",1.8628672,1.9845563,1.4527522,1.5846455,0.1318933
12,1.6654364,1.7199067,"('unsupportive', 'supportive')",-1.6665857,-1.6791401,-0.0005746,0.0203833,0.0209579
13,1.0072306,0.91913766,"('impolite', 'polite')",-0.67529184,-0.64718413,0.1659694,0.1359768,-0.0299926
14,2.0264173,1.8007116,"('antisocial', 'social')",-0.14203429,-0.23324254,0.9421915,0.7837346,-0.1584569
15,-0.09001899,-0.14272901,"('boring', 'funny')",0.21212025,0.1510878,0.0610506,0.0041794,-0.0568712
16,-1.9987098,-1.9592762,"('unpopular', 'popular')",0.108628124,0.13179153,-0.9450408,-0.9137423,0.0312985
17,-0.41268063,-0.30931824,"('nasty', 'nice')",-0.5489076,-0.5051711,-0.4807941,-0.4072447,0.0735494
18,-0.48510003,-0.46428165,"('disagreeable', 'welcoming')",-0.4383103,-0.41224903,-0.4617051,-0.4382653,0.0234398
19,-1.4102765,-1.3043675,"('inhospitable', 'hospitable')",-0.4659935,-0.3303674,-0.938135,-0.8173674,0.1207676
20,0.826848,0.7529899,"('rough', 'thoughtful')",1.2736186,1.217634,1.0502332,0.9853119,-0.0649213
