,ingevity_male,ingevity_female,tuple,corp_male,corp_female,average_male,average_female,female-male
51,-0.7080936,-0.7584241,"('uneducated', 'educated')",0.07637478,0.09684539,-0.3158594,-0.3307894,-0.01493
52,-0.5084114,-0.6715283,"('irrational', 'rational')",0.4388705,0.32848388,-0.0347705,-0.1715222,-0.1367517
53,-1.8439891,-1.7940234,"('uncreative', 'creative')",0.36108828,0.3217326,-0.7414504,-0.7361454,0.005305
54,-0.74488485,-0.8075419,"('incapable', 'capable')",0.94394636,0.9739552,0.0995308,0.0832067,-0.0163241
55,-0.69270545,-0.6654103,"('incompetent', 'clever')",0.08509943,0.15669288,-0.303803,-0.2543587,0.0494443
56,0.18621153,0.18113026,"('impractical', 'practical')",-1.0729147,-0.9459278,-0.4433516,-0.3823988,0.0609528
57,-1.114203,-1.1535575,"('unimaginative', 'imaginative')",-3.2699976,-3.3371542,-2.1921003,-2.2453558,-0.0532555
58,-0.7681115,-0.73349667,"('undiscriminating', 'discriminating')",0.0988546,0.07341208,-0.3346285,-0.3300423,0.0045862
59,-0.01031914,-0.035194155,"('foolish', 'wise')",0.23340717,0.33451197,0.111544,0.1496589,0.0381149
60,0.10259242,0.18534425,"('inefficient', 'efficient')",-0.52160156,-0.2909451,-0.2095046,-0.0528004,0.1567042
61,-0.54438925,-0.60077935,"('illogical', 'logical')",0.4803828,0.33705515,-0.0320032,-0.1318621,-0.0998589
62,0.03908672,0.1370033,"('incompetent', 'brilliant')",0.1656144,0.40367356,0.1023506,0.2703384,0.1679878
63,-0.95586693,-0.8842691,"('unperceptive', 'insightful')",0.44181964,0.60334855,-0.2570236,-0.1404603,0.1165633
64,0.4440148,0.4389269,"('shy', 'confident')",-7.3004904,-7.329808,-3.4282379,-3.4454408,-0.0172029
65,-0.15705726,-0.22569308,"('insecure', 'secure')",-0.68368286,-0.5155772,-0.42037,-0.3706352,0.0497348
66,-0.44171685,-0.4527984,"('inactive', 'active')",0.42091087,0.3403692,-0.010403,-0.0562146,-0.0458116
67,0.63847756,0.6289753,"('doubtful', 'determined')",-0.77059215,-0.79176027,-0.0660573,-0.0813925,-0.0153352
68,-0.5528883,-0.532736,"('dependent', 'independent')",-0.9715907,-0.8625276,-0.7622395,-0.6976318,0.0646077
69,1.4654107,1.5280408,"('lazy', 'industrious')",-0.5796208,-0.64683986,0.442895,0.4406005,-0.0022945
70,-0.21000747,-0.18457933,"('lethargic', 'energetic')",-0.11688267,-0.067245625,-0.1634451,-0.1259125,0.0375326
71,-0.4238535,-0.33676568,"('diffident', 'self-confident')",0.6850576,0.7112744,0.130602,0.1872544,0.0566524
72,-0.8804013,-0.8489504,"('unambitious', 'ambitious')",-0.3201898,-0.2724207,-0.6002955,-0.5606855,0.03961
73,0.86416405,0.86158824,"('helpless', 'self-reliant')",-3.2319543,-3.2090657,-1.1838951,-1.1737387,0.0101564
74,-0.702052,-0.6828562,"('undedicated', 'dedicated')",-0.37762988,-0.48443282,-0.5398409,-0.5836445,-0.0438036
75,0.26209724,0.2639903,"('meek', 'impulsive')",-0.7407164,-0.6671334,-0.2393096,-0.2015715,0.0377381
76,0.522695,0.58343214,"('anxious', 'daring')",-0.67562795,-0.5709884,-0.0764665,0.0062219,0.0826884
