,moai_male,moai_female,tuple,average_male,average_female,female-male
0,0.8737588,0.7136989,"('unsociable', 'sociable')",0.8737588,0.7136989,-0.1600599
1,0.10841742,0.04910564,"('unfriendly', 'friendly')",0.1084174,0.0491056,-0.0593118
2,1.0816718,1.078675,"('unlikable', 'likable')",1.0816718,1.078675,-0.0029968
3,0.6266543,0.67366314,"('repellent', 'pleasant')",0.6266543,0.6736631,0.0470088
4,-2.2176447,-2.2281218,"('disliked', 'liked')",-2.2176447,-2.2281218,-0.0104771
5,-0.80798876,-0.7780583,"('distant', 'outgoing')",-0.8079888,-0.7780583,0.0299305
6,-0.7817079,-0.73920655,"('distant', 'open')",-0.7817079,-0.7392066,0.0425013
7,0.44401294,0.45469528,"('insensitive', 'sensitive')",0.4440129,0.4546953,0.0106824
8,-0.526366,-0.5375993,"('unaffectionate', 'affectionate')",-0.526366,-0.5375993,-0.0112333
9,0.048404433,-0.0069500115,"('unaffectionate', 'caring')",0.0484044,-0.00695,-0.0553544
10,0.07770239,0.05441087,"('unsympathetic', 'sympathetic')",0.0777024,0.0544109,-0.0232915
11,0.798739,0.6941441,"('unhelpful', 'helpful')",0.798739,0.6941441,-0.1045949
12,-0.38088155,-0.40416536,"('unsupportive', 'supportive')",-0.3808815,-0.4041654,-0.0232839
13,0.1575144,-0.0015148167,"('impolite', 'polite')",0.1575144,-0.0015148,-0.1590292
14,0.7771978,0.68593794,"('antisocial', 'social')",0.7771978,0.6859379,-0.0912599
15,0.37277693,0.3519997,"('boring', 'funny')",0.3727769,0.3519997,-0.0207772
16,0.03249334,0.08583214,"('unpopular', 'popular')",0.0324933,0.0858321,0.0533388
17,-0.3920705,-0.34059706,"('nasty', 'nice')",-0.3920705,-0.3405971,0.0514734
18,-0.21926035,-0.21292454,"('disagreeable', 'welcoming')",-0.2192603,-0.2129245,0.0063358
19,-1.1810639,-1.087628,"('inhospitable', 'hospitable')",-1.1810639,-1.087628,0.0934359
20,0.15692995,0.10211694,"('rough', 'thoughtful')",0.15693,0.1021169,-0.0548131
21,0.52834356,0.55453134,"('immoral', 'moral')",0.5283436,0.5545313,0.0261877
22,0.40923738,0.38394216,"('untrustworthy', 'trustworthy')",0.4092374,0.3839422,-0.0252952
23,2.9225142,2.823165,"('insincere', 'sincere')",2.9225142,2.8231649,-0.0993493
24,0.69291925,0.61701334,"('dishonest', 'honest')",0.6929193,0.6170133,-0.075906
25,-0.44066143,-0.42675167,"('egoistic', 'altruistic')",-0.4406614,-0.4267517,0.0139097
26,0.17126632,0.16225366,"('hardhearted', 'benevolent')",0.1712663,0.1622537,-0.0090126
27,-0.13206351,-0.22348252,"('hardhearted', 'softhearted')",-0.1320635,-0.2234825,-0.091419
28,0.04571581,-0.022679172,"('disloyal', 'loyal')",0.0457158,-0.0226792,-0.068395
