,amphenol_male,amphenol_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.74930155,-1.0093749,"('unsociable', 'sociable')",0.2032984,0.005025072,-0.2730016,-0.5021749,-0.2291733
1,-1.3188683,-1.4344252,"('unfriendly', 'friendly')",0.72202986,0.51099455,-0.2984192,-0.4617153,-0.1632961
2,0.8312173,0.7768078,"('unlikable', 'likable')",0.9492649,0.8976872,0.8902411,0.8372475,-0.0529936
3,-0.4425131,-0.4216513,"('repellent', 'pleasant')",0.87197226,0.86075646,0.2147296,0.2195526,0.004823
4,0.38839442,0.35305724,"('disliked', 'liked')",-5.7123356,-5.646677,-2.6619706,-2.6468098,0.0151608
5,-0.80170554,-0.708657,"('distant', 'outgoing')",-0.9281946,-0.84566945,-0.8649501,-0.7771633,0.0877868
6,-1.0811274,-0.9774876,"('distant', 'open')",-1.2747394,-1.2314022,-1.1779335,-1.1044449,0.0734886
7,-1.3684766,-1.3973838,"('insensitive', 'sensitive')",0.1781316,0.10464573,-0.5951725,-0.646369,-0.0511965
8,-1.1083486,-1.1854899,"('unaffectionate', 'affectionate')",-0.11994617,-0.19740953,-0.6141474,-0.6914497,-0.0773023
9,-1.3930435,-1.4391773,"('unaffectionate', 'caring')",0.51845783,0.4913116,-0.4372928,-0.4739328,-0.03664
10,-1.2615868,-1.4093281,"('unsympathetic', 'sympathetic')",-0.37187105,-0.51755464,-0.8167289,-0.9634414,-0.1467125
11,-0.4770314,-0.56101996,"('unhelpful', 'helpful')",2.0591094,2.006049,0.791039,0.7225145,-0.0685245
12,-0.65770996,-0.6787297,"('unsupportive', 'supportive')",-1.9377435,-1.9274197,-1.2977268,-1.3030747,-0.0053479
13,-0.8950441,-1.0252019,"('impolite', 'polite')",-0.34435308,-0.32934448,-0.6196986,-0.6772732,-0.0575746
14,-0.0952836,-0.16077527,"('antisocial', 'social')",0.5652312,0.4723778,0.2349738,0.1558013,-0.0791725
15,-0.1278117,-0.21823882,"('boring', 'funny')",0.09726721,0.07095747,-0.0152722,-0.0736407,-0.0583685
16,0.108708024,0.13572384,"('unpopular', 'popular')",0.69321656,0.6520475,0.4009623,0.3938857,-0.0070766
17,0.0012324322,0.03227456,"('nasty', 'nice')",-0.23374248,-0.14228874,-0.116255,-0.0550071,0.0612479
18,-0.4925993,-0.51759607,"('disagreeable', 'welcoming')",-0.6274412,-0.72987545,-0.5600203,-0.6237358,-0.0637155
19,-1.66308,-1.6820354,"('inhospitable', 'hospitable')",-0.7628433,-0.79194653,-1.2129617,-1.2369909,-0.0240292
20,-0.26098418,-0.24976647,"('rough', 'thoughtful')",0.55122083,0.4810053,0.1451183,0.1156194,-0.0294989
21,-0.001602225,-0.10369676,"('immoral', 'moral')",0.08887074,0.029479565,0.0436343,-0.0371086,-0.0807429
22,-0.69275045,-0.76360476,"('untrustworthy', 'trustworthy')",-0.9154505,-0.9811151,-0.8041005,-0.8723599,-0.0682594
23,-1.302956,-1.4322729,"('insincere', 'sincere')",5.2387676,5.0785375,1.9679058,1.8231323,-0.1447735
24,-0.982381,-1.0567136,"('dishonest', 'honest')",0.6289362,0.58287704,-0.1767224,-0.2369183,-0.0601959
25,-0.39689398,-0.38932267,"('egoistic', 'altruistic')",0.8597354,0.85108274,0.2314207,0.23088,-0.0005407
26,-0.76452196,-0.8696124,"('hardhearted', 'benevolent')",1.262328,1.0615262,0.248903,0.0959569,-0.1529461
27,-0.416007,-0.2692292,"('hardhearted', 'softhearted')",0.47478113,0.4243621,0.0293871,0.0775664,0.0481793
28,-1.0745292,-1.2088504,"('disloyal', 'loyal')",0.8398498,0.67679614,-0.1173397,-0.2660271,-0.1486874
29,-0.49424192,-0.4871934,"('unfair', 'fair')",-0.48490906,-0.58963346,-0.4895755,-0.5384134,-0.0488379
30,-0.32484585,-0.4566124,"('intolerant', 'tolerant')",1.3868806,1.23996,0.5310174,0.3916738,-0.1393436
31,-0.8501083,-0.80914444,"('evil', 'good')",-1.173896,-1.2083344,-1.0120021,-1.0087395,0.0032626
32,-0.36912954,-0.44752258,"('unkind', 'kind')",0.9107316,0.7154066,0.270801,0.133942,-0.136859
33,-0.25705886,-0.30905938,"('wrong', 'right')",-0.9934443,-0.9820421,-0.6252516,-0.6455507,-0.0202991
34,0.023050904,0.064153,"('mean', 'honorable')",5.3995204,5.4520965,2.7112856,2.7581248,0.0468392
35,0.14009982,0.18800926,"('corrupt', 'incorrupt')",-0.69931084,-0.6716173,-0.2796055,-0.241804,0.0378015
36,-0.82157785,-0.8670979,"('hostile', 'amicable')",-0.6804601,-0.77692056,-0.751019,-0.8220092,-0.0709902
37,-0.49525535,-0.52281505,"('fake', 'genuine')",-0.42689785,-0.4000658,-0.4610766,-0.4614404,-0.0003638
38,-0.50254035,-0.5759151,"('untruthful', 'truthful')",0.17971545,0.24931285,-0.1614124,-0.1633011,-0.0018887
39,-0.112409756,-0.14916946,"('exploitative', 'cooperative')",0.02311531,0.035536014,-0.0446472,-0.0568167,-0.0121695
40,0.25288802,0.2723591,"('stingy', 'generous')",-1.7740924,-1.7579833,-0.7606022,-0.7428121,0.0177901
41,-0.3510257,-0.46817303,"('unforgiving', 'forgiving')",-0.0459566,-0.20569338,-0.1984912,-0.3369332,-0.138442
42,0.18727042,0.14124861,"('unreliable', 'reliable')",-3.033535,-3.0588272,-1.4231323,-1.4587892,-0.0356569
43,-1.176483,-1.2488817,"('irresponsible', 'responsible')",0.22850761,0.108232945,-0.4739877,-0.5703244,-0.0963367
44,0.43481633,0.49434096,"('prejudiced', 'unprejudiced')",-1.4807885,-1.4882405,-0.5229861,-0.4969498,0.0260363
45,-1.145629,-1.2557147,"('incompetent', 'competent')",0.3327796,0.1785841,-0.4064247,-0.5385653,-0.1321406
46,-0.30645582,-0.39962137,"('uncompetitive', 'competitive')",-0.3688063,-0.38636893,-0.337631,-0.3929951,-0.0553641
47,-0.20429568,-0.17636192,"('stupid', 'smart')",4.7960024,4.830485,2.2958534,2.3270614,0.031208
48,0.3315514,0.2526104,"('unintelligent', 'intelligent')",1.3474119,1.3208594,0.8394817,0.7867349,-0.0527468
49,0.4725783,0.6171,"('unable', 'able')",-0.017786512,0.12346666,0.2273959,0.3702833,0.1428874
50,0.3827567,0.38039872,"('clumsy', 'skillful')",-0.092917375,-0.20997201,0.1449197,0.0852134,-0.0597063
51,-0.24967815,-0.39389998,"('uneducated', 'educated')",1.0321248,0.9346992,0.3912233,0.2703996,-0.1208237
52,-0.6660861,-0.69904834,"('irrational', 'rational')",-0.40902933,-0.46956474,-0.5375577,-0.5843065,-0.0467488
53,-1.473511,-1.5190127,"('uncreative', 'creative')",0.31424996,0.20236696,-0.5796305,-0.6583229,-0.0786924
54,-0.95885515,-1.0222598,"('incapable', 'capable')",0.49401605,0.47499144,-0.2324196,-0.2736342,-0.0412146
55,-0.4185027,-0.5293761,"('incompetent', 'clever')",0.7854978,0.6982703,0.1834975,0.0844471,-0.0990504
56,0.34089404,0.1652937,"('impractical', 'practical')",0.048928652,-0.010471096,0.1949113,0.0774113,-0.1175
57,-0.91051525,-1.0708289,"('unimaginative', 'imaginative')",-2.7569027,-2.875566,-1.833709,-1.9731975,-0.1394885
58,0.14171839,0.051062353,"('undiscriminating', 'discriminating')",0.17411321,0.059446637,0.1579158,0.0552545,-0.1026613
59,-0.042776033,0.021047646,"('foolish', 'wise')",-0.30873376,-0.23181681,-0.1757549,-0.1053846,0.0703703
60,0.13470243,0.057264764,"('inefficient', 'efficient')",0.43192264,0.47068676,0.2833125,0.2639758,-0.0193367
