,pitney_male,pitney_female,tuple,bowes_male,bowes_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.123661146,-0.24761084,"('unsociable', 'sociable')",-0.23365319,-0.43210533,-0.31368446,-0.44764364,-0.2236663,-0.3757866,-0.1521203
1,-0.9199379,-1.1997144,"('unfriendly', 'friendly')",-0.80344874,-1.0001488,1.7663205,1.6244718,0.0143113,-0.1917971,-0.2061084
2,0.15910073,0.24999204,"('unlikable', 'likable')",0.1575349,0.26124886,0.1928921,0.35249248,0.1698426,0.2879111,0.1180685
3,-1.0205667,-0.94906723,"('repellent', 'pleasant')",-1.2806684,-1.1514721,0.07734744,0.13268209,-0.7412959,-0.6559524,0.0853435
4,1.1398044,0.9704113,"('disliked', 'liked')",0.7873239,0.66926724,-6.0789986,-6.1126685,-1.3839568,-1.4909967,-0.1070399
5,0.36248717,0.3082161,"('distant', 'outgoing')",-0.22874951,-0.20479189,-0.12245868,-0.050069716,0.0037597,0.0177848,0.0140251
6,0.4575948,0.404467,"('distant', 'open')",-0.18025805,-0.10883852,0.57712024,0.6112914,0.284819,0.3023066,0.0174876
7,-0.14375274,-0.086322166,"('insensitive', 'sensitive')",0.018117065,0.013173111,0.9276386,0.914024,0.2673343,0.2802916,0.0129573
8,0.0805109,-0.006167587,"('unaffectionate', 'affectionate')",-0.09510696,-0.072670564,1.1035413,0.9978099,0.3629817,0.3063239,-0.0566578
9,-0.2713398,-0.34241578,"('unaffectionate', 'caring')",-0.39419705,-0.404295,1.3395098,1.2611732,0.2246577,0.1714875,-0.0531702
10,-1.3258344,-1.2786732,"('unsympathetic', 'sympathetic')",-0.95094,-0.9684277,0.047125753,-0.04417534,-0.7432162,-0.7637587,-0.0205425
11,-0.88462,-0.8009434,"('unhelpful', 'helpful')",-0.40613562,-0.36856592,1.7217788,1.7810969,0.1436744,0.2038625,0.0601881
12,-0.35560578,-0.34138852,"('unsupportive', 'supportive')",-0.009551286,0.0537348,-1.771479,-1.6892047,-0.712212,-0.6589528,0.0532592
13,-0.7064511,-0.6543222,"('impolite', 'polite')",-0.12246919,-0.21702042,-0.43507174,-0.41217464,-0.4213307,-0.4278391,-0.0065084
14,-0.3082461,-0.2449641,"('antisocial', 'social')",0.11363164,0.09679537,-0.56974494,-0.57913685,-0.2547865,-0.2424352,0.0123513
15,0.35950816,0.2774473,"('boring', 'funny')",0.56115776,0.46781397,0.46554106,0.45744634,0.462069,0.4009025,-0.0611665
16,-0.4668136,-0.4975858,"('unpopular', 'popular')",-0.6111236,-0.64027923,0.33082157,0.31503052,-0.2490386,-0.2742782,-0.0252396
17,-0.08090461,-0.049686648,"('nasty', 'nice')",0.17385772,0.21151836,-0.49150336,-0.45113662,-0.1328501,-0.096435,0.0364151
18,-1.2488364,-1.2156991,"('disagreeable', 'welcoming')",-0.452429,-0.30328393,-0.87905717,-0.75278556,-0.8601075,-0.7572562,0.1028513
19,-0.017094122,0.022064598,"('inhospitable', 'hospitable')",0.46209574,0.5206373,-0.14201798,0.02438474,0.1009945,0.1890289,0.0880344
20,-0.33426976,-0.32429335,"('rough', 'thoughtful')",0.099708006,0.20360237,1.3946726,1.3120588,0.3867036,0.3971226,0.010419
21,-1.5395869,-1.4778711,"('immoral', 'moral')",-0.7737933,-0.74053866,-1.1903266,-1.1023778,-1.1679023,-1.1069291,0.0609732
22,-0.17373379,-0.23977311,"('untrustworthy', 'trustworthy')",0.5056222,0.48334062,-0.544603,-0.5490821,-0.0709049,-0.1018382,-0.0309333
23,-0.8613998,-0.88332146,"('insincere', 'sincere')",-0.75887316,-0.8065189,5.3526607,5.2246375,1.2441292,1.1782657,-0.0658635
24,-0.43021047,-0.47725487,"('dishonest', 'honest')",-0.36173248,-0.39056018,0.90474766,0.87639874,0.0376016,0.0028612,-0.0347404
25,0.32271412,0.25343686,"('egoistic', 'altruistic')",0.044009704,0.039102174,1.1448671,1.1345814,0.5038637,0.4757068,-0.0281569
26,-0.21017313,-0.32089344,"('hardhearted', 'benevolent')",-0.11188401,-0.21721455,1.8814212,1.7734405,0.519788,0.4117775,-0.1080105
27,-0.938297,-0.9262427,"('hardhearted', 'softhearted')",-0.06291563,0.0057382043,1.4499375,1.3271023,0.149575,0.1355326,-0.0140424
28,-0.4224107,-0.49546933,"('disloyal', 'loyal')",-0.9049005,-0.9957894,1.1653488,0.96006155,-0.0539875,-0.1770657,-0.1230782
29,0.64753604,0.5155431,"('unfair', 'fair')",-0.047954228,-0.056794085,-0.07419472,-0.21011458,0.175129,0.0828781,-0.0922509
30,-0.5081548,-0.4813177,"('intolerant', 'tolerant')",0.10574585,0.08866473,0.9147231,1.005223,0.1707714,0.20419,0.0334186
31,0.10932911,-0.013395666,"('evil', 'good')",-0.1392178,-0.122360565,-0.7583601,-0.7958398,-0.2627496,-0.310532,-0.0477824
32,-1.0729849,-1.1409571,"('unkind', 'kind')",-0.45645085,-0.5954809,0.8165315,0.60923123,-0.2376348,-0.3757356,-0.1381008
33,-0.101024404,-0.13643275,"('wrong', 'right')",0.59990513,0.55722475,-0.49693975,-0.46827942,0.000647,-0.0158291,-0.0164761
