,run_male,run_female,tuple,average_male,average_female,female-male
0,0.36794326,0.08670561,"('unsociable', 'sociable')",0.3679433,0.0867056,-0.2812377
1,0.6252953,0.70695615,"('unfriendly', 'friendly')",0.6252953,0.7069561,0.0816608
2,0.12883371,0.134035,"('unlikable', 'likable')",0.1288337,0.134035,0.0052013
3,0.7546022,0.63596183,"('repellent', 'pleasant')",0.7546022,0.6359618,-0.1186404
4,-6.514668,-6.7329035,"('disliked', 'liked')",-6.514668,-6.7329035,-0.2182355
5,-1.0205755,-0.8573528,"('distant', 'outgoing')",-1.0205755,-0.8573528,0.1632227
6,-0.34309578,-0.18389046,"('distant', 'open')",-0.3430958,-0.1838905,0.1592053
7,1.4669014,1.4348687,"('insensitive', 'sensitive')",1.4669014,1.4348687,-0.0320327
8,0.5681737,0.5359366,"('unaffectionate', 'affectionate')",0.5681737,0.5359366,-0.0322371
9,1.3640705,1.3867555,"('unaffectionate', 'caring')",1.3640705,1.3867555,0.022685
10,1.5955958,1.419243,"('unsympathetic', 'sympathetic')",1.5955958,1.419243,-0.1763528
11,1.8688474,1.9527828,"('unhelpful', 'helpful')",1.8688474,1.9527828,0.0839354
12,-1.0015663,-1.0670418,"('unsupportive', 'supportive')",-1.0015663,-1.0670418,-0.0654755
13,0.028613321,-0.13545623,"('impolite', 'polite')",0.0286133,-0.1354562,-0.1640695
14,0.8906678,0.67995405,"('antisocial', 'social')",0.8906678,0.6799541,-0.2107137
15,-0.13589726,-0.14519846,"('boring', 'funny')",-0.1358973,-0.1451985,-0.0093012
16,-0.59705997,-0.5507884,"('unpopular', 'popular')",-0.59706,-0.5507884,0.0462716
17,-0.6961801,-0.5855876,"('nasty', 'nice')",-0.6961801,-0.5855876,0.1105925
18,-0.22287193,-0.2781015,"('disagreeable', 'welcoming')",-0.2228719,-0.2781015,-0.0552296
19,-0.67301923,-0.5024631,"('inhospitable', 'hospitable')",-0.6730192,-0.5024631,0.1705561
20,0.95143074,0.8435398,"('rough', 'thoughtful')",0.9514307,0.8435398,-0.1078909
21,0.5498522,0.42963427,"('immoral', 'moral')",0.5498522,0.4296343,-0.1202179
22,-0.0051919557,-0.20452261,"('untrustworthy', 'trustworthy')",-0.005192,-0.2045226,-0.1993306
23,6.297419,6.389253,"('insincere', 'sincere')",6.2974191,6.3892531,0.091834
24,1.8293332,1.7201838,"('dishonest', 'honest')",1.8293332,1.7201838,-0.1091494
25,0.31389475,0.2533274,"('egoistic', 'altruistic')",0.3138947,0.2533274,-0.0605673
26,0.794843,0.79381335,"('hardhearted', 'benevolent')",0.794843,0.7938133,-0.0010297
27,1.0100254,0.85163474,"('hardhearted', 'softhearted')",1.0100254,0.8516347,-0.1583907
28,1.1877922,1.1831477,"('disloyal', 'loyal')",1.1877922,1.1831477,-0.0046445
29,-0.6616949,-0.7294898,"('unfair', 'fair')",-0.6616949,-0.7294898,-0.0677949
30,1.2546341,1.1216328,"('intolerant', 'tolerant')",1.2546341,1.1216328,-0.1330013
31,-2.2269337,-2.0492227,"('evil', 'good')",-2.2269337,-2.0492227,0.177711
32,1.7966504,1.7371944,"('unkind', 'kind')",1.7966504,1.7371944,-0.059456
33,-0.4880264,-0.47186738,"('wrong', 'right')",-0.4880264,-0.4718674,0.016159
34,4.504746,4.7902365,"('mean', 'honorable')",4.504746,4.7902365,0.2854905
35,-1.3368925,-1.365654,"('corrupt', 'incorrupt')",-1.3368925,-1.365654,-0.0287615
36,-1.1276615,-1.0392575,"('hostile', 'amicable')",-1.1276615,-1.0392575,0.088404
37,1.148478,1.096324,"('fake', 'genuine')",1.148478,1.096324,-0.052154
38,0.12558965,0.20706186,"('untruthful', 'truthful')",0.1255897,0.2070619,0.0814722
39,0.609237,0.515763,"('exploitative', 'cooperative')",0.609237,0.515763,-0.093474
40,-1.7566588,-2.0061812,"('stingy', 'generous')",-1.7566588,-2.0061812,-0.2495224
41,0.3714694,0.301123,"('unforgiving', 'forgiving')",0.3714694,0.301123,-0.0703464
42,-1.7235882,-1.9580725,"('unreliable', 'reliable')",-1.7235882,-1.9580725,-0.2344843
43,1.3371705,1.2574499,"('irresponsible', 'responsible')",1.3371705,1.2574499,-0.0797206
44,-1.0871271,-1.1715983,"('prejudiced', 'unprejudiced')",-1.0871271,-1.1715983,-0.0844712
45,0.37222117,0.2558105,"('incompetent', 'competent')",0.3722212,0.2558105,-0.1164107
46,-0.00815749,-0.23462611,"('uncompetitive', 'competitive')",-0.0081575,-0.2346261,-0.2264686
47,5.012062,5.2318063,"('stupid', 'smart')",5.0120621,5.2318063,0.2197442
48,0.88727355,0.7263839,"('unintelligent', 'intelligent')",0.8872736,0.7263839,-0.1608897
49,0.6473255,0.6494396,"('unable', 'able')",0.6473255,0.6494396,0.0021141
50,-0.58312786,-0.58886486,"('clumsy', 'skillful')",-0.5831279,-0.5888649,-0.005737
51,1.3879234,1.1737745,"('uneducated', 'educated')",1.3879234,1.1737745,-0.2141489
52,-1.5302904,-1.5583105,"('irrational', 'rational')",-1.5302904,-1.5583105,-0.0280201
53,-0.3061146,-0.33282754,"('uncreative', 'creative')",-0.3061146,-0.3328275,-0.0267129
54,1.1839852,1.2607793,"('incapable', 'capable')",1.1839852,1.2607793,0.0767941
55,1.2192372,0.9614015,"('incompetent', 'clever')",1.2192372,0.9614015,-0.2578357
56,1.4625232,1.350179,"('impractical', 'practical')",1.4625232,1.350179,-0.1123442
57,-2.0616813,-2.1881363,"('unimaginative', 'imaginative')",-2.0616813,-2.1881363,-0.126455
58,-0.017113663,-0.027051061,"('undiscriminating', 'discriminating')",-0.0171137,-0.0270511,-0.0099374
59,-0.41854498,-0.27483654,"('foolish', 'wise')",-0.418545,-0.2748365,0.1437085
60,1.4354497,1.285861,"('inefficient', 'efficient')",1.4354497,1.285861,-0.1495887
61,0.36286643,0.17506015,"('illogical', 'logical')",0.3628664,0.1750602,-0.1878062
62,0.82785535,0.7572097,"('incompetent', 'brilliant')",0.8278553,0.7572097,-0.0706456
63,0.78791195,0.8288553,"('unperceptive', 'insightful')",0.787912,0.8288553,0.0409433
64,-5.183281,-5.4547215,"('shy', 'confident')",-5.1832809,-5.4547215,-0.2714406
65,0.7433052,0.5276893,"('insecure', 'secure')",0.7433052,0.5276893,-0.2156159
66,-0.033681177,0.015108928,"('inactive', 'active')",-0.0336812,0.0151089,0.0487901
67,-0.3190834,-0.19048259,"('doubtful', 'determined')",-0.3190834,-0.1904826,0.1286008
68,-0.17468365,-0.25299156,"('dependent', 'independent')",-0.1746836,-0.2529916,-0.078308
69,-1.9052863,-1.7448405,"('lazy', 'industrious')",-1.9052863,-1.7448405,0.1604458
70,1.6527025,1.4908824,"('lethargic', 'energetic')",1.6527025,1.4908824,-0.1618201
71,0.6622267,0.83097607,"('diffident', 'self-confident')",0.6622267,0.8309761,0.1687494
72,0.6934773,0.6731171,"('unambitious', 'ambitious')",0.6934773,0.6731171,-0.0203602
73,-2.9062462,-2.9200332,"('helpless', 'self-reliant')",-2.9062462,-2.9200332,-0.013787
74,0.5080606,0.38652766,"('undedicated', 'dedicated')",0.5080606,0.3865277,-0.1215329
75,-1.479768,-1.2593403,"('meek', 'impulsive')",-1.479768,-1.2593403,0.2204277
76,0.61462414,0.47443208,"('anxious', 'daring')",0.6146241,0.4744321,-0.140192
77,-0.5212544,-0.47988048,"('unmotivated', 'motivated')",-0.5212544,-0.4798805,0.0413739
