,ak_male,ak_female,tuple,steel_male,steel_female,holding_male,holding_female,corp_male,corp_female,average_male,average_female,female-male
0,-0.67058766,-0.9062883,"('unsociable', 'sociable')",0.07215437,-0.043040913,0.237627,0.1694043,-0.022129038,-0.04843744,-0.0957338,-0.2070906,-0.1113568
1,-0.13787292,-0.10896785,"('unfriendly', 'friendly')",-0.13748984,-0.31422684,0.1503884,-0.052733075,0.670494,0.5265706,0.1363799,0.0126607,-0.1237192
2,1.5504302,1.6521442,"('unlikable', 'likable')",1.0483687,1.1186649,1.7829149,2.0736136,1.0368812,1.0880033,1.3546488,1.4831065,0.1284577
3,-0.14610544,-0.1878171,"('repellent', 'pleasant')",-0.5838533,-0.5277898,0.63325834,0.61148304,1.2795213,1.1806533,0.2957052,0.2691324,-0.0265728
4,-0.623981,-0.53803843,"('disliked', 'liked')",-0.48156652,-0.44823292,-0.005652995,0.092023835,-7.0847154,-7.2841005,-2.048979,-2.0445871,0.0043919
5,-1.3494192,-1.1494899,"('distant', 'outgoing')",-1.2625892,-1.2596415,-1.7482443,-1.4749027,-1.1964566,-1.0157813,-1.3891773,-1.2249539,0.1642234
6,-1.0074892,-0.809513,"('distant', 'open')",-1.2476859,-1.1540666,-1.7388207,-1.4683815,-0.88688445,-0.78664535,-1.2202201,-1.0546516,0.1655685
7,0.61721194,0.48352852,"('insensitive', 'sensitive')",0.24463014,0.24927133,0.30153638,0.23678866,0.13519578,0.18338542,0.3246436,0.2882435,-0.0364001
8,1.0015881,0.8066832,"('unaffectionate', 'affectionate')",0.6818745,0.74108696,0.56853527,0.5027134,0.33544713,0.29949117,0.6468613,0.5874937,-0.0593676
9,0.5011574,0.35906035,"('unaffectionate', 'caring')",0.4110372,0.37447137,0.4937239,0.42961058,0.973311,1.0388236,0.5948074,0.5504915,-0.0443159
10,-0.17571172,-0.2640939,"('unsympathetic', 'sympathetic')",-0.5974908,-0.6814956,-0.3230125,-0.44547233,-0.25275078,-0.13327733,-0.3372414,-0.3810848,-0.0438434
11,-0.041596938,-0.07549457,"('unhelpful', 'helpful')",-0.44858795,-0.56921667,0.304789,0.16724716,2.326958,2.468819,0.5353905,0.4978387,-0.0375518
12,0.5638241,0.46281713,"('unsupportive', 'supportive')",0.8341641,0.91194695,0.140832,0.35926333,-2.297685,-2.208495,-0.1897162,-0.1186169,0.0710993
13,-0.92555857,-0.92445743,"('impolite', 'polite')",-0.75980824,-0.8900629,-0.3693595,-0.3564282,-0.5168004,-0.36660284,-0.6428817,-0.6343879,0.0084938
14,0.1674315,0.16345346,"('antisocial', 'social')",0.933968,0.94812125,2.3467424,2.4558258,0.44080147,0.34004965,0.9722359,0.9768625,0.0046266
15,1.0655559,0.90775615,"('boring', 'funny')",0.37805235,0.22488546,-0.11545667,-0.28317314,-0.22546841,-0.35667878,0.2756708,0.1231974,-0.1524734
16,-1.371281,-1.399163,"('unpopular', 'popular')",-0.4943249,-0.58883774,-0.2628189,-0.30990618,0.7962495,0.57349443,-0.3330438,-0.4311031,-0.0980593
17,-0.5791442,-0.56457436,"('nasty', 'nice')",-1.0321348,-0.9544789,-0.57119185,-0.44013453,-0.5155936,-0.54622656,-0.6745161,-0.6263536,0.0481625
18,0.10295321,0.17585342,"('disagreeable', 'welcoming')",-0.86552507,-0.7995702,-0.20584023,0.11364581,-0.41937852,-0.48659682,-0.3469477,-0.249167,0.0977807
19,-1.2449963,-1.1415426,"('inhospitable', 'hospitable')",-1.1391127,-1.1692613,-1.7170054,-1.6170754,-0.96424925,-0.8822986,-1.2663409,-1.2025445,0.0637964
