,westrock_male,westrock_female,tuple,co_male,co_female,average_male,average_female,female-male
0,-0.7998637,-0.86626846,"('unsociable', 'sociable')",-0.27601734,-0.30847615,-0.5379405,-0.5873723,-0.0494318
1,-0.023816943,-0.32697856,"('unfriendly', 'friendly')",1.8640826,1.7189246,0.9201328,0.695973,-0.2241598
2,0.31285724,0.41824907,"('unlikable', 'likable')",0.73091954,0.87569326,0.5218884,0.6469712,0.1250828
3,-0.48162198,-0.3286197,"('repellent', 'pleasant')",0.37226206,0.51819855,-0.05468,0.0947894,0.1494694
4,0.34681222,0.2830209,"('disliked', 'liked')",-7.164033,-7.2927217,-3.4086103,-3.5048504,-0.0962401
5,-0.39697334,-0.41153586,"('distant', 'outgoing')",-0.2571563,-0.17329136,-0.3270648,-0.2924136,0.0346512
6,-0.5849092,-0.623649,"('distant', 'open')",0.12383861,0.1578388,-0.2305353,-0.2329051,-0.0023698
7,0.16249576,0.26370135,"('insensitive', 'sensitive')",0.21492617,0.28561592,0.188711,0.2746586,0.0859476
8,-0.1622878,-0.25155407,"('unaffectionate', 'affectionate')",1.0546274,0.8774834,0.4461698,0.3129647,-0.1332051
9,0.047896396,-0.005573377,"('unaffectionate', 'caring')",1.391115,1.3170432,0.7195057,0.6557349,-0.0637708
10,-0.3403124,-0.2980484,"('unsympathetic', 'sympathetic')",-0.15380935,-0.14371975,-0.2470609,-0.2208841,0.0261768
11,-0.6964528,-0.5611052,"('unhelpful', 'helpful')",1.7597231,1.830489,0.5316352,0.634692,0.1030568
12,-0.44567114,-0.35104698,"('unsupportive', 'supportive')",-1.9866343,-1.9621773,-1.2161527,-1.1566122,0.0595405
13,-0.64161724,-0.6323132,"('impolite', 'polite')",-0.5748518,-0.50812083,-0.6082345,-0.570217,0.0380175
14,-0.10336915,0.0762527,"('antisocial', 'social')",-0.20332302,-0.16615383,-0.1533461,-0.0449506,0.1083955
15,0.40809315,0.3466262,"('boring', 'funny')",0.31687924,0.31489676,0.3624862,0.3307615,-0.0317247
16,-0.254946,-0.4675889,"('unpopular', 'popular')",0.07669188,-0.09014289,-0.0891271,-0.2788659,-0.1897388
17,0.077591054,0.030189369,"('nasty', 'nice')",-0.08685656,-0.07669862,-0.0046328,-0.0232546,-0.0186218
18,-0.9151737,-0.8352764,"('disagreeable', 'welcoming')",-0.8694467,-0.814155,-0.8923102,-0.8247157,0.0675945
19,-0.84134066,-0.8315766,"('inhospitable', 'hospitable')",-0.46384776,-0.35661125,-0.6525942,-0.5940939,0.0585003
20,-0.31913424,-0.26989025,"('rough', 'thoughtful')",0.35473967,0.40652126,0.0178027,0.0683155,0.0505128
21,-0.88650703,-0.6747036,"('immoral', 'moral')",-1.1057359,-0.90042037,-0.9961215,-0.787562,0.2085595
22,0.78090584,0.8103872,"('untrustworthy', 'trustworthy')",-0.28133345,-0.24125117,0.2497862,0.284568,0.0347818
23,0.13124779,0.12631379,"('insincere', 'sincere')",5.724238,5.795327,2.927743,2.9608204,0.0330774
24,0.53497857,0.5203864,"('dishonest', 'honest')",1.1331004,1.0836643,0.8340394,0.8020253,-0.0320141
25,0.30615792,0.19580837,"('egoistic', 'altruistic')",1.2349199,1.101689,0.7705389,0.6487487,-0.1217902
26,0.025486942,-0.12340215,"('hardhearted', 'benevolent')",1.8066853,1.6619273,0.9160861,0.7692626,-0.1468235
27,-0.97585976,-1.0266407,"('hardhearted', 'softhearted')",0.95039845,0.8521266,-0.0127307,-0.087257,-0.0745263
28,0.30974418,0.22842124,"('disloyal', 'loyal')",1.2270584,1.0514256,0.7684013,0.6399234,-0.1284779
