,basil_male,basil_female,tuple,average_male,average_female,female-male
0,0.7374479,0.767282,"('unsociable', 'sociable')",0.7374479,0.767282,0.0298341
1,1.0664693,0.82880336,"('unfriendly', 'friendly')",1.0664693,0.8288034,-0.2376659
2,-0.042672794,0.106193826,"('unlikable', 'likable')",-0.0426728,0.1061938,0.1488666
3,0.74397767,0.9750087,"('repellent', 'pleasant')",0.7439777,0.9750087,0.231031
4,-6.926385,-7.104659,"('disliked', 'liked')",-6.9263849,-7.1046591,-0.1782742
5,-0.6807133,-0.8100617,"('distant', 'outgoing')",-0.6807133,-0.8100617,-0.1293484
6,-0.085820705,-0.37106612,"('distant', 'open')",-0.0858207,-0.3710661,-0.2852454
7,1.578859,1.6291981,"('insensitive', 'sensitive')",1.578859,1.6291981,0.0503391
8,0.98358893,0.76526576,"('unaffectionate', 'affectionate')",0.9835889,0.7652658,-0.2183231
9,1.2252849,1.1468276,"('unaffectionate', 'caring')",1.2252849,1.1468276,-0.0784573
10,1.2042893,1.40828,"('unsympathetic', 'sympathetic')",1.2042893,1.40828,0.2039907
11,1.4048295,1.6059915,"('unhelpful', 'helpful')",1.4048295,1.6059915,0.201162
12,-1.5089027,-1.4490616,"('unsupportive', 'supportive')",-1.5089027,-1.4490616,0.0598411
13,0.06852942,0.3669986,"('impolite', 'polite')",0.0685294,0.3669986,0.2984692
14,0.3870869,0.62652934,"('antisocial', 'social')",0.3870869,0.6265293,0.2394424
15,0.6026417,0.51712483,"('boring', 'funny')",0.6026417,0.5171248,-0.0855169
16,-0.8266676,-0.91832954,"('unpopular', 'popular')",-0.8266676,-0.9183295,-0.0916619
17,0.09087415,0.089992404,"('nasty', 'nice')",0.0908742,0.0899924,-0.0008818
18,-0.41634464,-0.4195182,"('disagreeable', 'welcoming')",-0.4163446,-0.4195182,-0.0031736
19,-0.8442517,-0.9436356,"('inhospitable', 'hospitable')",-0.8442517,-0.9436356,-0.0993839
20,0.7849423,0.6504818,"('rough', 'thoughtful')",0.7849423,0.6504818,-0.1344605
21,-0.0065207183,0.3319318,"('immoral', 'moral')",-0.0065207,0.3319318,0.3384525
22,-0.04176584,0.10053673,"('untrustworthy', 'trustworthy')",-0.0417658,0.1005367,0.1423025
23,5.8633447,6.0511937,"('insincere', 'sincere')",5.8633447,6.0511937,0.187849
24,1.2542694,1.2993362,"('dishonest', 'honest')",1.2542694,1.2993362,0.0450668
25,0.7313804,0.6393714,"('egoistic', 'altruistic')",0.7313804,0.6393714,-0.092009
26,1.378119,1.115805,"('hardhearted', 'benevolent')",1.378119,1.115805,-0.262314
27,1.9050398,1.5741016,"('hardhearted', 'softhearted')",1.9050398,1.5741016,-0.3309382
28,1.352165,1.1594943,"('disloyal', 'loyal')",1.352165,1.1594943,-0.1926707
29,-0.16007927,-0.37087032,"('unfair', 'fair')",-0.1600793,-0.3708703,-0.210791
30,0.9976132,1.2106465,"('intolerant', 'tolerant')",0.9976132,1.2106465,0.2130333
31,-1.3229901,-1.5688093,"('evil', 'good')",-1.3229901,-1.5688093,-0.2458192
32,1.1054844,1.0437975,"('unkind', 'kind')",1.1054844,1.0437975,-0.0616869
33,-0.51140827,-0.6185564,"('wrong', 'right')",-0.5114083,-0.6185564,-0.1071481
34,4.0463014,4.293816,"('mean', 'honorable')",4.0463014,4.2938161,0.2475147
35,-1.0324852,-1.5441469,"('corrupt', 'incorrupt')",-1.0324852,-1.5441469,-0.5116617
36,-0.8916313,-1.2349138,"('hostile', 'amicable')",-0.8916313,-1.2349138,-0.3432825
37,1.1265746,1.1021135,"('fake', 'genuine')",1.1265746,1.1021135,-0.0244611
38,-0.64697737,-0.48488742,"('untruthful', 'truthful')",-0.6469774,-0.4848874,0.16209
39,0.5699517,0.6194491,"('exploitative', 'cooperative')",0.5699517,0.6194491,0.0494974
40,-0.7348667,-0.89650285,"('stingy', 'generous')",-0.7348667,-0.8965029,-0.1616362
41,0.62148196,0.5277878,"('unforgiving', 'forgiving')",0.621482,0.5277878,-0.0936942
42,-1.8335571,-1.7620797,"('unreliable', 'reliable')",-1.8335571,-1.7620797,0.0714774
43,1.0171611,1.2140933,"('irresponsible', 'responsible')",1.0171611,1.2140933,0.1969322
44,-1.2432646,-1.2338603,"('prejudiced', 'unprejudiced')",-1.2432646,-1.2338603,0.0094043
45,0.56560445,0.5191132,"('incompetent', 'competent')",0.5656044,0.5191132,-0.0464912
46,-0.35547084,-0.18850693,"('uncompetitive', 'competitive')",-0.3554708,-0.1885069,0.1669639
47,4.392322,4.5631604,"('stupid', 'smart')",4.3923221,4.5631604,0.1708383
48,0.38479722,0.50139606,"('unintelligent', 'intelligent')",0.3847972,0.5013961,0.1165989
49,-0.3572521,-0.22651559,"('unable', 'able')",-0.3572521,-0.2265156,0.1307365
50,-0.61123335,-0.6480488,"('clumsy', 'skillful')",-0.6112334,-0.6480488,-0.0368154
