,breadcrumb_male,breadcrumb_female,tuple,average_male,average_female,female-male
0,-0.8366263,-0.8910984,"('unsociable', 'sociable')",-0.8366263,-0.8910984,-0.0544721
1,-0.6511804,-0.72095466,"('unfriendly', 'friendly')",-0.6511804,-0.7209547,-0.0697743
2,-0.44096544,-0.45453715,"('unlikable', 'likable')",-0.4409654,-0.4545372,-0.0135718
3,-1.5946926,-1.4997935,"('repellent', 'pleasant')",-1.5946926,-1.4997935,0.0948991
4,-0.9384069,-0.77291304,"('disliked', 'liked')",-0.9384069,-0.772913,0.1654939
5,0.46019313,0.49738008,"('distant', 'outgoing')",0.4601931,0.4973801,0.037187
6,0.5187883,0.5598924,"('distant', 'open')",0.5187883,0.5598924,0.0411041
7,-0.9790797,-0.9726248,"('insensitive', 'sensitive')",-0.9790797,-0.9726248,0.0064549
8,0.23158768,0.14094782,"('unaffectionate', 'affectionate')",0.2315877,0.1409478,-0.0906399
9,-0.082713366,-0.1806297,"('unaffectionate', 'caring')",-0.0827134,-0.1806297,-0.0979163
10,-1.645086,-1.647935,"('unsympathetic', 'sympathetic')",-1.6450861,-1.647935,-0.0028489
11,-0.5494267,-0.61726296,"('unhelpful', 'helpful')",-0.5494267,-0.617263,-0.0678363
12,-1.310981,-1.2183694,"('unsupportive', 'supportive')",-1.310981,-1.2183694,0.0926116
13,-0.58988273,-0.7148914,"('impolite', 'polite')",-0.5898827,-0.7148914,-0.1250087
14,-1.5283802,-1.5982543,"('antisocial', 'social')",-1.5283802,-1.5982543,-0.0698741
15,1.1141427,1.0371923,"('boring', 'funny')",1.1141427,1.0371923,-0.0769504
16,-0.42760113,-0.338041,"('unpopular', 'popular')",-0.4276011,-0.338041,0.0895601
17,-0.27234298,-0.2378217,"('nasty', 'nice')",-0.272343,-0.2378217,0.0345213
18,-1.0848553,-1.0077324,"('disagreeable', 'welcoming')",-1.0848553,-1.0077324,0.0771229
19,0.06584713,0.19265078,"('inhospitable', 'hospitable')",0.0658471,0.1926508,0.1268037
20,-0.58119124,-0.57993823,"('rough', 'thoughtful')",-0.5811912,-0.5799382,0.001253
21,-0.49048597,-0.4639067,"('immoral', 'moral')",-0.490486,-0.4639067,0.0265793
22,-0.8627293,-0.9401369,"('untrustworthy', 'trustworthy')",-0.8627293,-0.9401369,-0.0774076
23,0.27857834,0.11470346,"('insincere', 'sincere')",0.2785783,0.1147035,-0.1638748
24,-0.7380644,-0.85991156,"('dishonest', 'honest')",-0.7380644,-0.8599116,-0.1218472
25,1.1699871,1.1077802,"('egoistic', 'altruistic')",1.1699871,1.1077802,-0.0622069
26,0.060265876,-0.06661768,"('hardhearted', 'benevolent')",0.0602659,-0.0666177,-0.1268836
