,iqvia_male,iqvia_female,tuple,holdings_male,holdings_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.1053823,-0.16088414,"('unsociable', 'sociable')",0.011357486,-0.18318805,-0.3567118,-0.46919516,-0.1502455,-0.2710891,-0.1208436
1,-1.1060565,-0.9924851,"('unfriendly', 'friendly')",-0.50514466,-0.63438755,1.6769533,1.5505769,0.0219174,-0.0254319,-0.0473493
2,-0.02112006,0.024100095,"('unlikable', 'likable')",1.5948048,1.6863533,0.8355972,0.9716178,0.803094,0.8940237,0.0909297
3,0.0035958225,0.20448187,"('repellent', 'pleasant')",0.7922378,0.80803883,0.25561726,0.30769506,0.3504837,0.4400719,0.0895882
4,-1.0041559,-1.0339866,"('disliked', 'liked')",-0.19473638,-0.24737006,-6.117021,-6.1376853,-2.4386377,-2.4730139,-0.0343762
5,-0.8843641,-0.7684545,"('distant', 'outgoing')",-0.7105617,-0.6742302,0.0656407,0.06402394,-0.5097617,-0.4595536,0.0502081
6,-1.3442955,-1.1992676,"('distant', 'open')",-0.81756353,-0.8057423,0.80805725,0.7978328,-0.4512672,-0.4023924,0.0488748
7,0.47575855,0.56276786,"('insensitive', 'sensitive')",0.5085599,0.48958156,0.44734088,0.43847895,0.4772198,0.4969428,0.019723
8,-0.93174475,-0.84497166,"('unaffectionate', 'affectionate')",-0.9302349,-0.92226195,0.788086,0.7125999,-0.3579646,-0.3515446,0.00642
9,-1.0584414,-0.9460612,"('unaffectionate', 'caring')",-0.21768516,-0.30467808,1.0859361,1.0500506,-0.0633969,-0.0668962,-0.0034993
10,-0.10474604,0.019371273,"('unsympathetic', 'sympathetic')",-0.17760442,-0.24522856,-0.38645658,-0.4045569,-0.2229357,-0.2101381,0.0127976
11,0.0786116,0.13948649,"('unhelpful', 'helpful')",-0.41918933,-0.41935414,1.4477326,1.5550817,0.3690516,0.4250714,0.0560198
12,0.045938764,0.2625882,"('unsupportive', 'supportive')",-0.11833097,-0.022160936,-1.6553262,-1.6148491,-0.5759062,-0.4581406,0.1177656
13,0.72793025,0.73419464,"('impolite', 'polite')",-0.018996686,-0.02198669,-0.31284326,-0.34143466,0.1320301,0.1235911,-0.008439
14,0.6215184,0.5296124,"('antisocial', 'social')",1.819334,1.8102765,-0.5676784,-0.5891934,0.6243913,0.5835652,-0.0408261
15,0.35546607,0.2319037,"('boring', 'funny')",-0.87516195,-0.8732701,0.5736823,0.54798776,0.0179955,-0.0311262,-0.0491217
16,-1.144657,-1.1187481,"('unpopular', 'popular')",-0.86443055,-0.8105454,0.31755564,0.32775164,-0.563844,-0.5338473,0.0299967
17,-0.15722035,-0.07762205,"('nasty', 'nice')",-0.8749642,-0.7591073,-0.39558798,-0.34831855,-0.4759242,-0.395016,0.0809082
18,0.05993776,0.14903684,"('disagreeable', 'welcoming')",-0.06910913,0.003979981,-0.10162795,-0.081001304,-0.0369331,0.0240052,0.0609383
19,-1.3450898,-1.2012329,"('inhospitable', 'hospitable')",-0.9868535,-0.90189016,0.021842873,0.11982108,-0.7700334,-0.6611007,0.1089327
20,0.5045821,0.6040559,"('rough', 'thoughtful')",0.46215996,0.56866884,1.1926038,1.1596912,0.719782,0.777472,0.05769
21,0.6238009,0.60096306,"('immoral', 'moral')",0.5247508,0.44671318,-0.5937618,-0.60843635,0.18493,0.1464133,-0.0385167
22,0.8701222,0.8855867,"('untrustworthy', 'trustworthy')",0.22595024,0.18985622,-0.72808576,-0.78583294,0.1226622,0.0965367,-0.0261255
23,-0.15709782,-0.07492326,"('insincere', 'sincere')",-0.30654356,-0.440301,5.0544815,4.938615,1.5302801,1.4744635,-0.0558166
24,0.7749377,0.8005573,"('dishonest', 'honest')",-0.8549544,-0.9239855,0.3826333,0.32080778,0.1008722,0.0657932,-0.035079
25,-1.3841504,-1.3758506,"('egoistic', 'altruistic')",0.39672798,0.30779776,1.6498051,1.563158,0.2207942,0.1650351,-0.0557591
