,borgwarner_male,borgwarner_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.8665755,-0.99292755,"('unsociable', 'sociable')",-0.50604796,-0.6620262,-0.6863117,-0.8274769,-0.1411652
1,-1.3334432,-1.2835231,"('unfriendly', 'friendly')",1.919422,1.7947309,0.2929894,0.2556039,-0.0373855
2,-0.61012137,-0.61404824,"('unlikable', 'likable')",0.27254516,0.31920198,-0.1687881,-0.1474231,0.021365
3,-1.1593927,-1.1233227,"('repellent', 'pleasant')",-0.22510378,-0.19065088,-0.6922482,-0.6569868,0.0352614
4,-0.14225091,-0.19603235,"('disliked', 'liked')",-6.480746,-6.528652,-3.3114984,-3.3623424,-0.050844
5,-0.38036546,-0.33423427,"('distant', 'outgoing')",0.10883008,0.13421088,-0.1357677,-0.1000117,0.035756
6,-0.6973764,-0.6089637,"('distant', 'open')",0.40658695,0.38942757,-0.1453947,-0.1097681,0.0356266
7,-0.6753163,-0.6250184,"('insensitive', 'sensitive')",0.5330687,0.53850704,-0.0711238,-0.0432557,0.0278681
8,-1.1456437,-1.0509654,"('unaffectionate', 'affectionate')",0.8147068,0.76552546,-0.1654685,-0.14272,0.0227485
9,-1.1126734,-1.0044569,"('unaffectionate', 'caring')",1.2647163,1.2747053,0.0760214,0.1351242,0.0591028
10,-1.9785827,-2.0058153,"('unsympathetic', 'sympathetic')",-0.43434158,-0.52919155,-1.2064621,-1.2675034,-0.0610413
11,-0.94371325,-0.98128533,"('unhelpful', 'helpful')",1.8906271,1.9153637,0.4734569,0.4670392,-0.0064177
12,-0.8361455,-0.74938405,"('unsupportive', 'supportive')",-1.7121407,-1.7277873,-1.2741431,-1.2385857,0.0355574
13,-0.40369403,-0.58585936,"('impolite', 'polite')",-0.15318483,-0.21454106,-0.2784394,-0.4002002,-0.1217608
14,-1.070026,-1.1522683,"('antisocial', 'social')",-0.72226423,-0.75964963,-0.8961451,-0.955959,-0.0598139
15,0.84689,0.77045053,"('boring', 'funny')",0.67289025,0.6903834,0.7598901,0.730417,-0.0294731
16,-0.14564434,-0.13210511,"('unpopular', 'popular')",0.5227954,0.5100339,0.1885755,0.1889644,0.0003889
17,-0.05051592,-0.08586493,"('nasty', 'nice')",-0.3632087,-0.3082515,-0.2068623,-0.1970582,0.0098041
18,-0.9346607,-0.89373356,"('disagreeable', 'welcoming')",-0.35858324,-0.41935757,-0.6466219,-0.6565456,-0.0099237
19,0.21081625,0.26955578,"('inhospitable', 'hospitable')",0.22495499,0.22185108,0.2178856,0.2457034,0.0278178
20,0.4865941,0.5033349,"('rough', 'thoughtful')",1.3004776,1.2748148,0.8935359,0.8890749,-0.004461
21,-0.93479735,-1.0216762,"('immoral', 'moral')",-0.7217744,-0.71221554,-0.8282859,-0.8669459,-0.03866
22,-1.541531,-1.6335863,"('untrustworthy', 'trustworthy')",-1.1042229,-1.1274168,-1.3228769,-1.3805015,-0.0576246
23,-0.6673471,-0.7342606,"('insincere', 'sincere')",5.8742447,5.9067006,2.6034489,2.58622,-0.0172289
24,-1.1745461,-1.243117,"('dishonest', 'honest')",0.72729975,0.6883072,-0.2236232,-0.2774049,-0.0537817
25,-0.38701135,-0.25598028,"('egoistic', 'altruistic')",1.2098188,1.1688141,0.4114037,0.4564169,0.0450132
