,federated_male,federated_female,tuple,hermes_male,hermes_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.22286089,-0.37458587,"('unsociable', 'sociable')",1.9501408,1.8822471,-0.6987779,-0.7901858,0.342834,0.2391585,-0.1036755
1,-1.5772595,-1.6062236,"('unfriendly', 'friendly')",0.9679105,1.0624342,2.0618682,1.9511908,0.4841731,0.4691338,-0.0150393
2,0.64006716,0.6623822,"('unlikable', 'likable')",0.6806568,0.71166563,0.7786002,0.95377326,0.6997747,0.7759403,0.0761656
3,-0.6442395,-0.639727,"('repellent', 'pleasant')",-0.4950125,-0.43074757,0.19311976,0.27495614,-0.3153774,-0.2651728,0.0502046
4,0.18415964,0.22334802,"('disliked', 'liked')",-0.30867597,-0.3142107,-6.7956924,-6.729013,-2.3067363,-2.2732919,0.0334444
5,-0.386858,-0.31778955,"('distant', 'outgoing')",-0.52283925,-0.4731367,-0.32861382,-0.25704354,-0.4127704,-0.3493233,0.0634471
6,-0.83848435,-0.7239833,"('distant', 'open')",-0.5810823,-0.4488312,0.42118636,0.5107289,-0.3327934,-0.2206952,0.1120982
7,-0.07507126,-0.09203652,"('insensitive', 'sensitive')",0.52035505,0.60557204,0.08621149,0.076663256,0.1771651,0.1967329,0.0195678
8,-1.7638766,-1.7405392,"('unaffectionate', 'affectionate')",-0.46138853,-0.36064747,0.7619357,0.7460779,-0.4877764,-0.451703,0.0360734
9,-1.1875762,-1.2335849,"('unaffectionate', 'caring')",0.41293192,0.4865695,1.1256202,1.1325251,0.116992,0.1285032,0.0115112
10,-1.2541511,-1.3167338,"('unsympathetic', 'sympathetic')",0.028464109,0.07447845,-0.4237343,-0.4947495,-0.5498071,-0.5790017,-0.0291946
11,-0.49199995,-0.6126282,"('unhelpful', 'helpful')",0.5995974,0.6132532,2.2255561,2.2501457,0.7777178,0.7502569,-0.0274609
12,-0.22976927,-0.1221126,"('unsupportive', 'supportive')",0.88634455,1.0535651,-2.1705189,-2.098245,-0.5046479,-0.3889308,0.1157171
13,-0.47632068,-0.5926164,"('impolite', 'polite')",1.0506779,0.991195,-0.5393871,-0.5928888,0.0116567,-0.06477,-0.0764267
14,0.6207532,0.5095457,"('antisocial', 'social')",1.2495134,1.1751088,-0.7454581,-0.8316916,0.3749362,0.284321,-0.0906152
15,-0.25766906,-0.35803875,"('boring', 'funny')",0.13710958,0.04234718,0.3598024,0.33308664,0.0797476,0.0057984,-0.0739492
16,-1.2789468,-1.1718094,"('unpopular', 'popular')",-1.9591718,-1.8184569,0.41344827,0.48661023,-0.9415568,-0.834552,0.1070048
17,0.158014,0.24668609,"('nasty', 'nice')",-0.47617388,-0.40596586,-0.49685645,-0.4529246,-0.2716721,-0.2040681,0.067604
18,-0.95977783,-0.8718376,"('disagreeable', 'welcoming')",-0.20327395,-0.12167956,-0.47567007,-0.41924745,-0.5462406,-0.4709215,0.0753191
19,-0.38194668,-0.22464444,"('inhospitable', 'hospitable')",-0.64955413,-0.5587976,0.039350823,0.23083048,-0.3307167,-0.1842038,0.1465129
20,-0.025887182,0.007802945,"('rough', 'thoughtful')",0.6652639,0.73804367,0.85924673,0.8233136,0.4995411,0.5230534,0.0235123
21,-0.3328178,-0.43515405,"('immoral', 'moral')",0.35150507,0.29655385,-0.9729098,-0.9461565,-0.3180742,-0.3615856,-0.0435114
22,-0.8057986,-0.85067856,"('untrustworthy', 'trustworthy')",-0.3729939,-0.45804876,-1.1247646,-1.2004616,-0.7678523,-0.8363963,-0.068544
23,0.1809761,0.04599662,"('insincere', 'sincere')",0.9551425,0.95116645,6.0587316,5.9024734,2.3982833,2.2998788,-0.0984045
24,-0.36940652,-0.46759656,"('dishonest', 'honest')",0.29276523,0.2774874,0.8870176,0.8001,0.2701254,0.2033303,-0.0667951
