,starbucks_male,starbucks_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,0.5431046,0.4869905,"('unsociable', 'sociable')",-0.28323802,-0.45108247,0.1299333,0.017954,-0.1119793
1,1.1242548,1.2383497,"('unfriendly', 'friendly')",1.3507938,1.2484831,1.2375243,1.2434163,0.005892
2,-0.514863,-0.5518923,"('unlikable', 'likable')",0.48582453,0.6048346,-0.0145192,0.0264712,0.0409904
3,-0.567741,-0.45232216,"('repellent', 'pleasant')",0.838005,0.80745476,0.135132,0.1775663,0.0424343
4,0.21661334,0.31342846,"('disliked', 'liked')",-7.0241203,-7.077123,-3.4037535,-3.3818474,0.0219061
5,1.1067952,1.113763,"('distant', 'outgoing')",-0.31918392,-0.25060767,0.3938056,0.4315777,0.0377721
6,0.7162013,0.798526,"('distant', 'open')",-0.2790016,-0.18187238,0.2185999,0.3083268,0.0897269
7,0.6505008,0.7451145,"('insensitive', 'sensitive')",0.15727195,0.20952842,0.4038864,0.4773214,0.073435
8,0.14489064,0.15499711,"('unaffectionate', 'affectionate')",0.3241663,0.37697887,0.2345285,0.265988,0.0314595
9,1.311649,1.376033,"('unaffectionate', 'caring')",1.0307279,1.1640881,1.1711884,1.2700605,0.0988721
10,0.037581295,0.072423026,"('unsympathetic', 'sympathetic')",-0.3482171,-0.33753377,-0.1553179,-0.1325554,0.0227625
11,-0.004460167,-0.061513565,"('unhelpful', 'helpful')",2.292128,2.4060676,1.143834,1.172277,0.028443
12,1.5999491,1.711635,"('unsupportive', 'supportive')",-2.1165776,-2.0626023,-0.2583143,-0.1754836,0.0828307
13,0.7676584,0.71205837,"('impolite', 'polite')",-0.4702567,-0.44633222,0.1487009,0.1328631,-0.0158378
14,0.4785819,0.34640574,"('antisocial', 'social')",-0.54196095,-0.58847976,-0.0316895,-0.121037,-0.0893475
15,-0.19263071,-0.30163056,"('boring', 'funny')",-0.45733082,-0.37783855,-0.3249808,-0.3397346,-0.0147538
16,-0.79791725,-0.71581227,"('unpopular', 'popular')",0.38663664,0.2813644,-0.2056403,-0.2172239,-0.0115836
