,corps_male,corps_female,tuple,average_male,average_female,female-male
0,0.43441108,0.34180912,"('unsociable', 'sociable')",0.4344111,0.3418091,-0.092602
1,0.6880283,0.692748,"('unfriendly', 'friendly')",0.6880283,0.692748,0.0047197
2,0.34449375,0.51546824,"('unlikable', 'likable')",0.3444937,0.5154682,0.1709745
3,0.95642525,0.9890858,"('repellent', 'pleasant')",0.9564252,0.9890858,0.0326606
4,-7.226164,-7.2533584,"('disliked', 'liked')",-7.2261639,-7.2533584,-0.0271945
5,-0.6556715,-0.5147708,"('distant', 'outgoing')",-0.6556715,-0.5147708,0.1409007
6,-0.51344365,-0.4091377,"('distant', 'open')",-0.5134436,-0.4091377,0.1043059
7,0.8463682,0.918783,"('insensitive', 'sensitive')",0.8463682,0.918783,0.0724148
8,0.4930526,0.456754,"('unaffectionate', 'affectionate')",0.4930526,0.456754,-0.0362986
9,1.5440145,1.5395299,"('unaffectionate', 'caring')",1.5440145,1.5395299,-0.0044846
10,1.5682281,1.6522143,"('unsympathetic', 'sympathetic')",1.5682281,1.6522143,0.0839862
11,2.4123569,2.4364035,"('unhelpful', 'helpful')",2.4123569,2.4364035,0.0240466
12,-1.426701,-1.3504864,"('unsupportive', 'supportive')",-1.4267009,-1.3504864,0.0762145
13,0.58101267,0.6122405,"('impolite', 'polite')",0.5810127,0.6122405,0.0312278
14,0.1982021,0.14501512,"('antisocial', 'social')",0.1982021,0.1450151,-0.053187
15,0.41358027,0.3615443,"('boring', 'funny')",0.4135803,0.3615443,-0.052036
16,-0.27658257,-0.25507417,"('unpopular', 'popular')",-0.2765826,-0.2550742,0.0215084
17,-0.08715664,-0.059543744,"('nasty', 'nice')",-0.0871566,-0.0595437,0.0276129
18,-0.72863036,-0.67974186,"('disagreeable', 'welcoming')",-0.7286304,-0.6797419,0.0488885
19,-0.85357964,-0.7132296,"('inhospitable', 'hospitable')",-0.8535796,-0.7132296,0.14035
20,0.6932663,0.60446763,"('rough', 'thoughtful')",0.6932663,0.6044676,-0.0887987
21,0.6390085,0.76441246,"('immoral', 'moral')",0.6390085,0.7644125,0.125404
22,0.061387718,0.07694382,"('untrustworthy', 'trustworthy')",0.0613877,0.0769438,0.0155561
23,6.3852763,6.4060388,"('insincere', 'sincere')",6.3852763,6.4060388,0.0207625
24,1.6378827,1.6825889,"('dishonest', 'honest')",1.6378827,1.6825889,0.0447062
25,0.34703732,0.295416,"('egoistic', 'altruistic')",0.3470373,0.295416,-0.0516213
26,0.59324443,0.40624052,"('hardhearted', 'benevolent')",0.5932444,0.4062405,-0.1870039
27,1.2569224,1.1483146,"('hardhearted', 'softhearted')",1.2569224,1.1483146,-0.1086078
28,1.2435478,1.1771286,"('disloyal', 'loyal')",1.2435478,1.1771286,-0.0664192
29,-0.56438106,-0.5913076,"('unfair', 'fair')",-0.5643811,-0.5913076,-0.0269265
30,0.99571997,1.00853,"('intolerant', 'tolerant')",0.99572,1.00853,0.01281
31,-1.9836177,-1.955415,"('evil', 'good')",-1.9836177,-1.955415,0.0282027
32,1.2590227,1.263431,"('unkind', 'kind')",1.2590227,1.263431,0.0044083
33,-0.44178474,-0.44108692,"('wrong', 'right')",-0.4417847,-0.4410869,0.0006978
34,4.5576324,4.7087636,"('mean', 'honorable')",4.5576324,4.7087636,0.1511312
35,-1.363908,-1.5657784,"('corrupt', 'incorrupt')",-1.3639081,-1.5657784,-0.2018703
36,-1.487837,-1.5899618,"('hostile', 'amicable')",-1.487837,-1.5899618,-0.1021248
37,0.48779294,0.50958407,"('fake', 'genuine')",0.4877929,0.5095841,0.0217912
38,-0.16781954,-0.10917392,"('untruthful', 'truthful')",-0.1678195,-0.1091739,0.0586456
39,0.14397646,0.09316905,"('exploitative', 'cooperative')",0.1439765,0.093169,-0.0508075
