,gain_male,gain_female,tuple,average_male,average_female,female-male
0,-0.24154283,-0.35632637,"('unsociable', 'sociable')",-0.2415428,-0.3563264,-0.1147836
1,1.2914262,1.2814628,"('unfriendly', 'friendly')",1.2914262,1.2814628,-0.0099634
2,0.21959288,0.37094995,"('unlikable', 'likable')",0.2195929,0.37095,0.1513571
3,0.6457562,0.6570207,"('repellent', 'pleasant')",0.6457562,0.6570207,0.0112645
4,-7.0747075,-7.227097,"('disliked', 'liked')",-7.0747075,-7.227097,-0.1523895
5,-0.40396985,-0.3410504,"('distant', 'outgoing')",-0.4039699,-0.3410504,0.0629195
6,0.11422414,0.14063615,"('distant', 'open')",0.1142241,0.1406361,0.026412
7,0.68016565,0.70491344,"('insensitive', 'sensitive')",0.6801656,0.7049134,0.0247478
8,1.4842452,1.4678334,"('unaffectionate', 'affectionate')",1.4842452,1.4678334,-0.0164118
9,1.8486502,1.957744,"('unaffectionate', 'caring')",1.8486502,1.957744,0.1090938
10,1.0547135,1.0797092,"('unsympathetic', 'sympathetic')",1.0547135,1.0797092,0.0249957
11,1.4260733,1.4899074,"('unhelpful', 'helpful')",1.4260733,1.4899074,0.0638341
12,-1.6931195,-1.6836697,"('unsupportive', 'supportive')",-1.6931195,-1.6836697,0.0094498
13,-0.3086699,-0.2916633,"('impolite', 'polite')",-0.3086699,-0.2916633,0.0170066
14,-0.18596253,-0.32545152,"('antisocial', 'social')",-0.1859625,-0.3254515,-0.139489
15,0.18727075,0.12123546,"('boring', 'funny')",0.1872707,0.1212355,-0.0660352
16,-0.26140994,-0.21656314,"('unpopular', 'popular')",-0.2614099,-0.2165631,0.0448468
17,-0.07005812,-0.070893735,"('nasty', 'nice')",-0.0700581,-0.0708937,-0.0008356
18,-0.39580777,-0.40481693,"('disagreeable', 'welcoming')",-0.3958078,-0.4048169,-0.0090091
19,-0.7430318,-0.61342293,"('inhospitable', 'hospitable')",-0.7430318,-0.6134229,0.1296089
20,0.9180954,0.8337465,"('rough', 'thoughtful')",0.9180954,0.8337465,-0.0843489
21,-0.34991628,-0.17211974,"('immoral', 'moral')",-0.3499163,-0.1721197,0.1777966
