,nut_male,nut_female,tuple,average_male,average_female,female-male
0,0.12139101,-0.05590941,"('unsociable', 'sociable')",0.121391,-0.0559094,-0.1773004
1,1.6644398,1.6013474,"('unfriendly', 'friendly')",1.6644398,1.6013474,-0.0630924
2,0.342502,0.4879167,"('unlikable', 'likable')",0.342502,0.4879167,0.1454147
3,0.6685537,0.7615073,"('repellent', 'pleasant')",0.6685537,0.7615073,0.0929536
4,-7.296074,-7.359943,"('disliked', 'liked')",-7.2960739,-7.3599429,-0.063869
5,0.025126893,0.20092,"('distant', 'outgoing')",0.0251269,0.20092,0.1757931
6,0.4006378,0.52967566,"('distant', 'open')",0.4006378,0.5296757,0.1290379
7,0.8323159,0.8616388,"('insensitive', 'sensitive')",0.8323159,0.8616388,0.0293229
8,1.2738032,1.2395828,"('unaffectionate', 'affectionate')",1.2738032,1.2395828,-0.0342204
9,1.7579904,1.8715025,"('unaffectionate', 'caring')",1.7579904,1.8715025,0.1135121
10,1.1179926,1.2089313,"('unsympathetic', 'sympathetic')",1.1179926,1.2089313,0.0909387
11,2.009791,2.035975,"('unhelpful', 'helpful')",2.0097909,2.035975,0.0261841
12,-1.3790529,-1.4076045,"('unsupportive', 'supportive')",-1.3790529,-1.4076045,-0.0285516
13,0.086775675,0.041488513,"('impolite', 'polite')",0.0867757,0.0414885,-0.0452872
14,-0.319052,-0.43230137,"('antisocial', 'social')",-0.319052,-0.4323014,-0.1132494
15,0.60454375,0.48652807,"('boring', 'funny')",0.6045437,0.4865281,-0.1180156
16,-0.19199683,-0.13644299,"('unpopular', 'popular')",-0.1919968,-0.136443,0.0555538
17,0.050805584,0.04957343,"('nasty', 'nice')",0.0508056,0.0495734,-0.0012322
18,-0.55658007,-0.6471414,"('disagreeable', 'welcoming')",-0.5565801,-0.6471414,-0.0905613
19,-0.35219187,-0.1964523,"('inhospitable', 'hospitable')",-0.3521919,-0.1964523,0.1557396
20,0.7364898,0.52391696,"('rough', 'thoughtful')",0.7364898,0.523917,-0.2125728
21,-0.09770548,0.08688184,"('immoral', 'moral')",-0.0977055,0.0868818,0.1845873
22,-0.5840341,-0.5598057,"('untrustworthy', 'trustworthy')",-0.5840341,-0.5598057,0.0242284
23,6.536705,6.5806937,"('insincere', 'sincere')",6.536705,6.5806937,0.0439887
24,1.6856959,1.6970365,"('dishonest', 'honest')",1.6856959,1.6970365,0.0113406
25,0.54284847,0.43305555,"('egoistic', 'altruistic')",0.5428485,0.4330555,-0.109793
26,0.687982,0.4447444,"('hardhearted', 'benevolent')",0.687982,0.4447444,-0.2432376
27,1.7895194,1.6307113,"('hardhearted', 'softhearted')",1.7895194,1.6307113,-0.1588081
28,1.2476763,1.2675409,"('disloyal', 'loyal')",1.2476763,1.2675409,0.0198646
29,-0.19937035,-0.35220128,"('unfair', 'fair')",-0.1993704,-0.3522013,-0.1528309
30,0.7977478,0.7918853,"('intolerant', 'tolerant')",0.7977478,0.7918853,-0.0058625
31,-1.4086672,-1.3651786,"('evil', 'good')",-1.4086672,-1.3651786,0.0434886
32,1.5233753,1.4314549,"('unkind', 'kind')",1.5233753,1.4314549,-0.0919204
33,-0.44010213,-0.41779858,"('wrong', 'right')",-0.4401021,-0.4177986,0.0223035
34,4.9472704,5.1435165,"('mean', 'honorable')",4.9472704,5.1435165,0.1962461
35,-0.98348784,-1.1073775,"('corrupt', 'incorrupt')",-0.9834878,-1.1073775,-0.1238897
36,-0.7052593,-0.77965146,"('hostile', 'amicable')",-0.7052593,-0.7796515,-0.0743922
37,1.0966465,1.1057943,"('fake', 'genuine')",1.0966465,1.1057943,0.0091478
38,0.08909429,0.17189147,"('untruthful', 'truthful')",0.0890943,0.1718915,0.0827972
39,-0.13258119,-0.1615551,"('exploitative', 'cooperative')",-0.1325812,-0.1615551,-0.0289739
40,-1.7180246,-1.9361949,"('stingy', 'generous')",-1.7180246,-1.9361949,-0.2181703
41,0.2651248,0.20936324,"('unforgiving', 'forgiving')",0.2651248,0.2093632,-0.0557616
42,-2.2221127,-2.2405376,"('unreliable', 'reliable')",-2.2221127,-2.2405376,-0.0184249
43,1.2136198,1.246728,"('irresponsible', 'responsible')",1.2136198,1.2467279,0.0331081
44,-1.0768973,-1.1894587,"('prejudiced', 'unprejudiced')",-1.0768973,-1.1894587,-0.1125614
45,0.19352213,0.18036342,"('incompetent', 'competent')",0.1935221,0.1803634,-0.0131587
46,-0.7294686,-0.7021682,"('uncompetitive', 'competitive')",-0.7294686,-0.7021682,0.0273004
47,5.3410463,5.5259347,"('stupid', 'smart')",5.3410463,5.5259347,0.1848884
48,0.5939272,0.5028526,"('unintelligent', 'intelligent')",0.5939272,0.5028526,-0.0910746
49,0.41354606,0.602098,"('unable', 'able')",0.4135461,0.602098,0.1885519
50,-0.14381362,-0.10942157,"('clumsy', 'skillful')",-0.1438136,-0.1094216,0.034392
51,0.47835597,0.44809115,"('uneducated', 'educated')",0.478356,0.4480911,-0.0302649
52,-0.21245594,-0.2294584,"('irrational', 'rational')",-0.2124559,-0.2294584,-0.0170025
