,xerox_male,xerox_female,tuple,holdings_male,holdings_female,corp_male,corp_female,average_male,average_female,female-male
0,-2.0105772,-2.2277267,"('unsociable', 'sociable')",-0.009538002,-0.43490222,-0.30442202,-0.36230925,-0.7748458,-1.0083127,-0.2334669
1,0.30877438,0.047598876,"('unfriendly', 'friendly')",-0.118151605,-0.250714,0.944436,0.9209526,0.3783529,0.2392792,-0.1390737
2,0.38075832,0.3390441,"('unlikable', 'likable')",1.5021778,1.6908435,0.61632353,0.6626348,0.8330866,0.8975075,0.0644209
3,-1.5604519,-1.5598458,"('repellent', 'pleasant')",0.6258395,0.6607638,1.0203323,0.9902705,0.0285733,0.0303962,0.0018229
4,-0.0776515,-0.18801004,"('disliked', 'liked')",0.018367473,0.037140656,-7.1461816,-7.2300034,-2.4018219,-2.4602909,-0.058469
5,0.60386115,0.5950859,"('distant', 'outgoing')",-0.8649994,-0.59306604,-0.7904913,-0.60556614,-0.3505432,-0.2011821,0.1493611
6,1.2156175,1.1511642,"('distant', 'open')",-0.9596441,-0.6778492,-0.5108346,-0.33775234,-0.0849537,0.0451876,0.1301413
7,-1.3232858,-1.3788443,"('insensitive', 'sensitive')",0.24935263,0.13980977,0.47767332,0.53556067,-0.1987533,-0.2344913,-0.035738
8,0.40071726,0.3846128,"('unaffectionate', 'affectionate')",-0.3385515,-0.3457041,0.60746264,0.70548844,0.2232095,0.2481324,0.0249229
9,-0.1079732,-0.23914786,"('unaffectionate', 'caring')",0.2106962,0.16013397,1.2718707,1.4394463,0.4581979,0.4534775,-0.0047204
10,-2.9442654,-3.056654,"('unsympathetic', 'sympathetic')",-0.31154498,-0.61619604,-0.13801922,-0.13338932,-1.1312765,-1.2687465,-0.13747
11,-1.4767631,-1.5123804,"('unhelpful', 'helpful')",-1.1422805,-1.2774822,1.8625184,1.9861645,-0.2521751,-0.2678994,-0.0157243
12,-1.592211,-1.6460227,"('unsupportive', 'supportive')",-0.00025526062,0.17115857,-2.1076255,-2.0200012,-1.2333639,-1.1649551,0.0684088
13,-2.006676,-2.1285446,"('impolite', 'polite')",-0.1686854,-0.3521374,-0.46306932,-0.5019975,-0.8794769,-0.9942265,-0.1147496
14,-1.935927,-2.0020254,"('antisocial', 'social')",2.041165,1.8929965,0.062272094,0.0059393495,0.0558367,-0.0343632,-0.0901999
15,0.6235466,0.5803659,"('boring', 'funny')",-1.303815,-1.3997217,0.025771426,0.020060001,-0.2181657,-0.2664319,-0.0482662
16,0.47981104,0.46428075,"('unpopular', 'popular')",-0.95195746,-0.7392703,-0.084142044,0.04193552,-0.1854295,-0.0776847,0.1077448
17,0.15842816,0.15541905,"('nasty', 'nice')",-1.2664396,-1.1422644,-0.5178531,-0.44845673,-0.5419548,-0.478434,0.0635208
18,0.3040132,0.3071594,"('disagreeable', 'welcoming')",-0.18033288,-0.14482126,-0.6996148,-0.67794967,-0.1919782,-0.1718705,0.0201077
19,-0.07489145,-0.21970803,"('inhospitable', 'hospitable')",-0.85800135,-0.815911,-0.63427365,-0.5707374,-0.5223888,-0.5354521,-0.0130633
20,-0.043683853,-0.02615238,"('rough', 'thoughtful')",0.50828576,0.6450078,0.83876884,0.79379904,0.4344569,0.4708848,0.0364279
21,-2.4107769,-2.5259538,"('immoral', 'moral')",0.19896872,-0.03576809,-0.63693297,-0.5867914,-0.9495804,-1.0495044,-0.099924
22,-1.6315401,-1.6598605,"('untrustworthy', 'trustworthy')",-0.20585155,-0.32287633,-0.65798694,-0.68590415,-0.8317928,-0.889547,-0.0577542
23,-1.4808886,-1.6424797,"('insincere', 'sincere')",-0.13841337,-0.33000746,6.307241,6.340145,1.5626462,1.455886,-0.1067602
24,-1.2657182,-1.246191,"('dishonest', 'honest')",-0.77616477,-0.8746899,0.6486953,0.61097646,-0.4643959,-0.5033015,-0.0389056
25,0.99895406,0.9580721,"('egoistic', 'altruistic')",0.6564133,0.7533932,1.0379441,1.0924861,0.8977705,0.9346505,0.03688
26,0.5477281,0.36346933,"('hardhearted', 'benevolent')",1.541571,1.3831952,1.6322453,1.3974571,1.2405148,1.0480405,-0.1924743
