,centex_male,centex_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.55925494,-0.75534725,"('unsociable', 'sociable')",-0.24046452,-0.5469161,-0.3998597,-0.6511317,-0.251272
1,-1.6102003,-1.681932,"('unfriendly', 'friendly')",1.4660115,1.4022281,-0.0720944,-0.1398519,-0.0677575
2,0.27664548,0.29290986,"('unlikable', 'likable')",0.98169166,1.0306957,0.6291686,0.6618028,0.0326342
3,-0.011734948,0.058826353,"('repellent', 'pleasant')",0.8351794,0.7430346,0.4117222,0.4009305,-0.0107917
4,-0.48067448,-0.48581797,"('disliked', 'liked')",-6.0615253,-6.085629,-3.2710998,-3.2857234,-0.0146236
5,-1.9080162,-1.83164,"('distant', 'outgoing')",-0.5679927,-0.37439993,-1.2380044,-1.10302,0.1349844
6,-2.1557534,-2.0701067,"('distant', 'open')",-0.63369554,-0.41849968,-1.3947245,-1.2443032,0.1504213
7,-0.09981448,-0.07963208,"('insensitive', 'sensitive')",-0.23784134,-0.32997334,-0.1688279,-0.2048027,-0.0359748
8,-1.0924044,-1.1149498,"('unaffectionate', 'affectionate')",0.55664635,0.6198677,-0.267879,-0.2475411,0.0203379
9,-1.1858664,-1.2170604,"('unaffectionate', 'caring')",0.86122495,0.9203999,-0.1623207,-0.1483303,0.0139904
10,-0.6060173,-0.63988113,"('unsympathetic', 'sympathetic')",-0.88578534,-0.98546284,-0.7459013,-0.812672,-0.0667707
11,0.22509468,0.17763533,"('unhelpful', 'helpful')",1.9226875,1.9354894,1.0738912,1.0565624,-0.0173288
12,-0.78116894,-0.7594688,"('unsupportive', 'supportive')",-2.405478,-2.4079015,-1.5933235,-1.5836852,0.0096383
13,-0.071191415,-0.16437458,"('impolite', 'polite')",-0.72852755,-0.8188918,-0.3998595,-0.4916332,-0.0917737
14,0.36835608,0.2970361,"('antisocial', 'social')",-0.07543495,-0.38700005,0.1464606,-0.044982,-0.1914426
15,0.4459144,0.33640057,"('boring', 'funny')",0.24027283,0.2503363,0.3430936,0.2933684,-0.0497252
16,-0.4897908,-0.4578325,"('unpopular', 'popular')",0.934137,0.8798947,0.2221731,0.2110311,-0.011142
17,-0.26566592,-0.21687864,"('nasty', 'nice')",-0.47191694,-0.39135715,-0.3687914,-0.3041179,0.0646735
18,-0.7043016,-0.75353855,"('disagreeable', 'welcoming')",-0.6008886,-0.69085073,-0.6525951,-0.7221947,-0.0695996
19,-1.6583216,-1.6317223,"('inhospitable', 'hospitable')",-0.60929066,-0.41721758,-1.1338061,-1.02447,0.1093361
20,0.30362183,0.38088515,"('rough', 'thoughtful')",0.7267273,0.68918353,0.5151746,0.5350344,0.0198598
21,0.4844548,0.37700355,"('immoral', 'moral')",-0.37877798,-0.54120415,0.0528384,-0.0821003,-0.1349387
22,-0.07488315,-0.14817666,"('untrustworthy', 'trustworthy')",-1.085095,-1.1740907,-0.5799891,-0.6611337,-0.0811446
23,-0.18718725,-0.2467126,"('insincere', 'sincere')",5.584522,5.5247135,2.6986673,2.6390004,-0.0596669
24,-0.28327787,-0.33931258,"('dishonest', 'honest')",0.43483987,0.4853562,0.075781,0.0730218,-0.0027592
25,-0.6111899,-0.6340802,"('egoistic', 'altruistic')",1.0800536,0.9859404,0.2344318,0.1759301,-0.0585017
26,-0.18979473,-0.2959649,"('hardhearted', 'benevolent')",1.4810663,1.327712,0.6456358,0.5158736,-0.1297622
27,-0.2106522,-0.0984681,"('hardhearted', 'softhearted')",0.55520034,0.47305012,0.1722741,0.187291,0.0150169
28,0.0051336912,-0.03869985,"('disloyal', 'loyal')",1.1939112,1.1110249,0.5995225,0.5361625,-0.06336
29,-0.57918787,-0.5053288,"('unfair', 'fair')",-0.5890391,-0.7172402,-0.5841135,-0.6112845,-0.027171
30,0.65406096,0.5737118,"('intolerant', 'tolerant')",0.97914726,0.88508034,0.8166041,0.7293961,-0.087208
31,-1.2956616,-1.1881373,"('evil', 'good')",-0.8182906,-0.7654018,-1.0569761,-0.9767696,0.0802065
32,-0.05102981,-0.17681861,"('unkind', 'kind')",0.7294709,0.46669924,0.3392206,0.1449403,-0.1942803
33,-0.23417649,-0.2987562,"('wrong', 'right')",-0.6129524,-0.58025247,-0.4235644,-0.4395043,-0.0159399
34,0.05558257,0.15838972,"('mean', 'honorable')",5.681139,5.9275823,2.8683608,3.0429859,0.1746251
35,-0.7128723,-0.65669686,"('corrupt', 'incorrupt')",-0.4859694,-0.3771262,-0.5994208,-0.5169115,0.0825093
36,-1.0986967,-1.1054547,"('hostile', 'amicable')",-0.05577578,-0.060489736,-0.5772362,-0.5829722,-0.005736
37,-0.05554462,0.0020761136,"('fake', 'genuine')",-0.38188764,-0.3345997,-0.2187161,-0.1662618,0.0524543
38,-0.71225435,-0.74201405,"('untruthful', 'truthful')",0.44932583,0.6519029,-0.1314643,-0.0450556,0.0864087
39,1.5975937,1.5674715,"('exploitative', 'cooperative')",0.06683566,0.12872323,0.8322147,0.8480974,0.0158827
