,conference_male,conference_female,tuple,average_male,average_female,female-male
0,0.3429296,0.18012509,"('unsociable', 'sociable')",0.3429296,0.1801251,-0.1628045
1,1.3993317,1.3243016,"('unfriendly', 'friendly')",1.3993317,1.3243016,-0.0750301
2,0.727719,0.8159703,"('unlikable', 'likable')",0.727719,0.8159703,0.0882513
3,0.75819784,0.73305476,"('repellent', 'pleasant')",0.7581978,0.7330548,-0.025143
4,-7.1817465,-7.2541614,"('disliked', 'liked')",-7.1817465,-7.2541614,-0.0724149
5,-0.41060674,-0.3635423,"('distant', 'outgoing')",-0.4106067,-0.3635423,0.0470644
6,0.097371385,0.091931075,"('distant', 'open')",0.0973714,0.0919311,-0.0054403
7,0.9777702,0.9601367,"('insensitive', 'sensitive')",0.9777702,0.9601367,-0.0176335
8,0.8055677,0.7355963,"('unaffectionate', 'affectionate')",0.8055677,0.7355963,-0.0699714
9,1.6738293,1.6461552,"('unaffectionate', 'caring')",1.6738293,1.6461552,-0.0276741
10,0.70617336,0.6537379,"('unsympathetic', 'sympathetic')",0.7061734,0.6537379,-0.0524355
11,1.832809,1.8564333,"('unhelpful', 'helpful')",1.832809,1.8564333,0.0236243
12,-1.4781728,-1.5290327,"('unsupportive', 'supportive')",-1.4781728,-1.5290327,-0.0508599
13,0.321344,0.27018362,"('impolite', 'polite')",0.321344,0.2701836,-0.0511604
14,0.6163039,0.47992635,"('antisocial', 'social')",0.6163039,0.4799263,-0.1363776
15,0.5890864,0.59310323,"('boring', 'funny')",0.5890864,0.5931032,0.0040168
16,-0.20518482,-0.16765614,"('unpopular', 'popular')",-0.2051848,-0.1676561,0.0375287
17,-0.2645988,-0.24800524,"('nasty', 'nice')",-0.2645988,-0.2480052,0.0165936
18,-0.108237855,-0.13175575,"('disagreeable', 'welcoming')",-0.1082379,-0.1317558,-0.0235179
19,-0.9284347,-0.8538508,"('inhospitable', 'hospitable')",-0.9284347,-0.8538508,0.0745839
20,1.1222606,1.0076298,"('rough', 'thoughtful')",1.1222606,1.0076298,-0.1146308
21,0.18922018,0.25716874,"('immoral', 'moral')",0.1892202,0.2571687,0.0679485
22,0.41084173,0.33256495,"('untrustworthy', 'trustworthy')",0.4108417,0.3325649,-0.0782768
23,6.2657104,6.3052945,"('insincere', 'sincere')",6.2657104,6.3052945,0.0395841
24,1.4634737,1.3829799,"('dishonest', 'honest')",1.4634737,1.3829799,-0.0804938
25,0.4094308,0.37554085,"('egoistic', 'altruistic')",0.4094308,0.3755409,-0.0338899
26,1.4706297,1.2741756,"('hardhearted', 'benevolent')",1.4706297,1.2741756,-0.1964541
27,1.3238751,1.1333194,"('hardhearted', 'softhearted')",1.3238751,1.1333194,-0.1905557
