,decadence_male,decadence_female,tuple,average_male,average_female,female-male
0,-0.30109748,-0.36915898,"('unsociable', 'sociable')",-0.3010975,-0.369159,-0.0680615
1,0.93835986,0.7699579,"('unfriendly', 'friendly')",0.9383599,0.7699579,-0.168402
2,0.6021121,0.59031326,"('unlikable', 'likable')",0.6021121,0.5903133,-0.0117988
3,-0.5291877,-0.41164514,"('repellent', 'pleasant')",-0.5291877,-0.4116451,0.1175426
4,-3.707917,-3.6373525,"('disliked', 'liked')",-3.707917,-3.6373525,0.0705645
5,-0.3744589,-0.40779045,"('distant', 'outgoing')",-0.3744589,-0.4077905,-0.0333316
6,-0.43826732,-0.4803695,"('distant', 'open')",-0.4382673,-0.4803695,-0.0421022
7,0.41573882,0.41823876,"('insensitive', 'sensitive')",0.4157388,0.4182388,0.0025
8,0.35699135,0.23613688,"('unaffectionate', 'affectionate')",0.3569914,0.2361369,-0.1208545
9,0.256954,0.1345738,"('unaffectionate', 'caring')",0.256954,0.1345738,-0.1223802
10,-0.63252884,-0.68414366,"('unsympathetic', 'sympathetic')",-0.6325288,-0.6841437,-0.0516149
11,0.86945784,0.8445478,"('unhelpful', 'helpful')",0.8694578,0.8445478,-0.02491
12,-1.3421317,-1.30694,"('unsupportive', 'supportive')",-1.3421317,-1.30694,0.0351917
13,-0.38612425,-0.51588184,"('impolite', 'polite')",-0.3861243,-0.5158818,-0.1297575
14,-0.14183022,-0.25770727,"('antisocial', 'social')",-0.1418302,-0.2577073,-0.1158771
15,0.69795376,0.5110281,"('boring', 'funny')",0.6979538,0.5110281,-0.1869257
16,-0.469884,-0.36088607,"('unpopular', 'popular')",-0.469884,-0.3608861,0.1089979
17,-0.59859806,-0.6163489,"('nasty', 'nice')",-0.5985981,-0.6163489,-0.0177508
18,-0.24359614,-0.29692632,"('disagreeable', 'welcoming')",-0.2435961,-0.2969263,-0.0533302
19,-0.42564794,-0.44113496,"('inhospitable', 'hospitable')",-0.4256479,-0.441135,-0.0154871
20,0.55668765,0.55133647,"('rough', 'thoughtful')",0.5566877,0.5513365,-0.0053512
21,-0.7338391,-0.6249568,"('immoral', 'moral')",-0.7338391,-0.6249568,0.1088823
22,-0.08053852,-0.18921739,"('untrustworthy', 'trustworthy')",-0.0805385,-0.1892174,-0.1086789
23,3.011799,2.878096,"('insincere', 'sincere')",3.0117991,2.8780961,-0.133703
24,-0.17900495,-0.4004537,"('dishonest', 'honest')",-0.179005,-0.4004537,-0.2214487
25,0.6885354,0.61770767,"('egoistic', 'altruistic')",0.6885354,0.6177077,-0.0708277
26,1.4038959,1.0834305,"('hardhearted', 'benevolent')",1.4038959,1.0834305,-0.3204654
27,0.66621107,0.5864694,"('hardhearted', 'softhearted')",0.6662111,0.5864694,-0.0797417
28,0.26120052,0.19405566,"('disloyal', 'loyal')",0.2612005,0.1940557,-0.0671448
29,-1.0084918,-1.0842896,"('unfair', 'fair')",-1.0084918,-1.0842896,-0.0757978
30,0.408246,0.2940507,"('intolerant', 'tolerant')",0.408246,0.2940507,-0.1141953
31,-1.4858384,-1.5593039,"('evil', 'good')",-1.4858384,-1.5593039,-0.0734655
32,0.8524729,0.638307,"('unkind', 'kind')",0.8524729,0.638307,-0.2141659
33,0.3948561,0.2611029,"('wrong', 'right')",0.3948561,0.2611029,-0.1337532
34,2.4703043,2.6669471,"('mean', 'honorable')",2.4703043,2.6669471,0.1966428
35,-0.04825802,-0.15048683,"('corrupt', 'incorrupt')",-0.048258,-0.1504868,-0.1022288
36,-0.50051504,-0.56230897,"('hostile', 'amicable')",-0.500515,-0.562309,-0.061794
37,0.5589151,0.47157258,"('fake', 'genuine')",0.5589151,0.4715726,-0.0873425
38,-0.35540614,-0.39973006,"('untruthful', 'truthful')",-0.3554061,-0.3997301,-0.044324
39,0.0768304,0.012504143,"('exploitative', 'cooperative')",0.0768304,0.0125041,-0.0643263
40,-1.1719273,-1.1402335,"('stingy', 'generous')",-1.1719273,-1.1402335,0.0316938
41,-0.27229065,-0.29963306,"('unforgiving', 'forgiving')",-0.2722906,-0.2996331,-0.0273425
42,-1.5863112,-1.6288652,"('unreliable', 'reliable')",-1.5863112,-1.6288652,-0.042554
43,-0.12866716,-0.26892078,"('irresponsible', 'responsible')",-0.1286672,-0.2689208,-0.1402536
44,-0.6264243,-0.65756303,"('prejudiced', 'unprejudiced')",-0.6264243,-0.657563,-0.0311387
45,-0.835062,-0.8917954,"('incompetent', 'competent')",-0.835062,-0.8917954,-0.0567334
46,-0.8380027,-0.7706164,"('uncompetitive', 'competitive')",-0.8380027,-0.7706164,0.0673863
