,decongestant_male,decongestant_female,tuple,average_male,average_female,female-male
0,-1.9732821,-1.9985384,"('unsociable', 'sociable')",-1.9732821,-1.9985384,-0.0252563
1,-1.4877192,-1.6848375,"('unfriendly', 'friendly')",-1.4877192,-1.6848375,-0.1971183
2,-0.111192845,-0.109382555,"('unlikable', 'likable')",-0.1111928,-0.1093826,0.0018102
3,-0.76496136,-0.66001505,"('repellent', 'pleasant')",-0.7649614,-0.660015,0.1049464
4,-1.3209003,-1.3746719,"('disliked', 'liked')",-1.3209003,-1.3746719,-0.0537716
5,-0.64090663,-0.6056261,"('distant', 'outgoing')",-0.6409066,-0.6056261,0.0352805
6,-0.5902967,-0.59683627,"('distant', 'open')",-0.5902967,-0.5968363,-0.0065396
7,-1.4542291,-1.3513744,"('insensitive', 'sensitive')",-1.4542291,-1.3513744,0.1028547
8,-1.9619696,-2.1628664,"('unaffectionate', 'affectionate')",-1.9619696,-2.1628664,-0.2008968
9,-2.4121056,-2.5436506,"('unaffectionate', 'caring')",-2.4121056,-2.5436506,-0.131545
10,-1.7604386,-1.697096,"('unsympathetic', 'sympathetic')",-1.7604386,-1.697096,0.0633426
11,-0.7691811,-0.72410554,"('unhelpful', 'helpful')",-0.7691811,-0.7241055,0.0450756
12,-1.9687539,-1.9082899,"('unsupportive', 'supportive')",-1.9687539,-1.9082899,0.060464
13,-1.5842345,-1.5397114,"('impolite', 'polite')",-1.5842345,-1.5397114,0.0445231
14,-0.6297283,-0.53291506,"('antisocial', 'social')",-0.6297283,-0.5329151,0.0968132
15,0.08151862,0.029002775,"('boring', 'funny')",0.0815186,0.0290028,-0.0525158
16,-0.66940045,-0.766073,"('unpopular', 'popular')",-0.6694005,-0.766073,-0.0966725
17,-0.4023273,-0.33514458,"('nasty', 'nice')",-0.4023273,-0.3351446,0.0671827
18,-0.52151847,-0.5394382,"('disagreeable', 'welcoming')",-0.5215185,-0.5394382,-0.0179197
19,-1.5759729,-1.5017802,"('inhospitable', 'hospitable')",-1.5759729,-1.5017802,0.0741927
20,0.7654715,0.6976477,"('rough', 'thoughtful')",0.7654715,0.6976477,-0.0678238
21,-0.68277663,-0.5717407,"('immoral', 'moral')",-0.6827766,-0.5717407,0.1110359
22,-0.41104203,-0.39220342,"('untrustworthy', 'trustworthy')",-0.411042,-0.3922034,0.0188386
23,-0.49879143,-0.52316856,"('insincere', 'sincere')",-0.4987914,-0.5231686,-0.0243772
24,-1.5075058,-1.5394167,"('dishonest', 'honest')",-1.5075058,-1.5394167,-0.0319109
25,-0.45158342,-0.5618879,"('egoistic', 'altruistic')",-0.4515834,-0.5618879,-0.1103045
26,0.6973735,0.5443757,"('hardhearted', 'benevolent')",0.6973735,0.5443757,-0.1529978
27,-0.377069,-0.5019677,"('hardhearted', 'softhearted')",-0.377069,-0.5019677,-0.1248987
28,-1.5535744,-1.7013495,"('disloyal', 'loyal')",-1.5535744,-1.7013495,-0.1477751
29,-0.6555469,-0.6734847,"('unfair', 'fair')",-0.6555469,-0.6734847,-0.0179378
30,-0.5268859,-0.48770028,"('intolerant', 'tolerant')",-0.5268859,-0.4877003,0.0391856
31,-0.9102102,-0.90839285,"('evil', 'good')",-0.9102102,-0.9083928,0.0018174
32,-0.66700274,-0.7219808,"('unkind', 'kind')",-0.6670027,-0.7219808,-0.0549781
33,0.17985053,0.13405079,"('wrong', 'right')",0.1798505,0.1340508,-0.0457997
34,0.57723904,0.7225932,"('mean', 'honorable')",0.577239,0.7225932,0.1453542
35,0.91020656,0.81183976,"('corrupt', 'incorrupt')",0.9102066,0.8118398,-0.0983668
36,-0.40745628,-0.57314205,"('hostile', 'amicable')",-0.4074563,-0.5731421,-0.1656858
37,-0.15310901,-0.13462521,"('fake', 'genuine')",-0.153109,-0.1346252,0.0184838
38,-0.9343876,-0.94693375,"('untruthful', 'truthful')",-0.9343876,-0.9469337,-0.0125461
39,0.029259773,0.028712159,"('exploitative', 'cooperative')",0.0292598,0.0287122,-0.0005476
40,-0.7448383,-0.7869034,"('stingy', 'generous')",-0.7448383,-0.7869034,-0.0420651
41,-0.6309437,-0.6673515,"('unforgiving', 'forgiving')",-0.6309437,-0.6673515,-0.0364078
42,-0.38952395,-0.23590983,"('unreliable', 'reliable')",-0.389524,-0.2359098,0.1536142
43,-1.3055682,-1.2396901,"('irresponsible', 'responsible')",-1.3055682,-1.2396901,0.0658781
44,1.5840203,1.622292,"('prejudiced', 'unprejudiced')",1.5840203,1.622292,0.0382717
45,-1.6525958,-1.6180211,"('incompetent', 'competent')",-1.6525958,-1.6180211,0.0345747
46,-1.2003012,-1.1959082,"('uncompetitive', 'competitive')",-1.2003012,-1.1959082,0.004393
47,0.67449313,0.73505116,"('stupid', 'smart')",0.6744931,0.7350512,0.0605581
48,-1.0537283,-1.0771499,"('unintelligent', 'intelligent')",-1.0537283,-1.0771499,-0.0234216
49,-0.2855728,-0.18897617,"('unable', 'able')",-0.2855728,-0.1889762,0.0965966
50,-0.034660883,-0.13373865,"('clumsy', 'skillful')",-0.0346609,-0.1337387,-0.0990778
51,-1.0320573,-1.0682963,"('uneducated', 'educated')",-1.0320573,-1.0682963,-0.036239
52,0.105084725,-0.15912783,"('irrational', 'rational')",0.1050847,-0.1591278,-0.2642125
53,-1.4284364,-1.5318345,"('uncreative', 'creative')",-1.4284364,-1.5318345,-0.1033981
54,-1.1454421,-1.2280092,"('incapable', 'capable')",-1.1454421,-1.2280092,-0.0825671
55,-1.271595,-1.2621323,"('incompetent', 'clever')",-1.271595,-1.2621323,0.0094627
56,-0.25655723,-0.11908836,"('impractical', 'practical')",-0.2565572,-0.1190884,0.1374688
57,-1.473347,-1.4657273,"('unimaginative', 'imaginative')",-1.4733469,-1.4657273,0.0076196
58,-0.532334,-0.59532064,"('undiscriminating', 'discriminating')",-0.532334,-0.5953206,-0.0629866
59,0.089188986,0.039917454,"('foolish', 'wise')",0.089189,0.0399175,-0.0492715
60,-0.76688117,-0.6549021,"('inefficient', 'efficient')",-0.7668812,-0.6549021,0.1119791
61,-0.83624184,-0.9946369,"('illogical', 'logical')",-0.8362418,-0.9946369,-0.1583951
62,-0.9712609,-0.90207434,"('incompetent', 'brilliant')",-0.9712609,-0.9020743,0.0691866
63,-0.9772862,-0.9218654,"('unperceptive', 'insightful')",-0.9772862,-0.9218654,0.0554208
64,-0.9566945,-0.91038436,"('shy', 'confident')",-0.9566945,-0.9103844,0.0463101
65,-0.6639401,-0.6491364,"('insecure', 'secure')",-0.6639401,-0.6491364,0.0148037
66,-1.0476794,-1.0510309,"('inactive', 'active')",-1.0476794,-1.0510309,-0.0033515
67,1.1524062,1.2958317,"('doubtful', 'determined')",1.1524062,1.2958317,0.1434255
68,0.18718697,0.22819817,"('dependent', 'independent')",0.187187,0.2281982,0.0410112
69,0.75561345,0.7841039,"('lazy', 'industrious')",0.7556134,0.7841039,0.0284905
70,-0.970389,-0.876562,"('lethargic', 'energetic')",-0.970389,-0.876562,0.093827
71,-0.6716305,-0.67198366,"('diffident', 'self-confident')",-0.6716305,-0.6719837,-0.0003532
72,-0.9143723,-0.89869994,"('unambitious', 'ambitious')",-0.9143723,-0.8986999,0.0156724
73,0.14008152,0.10653385,"('helpless', 'self-reliant')",0.1400815,0.1065338,-0.0335477
74,-1.0931566,-1.084575,"('undedicated', 'dedicated')",-1.0931566,-1.0845751,0.0085815
75,-0.113412715,-0.049406637,"('meek', 'impulsive')",-0.1134127,-0.0494066,0.0640061
76,-0.08177455,0.022766026,"('anxious', 'daring')",-0.0817745,0.022766,0.1045405
77,-1.1537424,-1.0911404,"('unmotivated', 'motivated')",-1.1537424,-1.0911404,0.062602
78,-0.72882366,-0.79778314,"('nonresilient', 'resilient')",-0.7288237,-0.7977831,-0.0689594
79,-0.81413615,-0.8292562,"('wavering', 'unwavering')",-0.8141361,-0.8292562,-0.0151201
80,0.05687574,0.10305078,"('dominated', 'dominating')",0.0568757,0.1030508,0.0461751
81,-0.29775468,-0.14659251,"('submissive', 'aggressive')",-0.2977547,-0.1465925,0.1511622
82,-0.06731442,-0.0331194,"('poor', 'rich')",-0.0673144,-0.0331194,0.034195
83,-0.44321978,-0.41830632,"('powerless', 'powerful')",-0.4432198,-0.4183063,0.0249135
84,0.86780155,0.8383554,"('inferior', 'superior')",0.8678015,0.8383554,-0.0294461
85,0.18203577,0.029296635,"('insignificant', 'prestigious')",0.1820358,0.0292966,-0.1527392
86,-2.6629572,-2.7478225,"('uninfluential', 'influential')",-2.6629572,-2.7478225,-0.0848653
87,-0.35605526,-0.40774232,"('unsuccessful', 'successful')",-0.3560553,-0.4077423,-0.051687
88,-0.19885777,-0.3049389,"('low', 'eminent')",-0.1988578,-0.3049389,-0.1060811
