,sigma_male,sigma_female,tuple,aldrich_male,aldrich_female,corp_male,corp_female,average_male,average_female,female-male
0,1.2981541,1.1449386,"('unsociable', 'sociable')",-1.2939458,-1.5986502,-0.45410436,-0.61348087,-0.1499653,-0.3557309,-0.2057656
1,-0.101402745,-0.190386,"('unfriendly', 'friendly')",-1.3937669,-1.5905163,0.6481565,0.37790942,-0.2823377,-0.4676643,-0.1853266
2,0.9113637,1.0225556,"('unlikable', 'likable')",0.19017899,0.14092338,0.66708213,0.6672336,0.5895416,0.6102375,0.0206959
3,0.12109797,0.28498873,"('repellent', 'pleasant')",-1.4369171,-1.3122578,0.7231146,0.7339294,-0.1975682,-0.0977799,0.0997883
4,-1.5594195,-1.5896344,"('disliked', 'liked')",0.6497221,0.6101008,-6.5276113,-6.724982,-2.4791029,-2.5681718,-0.0890689
5,-0.8107434,-0.8643118,"('distant', 'outgoing')",0.44529745,0.4179361,-0.71891636,-0.7343526,-0.3614541,-0.3935761,-0.032122
6,-1.5134177,-1.4975442,"('distant', 'open')",0.4266156,0.4991873,-0.7223089,-0.79828465,-0.603037,-0.5988805,0.0041565
7,0.7555213,0.9318259,"('insensitive', 'sensitive')",-1.2112253,-1.1839447,-0.063035734,-0.042901408,-0.1729132,-0.0983401,0.0745731
8,0.1571623,0.0059065893,"('unaffectionate', 'affectionate')",-0.48170722,-0.5682901,0.6346145,0.51231194,0.1033565,-0.0166905,-0.120047
9,1.3420157,1.3221531,"('unaffectionate', 'caring')",-0.72039765,-0.7738373,1.0557332,1.0011693,0.5591171,0.516495,-0.0426221
10,0.9317031,1.0218433,"('unsympathetic', 'sympathetic')",-2.2974038,-2.4108508,-0.6562272,-0.72423744,-0.6739759,-0.704415,-0.0304391
11,0.34948,0.51976895,"('unhelpful', 'helpful')",-1.0635688,-1.1084442,1.435732,1.5305609,0.2405477,0.3139619,0.0734142
12,1.4364812,1.7222631,"('unsupportive', 'supportive')",-0.34600496,-0.26220518,-2.1466448,-2.1545897,-0.3520562,-0.2315106,0.1205456
13,-0.13828465,-0.21445079,"('impolite', 'polite')",-1.5317127,-1.650843,-1.1433518,-1.1308793,-0.9377831,-0.9987244,-0.0609413
14,1.2610753,1.4167768,"('antisocial', 'social')",-0.7408054,-0.7169005,-0.04048893,-0.19900617,0.159927,0.1669567,0.0070297
