,vestment_male,vestment_female,tuple,average_male,average_female,female-male
0,0.55261654,0.3668364,"('unsociable', 'sociable')",0.5526165,0.3668364,-0.1857801
1,-0.8943926,-1.0275787,"('unfriendly', 'friendly')",-0.8943926,-1.0275787,-0.1331861
2,0.34055033,0.39614317,"('unlikable', 'likable')",0.3405503,0.3961432,0.0555929
3,-0.17276587,0.10413875,"('repellent', 'pleasant')",-0.1727659,0.1041387,0.2769046
4,-3.1026015,-3.2063081,"('disliked', 'liked')",-3.1026015,-3.2063081,-0.1037066
5,-1.6582063,-1.6853805,"('distant', 'outgoing')",-1.6582063,-1.6853805,-0.0271742
6,-1.5420387,-1.5871291,"('distant', 'open')",-1.5420387,-1.5871291,-0.0450904
7,0.9233337,1.0085474,"('insensitive', 'sensitive')",0.9233337,1.0085474,0.0852137
8,-0.446052,-0.55876505,"('unaffectionate', 'affectionate')",-0.446052,-0.5587651,-0.1127131
9,-0.503832,-0.48530623,"('unaffectionate', 'caring')",-0.503832,-0.4853062,0.0185258
10,0.4680577,0.51892054,"('unsympathetic', 'sympathetic')",0.4680577,0.5189205,0.0508628
11,0.39894807,0.536763,"('unhelpful', 'helpful')",0.3989481,0.536763,0.1378149
12,-0.86134994,-0.7835622,"('unsupportive', 'supportive')",-0.8613499,-0.7835622,0.0777877
13,0.25332814,0.23519829,"('impolite', 'polite')",0.2533281,0.2351983,-0.0181298
14,1.0404704,1.1344026,"('antisocial', 'social')",1.0404704,1.1344026,0.0939322
15,0.22108935,0.07426804,"('boring', 'funny')",0.2210893,0.074268,-0.1468213
16,-0.9450303,-0.95902073,"('unpopular', 'popular')",-0.9450303,-0.9590207,-0.0139904
17,0.2992524,0.32692626,"('nasty', 'nice')",0.2992524,0.3269263,0.0276739
18,-0.65784484,-0.597976,"('disagreeable', 'welcoming')",-0.6578448,-0.597976,0.0598688
19,-0.9048346,-1.004678,"('inhospitable', 'hospitable')",-0.9048346,-1.004678,-0.0998434
20,0.39241594,0.40219152,"('rough', 'thoughtful')",0.3924159,0.4021915,0.0097756
21,0.47469324,0.6338607,"('immoral', 'moral')",0.4746932,0.6338607,0.1591675
22,0.65561295,0.66577387,"('untrustworthy', 'trustworthy')",0.6556129,0.6657739,0.010161
23,3.5596437,3.5602818,"('insincere', 'sincere')",3.5596437,3.5602818,0.0006381
24,0.79300916,0.74192244,"('dishonest', 'honest')",0.7930092,0.7419224,-0.0510868
25,-0.06417601,-0.1641862,"('egoistic', 'altruistic')",-0.064176,-0.1641862,-0.1000102
26,1.3721228,1.1111268,"('hardhearted', 'benevolent')",1.3721228,1.1111268,-0.260996
27,0.7082783,0.4907848,"('hardhearted', 'softhearted')",0.7082783,0.4907848,-0.2174935
28,1.0077646,0.7334247,"('disloyal', 'loyal')",1.0077646,0.7334247,-0.2743399
29,-0.7242988,-0.8060419,"('unfair', 'fair')",-0.7242988,-0.8060419,-0.0817431
30,0.47194144,0.61670315,"('intolerant', 'tolerant')",0.4719414,0.6167032,0.1447618
31,-1.8889544,-1.9816684,"('evil', 'good')",-1.8889544,-1.9816684,-0.092714
32,1.6077439,1.4573865,"('unkind', 'kind')",1.6077439,1.4573865,-0.1503574
33,-0.5258214,-0.4765128,"('wrong', 'right')",-0.5258214,-0.4765128,0.0493086
34,2.5070128,2.606975,"('mean', 'honorable')",2.5070128,2.6069751,0.0999623
35,-0.35434967,-0.6269028,"('corrupt', 'incorrupt')",-0.3543497,-0.6269028,-0.2725531
36,-1.0256175,-1.2853537,"('hostile', 'amicable')",-1.0256175,-1.2853537,-0.2597362
37,0.534233,0.5437129,"('fake', 'genuine')",0.534233,0.5437129,0.0094799
38,-0.205785,-0.20189212,"('untruthful', 'truthful')",-0.205785,-0.2018921,0.0038929
