,accordion_male,accordion_female,tuple,average_male,average_female,female-male
0,0.19010368,-0.031358875,"('unsociable', 'sociable')",0.1901037,-0.0313589,-0.2214626
1,1.1585385,1.0965881,"('unfriendly', 'friendly')",1.1585385,1.0965881,-0.0619504
2,0.5413847,0.67942107,"('unlikable', 'likable')",0.5413847,0.6794211,0.1380364
3,0.9759423,1.0207213,"('repellent', 'pleasant')",0.9759423,1.0207213,0.044779
4,-6.986664,-6.979661,"('disliked', 'liked')",-6.9866638,-6.979661,0.0070028
5,-0.40377942,-0.20409411,"('distant', 'outgoing')",-0.4037794,-0.2040941,0.1996853
6,-0.080731705,0.114423625,"('distant', 'open')",-0.0807317,0.1144236,0.1951553
7,0.55371326,0.54781705,"('insensitive', 'sensitive')",0.5537133,0.5478171,-0.0058962
8,0.9583362,0.9861047,"('unaffectionate', 'affectionate')",0.9583362,0.9861047,0.0277685
9,1.3015953,1.46448,"('unaffectionate', 'caring')",1.3015953,1.46448,0.1628847
10,1.3366512,1.391041,"('unsympathetic', 'sympathetic')",1.3366512,1.391041,0.0543898
11,1.9062473,1.9191859,"('unhelpful', 'helpful')",1.9062473,1.9191859,0.0129386
12,-1.5228077,-1.5422766,"('unsupportive', 'supportive')",-1.5228077,-1.5422766,-0.0194689
13,0.42909357,0.3123779,"('impolite', 'polite')",0.4290936,0.3123779,-0.1167157
14,-0.13942425,-0.34934226,"('antisocial', 'social')",-0.1394242,-0.3493423,-0.2099181
15,0.3048001,0.18536733,"('boring', 'funny')",0.3048001,0.1853673,-0.1194328
16,-0.34964558,-0.28073257,"('unpopular', 'popular')",-0.3496456,-0.2807326,0.068913
17,0.05026502,0.07233155,"('nasty', 'nice')",0.050265,0.0723315,0.0220665
18,-0.60839516,-0.6933974,"('disagreeable', 'welcoming')",-0.6083952,-0.6933974,-0.0850022
19,-0.6881128,-0.49329266,"('inhospitable', 'hospitable')",-0.6881128,-0.4932927,0.1948201
20,0.75143147,0.5561703,"('rough', 'thoughtful')",0.7514315,0.5561703,-0.1952612
21,0.2361202,0.3000687,"('immoral', 'moral')",0.2361202,0.3000687,0.0639485
22,-0.34788573,-0.39833248,"('untrustworthy', 'trustworthy')",-0.3478857,-0.3983325,-0.0504468
23,5.8810296,5.859479,"('insincere', 'sincere')",5.8810296,5.859479,-0.0215506
24,1.5500696,1.547415,"('dishonest', 'honest')",1.5500696,1.547415,-0.0026546
25,0.5564705,0.45627755,"('egoistic', 'altruistic')",0.5564705,0.4562775,-0.100193
26,0.10991493,-0.0043293536,"('hardhearted', 'benevolent')",0.1099149,-0.0043294,-0.1142443
27,1.5672255,1.4358419,"('hardhearted', 'softhearted')",1.5672255,1.4358419,-0.1313836
28,1.107591,1.1661737,"('disloyal', 'loyal')",1.107591,1.1661737,0.0585827
29,-0.5951306,-0.7397365,"('unfair', 'fair')",-0.5951306,-0.7397365,-0.1446059
30,0.72003126,0.6780874,"('intolerant', 'tolerant')",0.7200313,0.6780874,-0.0419439
31,-1.5244253,-1.508414,"('evil', 'good')",-1.5244253,-1.508414,0.0160113
32,1.3468858,1.2809823,"('unkind', 'kind')",1.3468858,1.2809823,-0.0659035
33,-0.57604086,-0.46085235,"('wrong', 'right')",-0.5760409,-0.4608524,0.1151885
34,4.2723885,4.4300284,"('mean', 'honorable')",4.2723885,4.4300284,0.1576399
35,-1.177242,-1.2205067,"('corrupt', 'incorrupt')",-1.177242,-1.2205067,-0.0432647
36,-0.96230865,-0.9524131,"('hostile', 'amicable')",-0.9623086,-0.9524131,0.0098955
37,1.0584759,1.0341734,"('fake', 'genuine')",1.0584759,1.0341734,-0.0243025
38,-0.23787722,-0.1425162,"('untruthful', 'truthful')",-0.2378772,-0.1425162,0.095361
39,-0.039961312,-0.09535686,"('exploitative', 'cooperative')",-0.0399613,-0.0953569,-0.0553956
40,-1.5746758,-1.7722757,"('stingy', 'generous')",-1.5746758,-1.7722757,-0.1975999
41,0.057509065,0.0866929,"('unforgiving', 'forgiving')",0.0575091,0.0866929,0.0291838
42,-1.8909,-1.8892096,"('unreliable', 'reliable')",-1.8909,-1.8892096,0.0016904
43,1.0290216,1.0456071,"('irresponsible', 'responsible')",1.0290216,1.0456071,0.0165855
44,-0.8945301,-0.9750452,"('prejudiced', 'unprejudiced')",-0.8945301,-0.9750452,-0.0805151
45,0.25591975,0.21254252,"('incompetent', 'competent')",0.2559198,0.2125425,-0.0433773
46,-0.29753533,-0.32831794,"('uncompetitive', 'competitive')",-0.2975353,-0.3283179,-0.0307826
47,4.938109,5.115777,"('stupid', 'smart')",4.9381089,5.115777,0.1776681
48,0.514932,0.380216,"('unintelligent', 'intelligent')",0.514932,0.380216,-0.134716
49,0.18522465,0.38965148,"('unable', 'able')",0.1852247,0.3896515,0.2044268
50,0.0034745662,0.014578747,"('clumsy', 'skillful')",0.0034746,0.0145787,0.0111041
51,0.46764576,0.38925636,"('uneducated', 'educated')",0.4676458,0.3892564,-0.0783894
52,-0.4244238,-0.4043465,"('irrational', 'rational')",-0.4244238,-0.4043465,0.0200773
53,-0.037528317,-0.063253924,"('uncreative', 'creative')",-0.0375283,-0.0632539,-0.0257256
54,0.91385925,1.1803825,"('incapable', 'capable')",0.9138592,1.1803825,0.2665233
55,0.79617316,0.649956,"('incompetent', 'clever')",0.7961732,0.649956,-0.1462172
56,0.63779414,0.6226128,"('impractical', 'practical')",0.6377941,0.6226128,-0.0151813
57,-2.4014838,-2.371841,"('unimaginative', 'imaginative')",-2.4014838,-2.371841,0.0296428
58,-0.2065164,-0.27573872,"('undiscriminating', 'discriminating')",-0.2065164,-0.2757387,-0.0692223
59,-0.04351772,0.10717649,"('foolish', 'wise')",-0.0435177,0.1071765,0.1506942
60,0.95508343,0.8768954,"('inefficient', 'efficient')",0.9550834,0.8768954,-0.078188
61,-0.04087001,-0.22168961,"('illogical', 'logical')",-0.04087,-0.2216896,-0.1808196
62,1.150151,1.1947923,"('incompetent', 'brilliant')",1.150151,1.1947923,0.0446413
63,0.4776309,0.4806708,"('unperceptive', 'insightful')",0.4776309,0.4806708,0.0030399
64,-5.48637,-5.4023447,"('shy', 'confident')",-5.4863701,-5.4023447,0.0840254
65,0.64603895,0.5376071,"('insecure', 'secure')",0.6460389,0.5376071,-0.1084318
66,0.0032474212,0.00520451,"('inactive', 'active')",0.0032474,0.0052045,0.0019571
67,-0.3132985,-0.2813568,"('doubtful', 'determined')",-0.3132985,-0.2813568,0.0319417
68,-0.47730356,-0.45266098,"('dependent', 'independent')",-0.4773036,-0.452661,0.0246426
69,-1.8944618,-1.8028594,"('lazy', 'industrious')",-1.8944618,-1.8028594,0.0916024
70,1.2944607,1.2902734,"('lethargic', 'energetic')",1.2944607,1.2902734,-0.0041873
71,0.28292096,0.32135049,"('diffident', 'self-confident')",0.282921,0.3213505,0.0384295
72,0.82888067,0.91123986,"('unambitious', 'ambitious')",0.8288807,0.9112399,0.0823592
73,-2.7814562,-2.7720845,"('helpless', 'self-reliant')",-2.7814562,-2.7720845,0.0093717
74,-0.027547821,-0.14125012,"('undedicated', 'dedicated')",-0.0275478,-0.1412501,-0.1137023
75,-0.6145612,-0.41515613,"('meek', 'impulsive')",-0.6145612,-0.4151561,0.1994051
76,0.76855576,0.58442044,"('anxious', 'daring')",0.7685558,0.5844204,-0.1841354
77,-1.217321,-1.1322691,"('unmotivated', 'motivated')",-1.217321,-1.1322691,0.0850519
78,-0.65075624,-0.69467247,"('nonresilient', 'resilient')",-0.6507562,-0.6946725,-0.0439163
79,-0.46549016,-0.18970159,"('wavering', 'unwavering')",-0.4654902,-0.1897016,0.2757886
80,-0.14831665,-0.29875317,"('dominated', 'dominating')",-0.1483167,-0.2987532,-0.1504365
81,0.3918029,0.35721496,"('submissive', 'aggressive')",0.3918029,0.357215,-0.0345879
82,6.4545674,6.588385,"('poor', 'rich')",6.4545674,6.5883851,0.1338177
83,-0.36461654,-0.3006321,"('powerless', 'powerful')",-0.3646165,-0.3006321,0.0639844
84,0.25237244,0.30746484,"('inferior', 'superior')",0.2523724,0.3074648,0.0550924
85,-1.3748175,-1.351149,"('insignificant', 'prestigious')",-1.3748175,-1.351149,0.0236685
86,0.41348875,0.4464302,"('uninfluential', 'influential')",0.4134887,0.4464302,0.0329415
87,-0.061770644,-0.029940542,"('unsuccessful', 'successful')",-0.0617706,-0.0299405,0.0318301
88,0.11154503,0.17844316,"('low', 'eminent')",0.111545,0.1784432,0.0668982
