,rectangle_male,rectangle_female,tuple,average_male,average_female,female-male
0,0.18562338,0.16487095,"('unsociable', 'sociable')",0.1856234,0.1648709,-0.0207525
1,0.66374093,0.43766826,"('unfriendly', 'friendly')",0.6637409,0.4376683,-0.2260726
2,0.6254221,0.67984706,"('unlikable', 'likable')",0.6254221,0.6798471,0.054425
3,0.07051079,0.28315794,"('repellent', 'pleasant')",0.0705108,0.2831579,0.2126471
4,-4.0787764,-4.17734,"('disliked', 'liked')",-4.0787764,-4.17734,-0.0985636
5,-0.43790632,-0.4625539,"('distant', 'outgoing')",-0.4379063,-0.4625539,-0.0246476
6,-0.40685514,-0.4607654,"('distant', 'open')",-0.4068551,-0.4607654,-0.0539103
7,0.7713753,1.0498737,"('insensitive', 'sensitive')",0.7713753,1.0498737,0.2784984
8,0.41521478,0.24117842,"('unaffectionate', 'affectionate')",0.4152148,0.2411784,-0.1740364
9,0.8123789,0.7885399,"('unaffectionate', 'caring')",0.8123789,0.7885399,-0.023839
10,0.2253428,0.49962425,"('unsympathetic', 'sympathetic')",0.2253428,0.4996243,0.2742815
11,1.4449054,1.6229346,"('unhelpful', 'helpful')",1.4449054,1.6229346,0.1780292
12,-1.0796254,-0.8846487,"('unsupportive', 'supportive')",-1.0796254,-0.8846487,0.1949767
13,-0.03525396,0.05218739,"('impolite', 'polite')",-0.035254,0.0521874,0.0874414
14,0.35038137,0.48755783,"('antisocial', 'social')",0.3503814,0.4875578,0.1371764
15,0.08477072,-0.04109107,"('boring', 'funny')",0.0847707,-0.0410911,-0.1258618
16,-0.30905133,-0.31636912,"('unpopular', 'popular')",-0.3090513,-0.3163691,-0.0073178
17,0.026684886,0.053801365,"('nasty', 'nice')",0.0266849,0.0538014,0.0271165
18,-0.55219555,-0.5900852,"('disagreeable', 'welcoming')",-0.5521955,-0.5900852,-0.0378897
19,-0.9578414,-0.9596814,"('inhospitable', 'hospitable')",-0.9578414,-0.9596814,-0.00184
20,0.741205,0.82713115,"('rough', 'thoughtful')",0.741205,0.8271312,0.0859262
21,0.11023993,0.45461684,"('immoral', 'moral')",0.1102399,0.4546168,0.3443769
22,-0.2760596,-0.12075098,"('untrustworthy', 'trustworthy')",-0.2760596,-0.120751,0.1553086
23,3.8728614,4.070718,"('insincere', 'sincere')",3.8728614,4.0707178,0.1978564
24,1.078114,1.0768275,"('dishonest', 'honest')",1.078114,1.0768275,-0.0012865
25,0.32597852,0.16479291,"('egoistic', 'altruistic')",0.3259785,0.1647929,-0.1611856
26,0.56469584,0.21063614,"('hardhearted', 'benevolent')",0.5646958,0.2106361,-0.3540597
27,1.2689035,1.2134773,"('hardhearted', 'softhearted')",1.2689035,1.2134773,-0.0554262
28,0.37061253,0.38951552,"('disloyal', 'loyal')",0.3706125,0.3895155,0.018903
29,-0.059206672,-0.04699908,"('unfair', 'fair')",-0.0592067,-0.0469991,0.0122076
30,1.1449139,1.1972005,"('intolerant', 'tolerant')",1.1449139,1.1972005,0.0522866
31,-1.1700588,-1.4234934,"('evil', 'good')",-1.1700588,-1.4234934,-0.2534346
32,0.9234349,0.92485917,"('unkind', 'kind')",0.9234349,0.9248592,0.0014243
33,-0.06218351,-0.20448746,"('wrong', 'right')",-0.0621835,-0.2044875,-0.142304
34,3.2503603,3.393484,"('mean', 'honorable')",3.2503603,3.3934841,0.1431238
35,-0.6574757,-0.86779135,"('corrupt', 'incorrupt')",-0.6574757,-0.8677914,-0.2103157
36,-0.39714557,-0.71753895,"('hostile', 'amicable')",-0.3971456,-0.717539,-0.3203934
37,0.80224395,0.8439893,"('fake', 'genuine')",0.8022439,0.8439893,0.0417454
38,0.7629679,0.77201533,"('untruthful', 'truthful')",0.7629679,0.7720153,0.0090474
39,1.0645834,1.1199915,"('exploitative', 'cooperative')",1.0645834,1.1199915,0.0554081
40,-1.3359473,-1.4065502,"('stingy', 'generous')",-1.3359473,-1.4065502,-0.0706029
41,0.6604642,0.6379433,"('unforgiving', 'forgiving')",0.6604642,0.6379433,-0.0225209
42,-1.4398443,-1.1701944,"('unreliable', 'reliable')",-1.4398443,-1.1701944,0.2696499
43,0.6240449,0.8306475,"('irresponsible', 'responsible')",0.6240449,0.8306475,0.2066026
44,-0.36427468,-0.4272563,"('prejudiced', 'unprejudiced')",-0.3642747,-0.4272563,-0.0629816
45,0.24702555,0.4367267,"('incompetent', 'competent')",0.2470255,0.4367267,0.1897012
46,-0.17426813,0.028337952,"('uncompetitive', 'competitive')",-0.1742681,0.028338,0.2026061
47,3.5786865,3.7648125,"('stupid', 'smart')",3.5786865,3.7648125,0.186126
48,0.15301052,0.32750306,"('unintelligent', 'intelligent')",0.1530105,0.3275031,0.1744926
49,0.09453087,0.45019838,"('unable', 'able')",0.0945309,0.4501984,0.3556675
50,-0.26557952,-0.19729939,"('clumsy', 'skillful')",-0.2655795,-0.1972994,0.0682801
51,-0.030899622,0.054227322,"('uneducated', 'educated')",-0.0308996,0.0542273,0.0851269
52,-0.37065145,-0.5712007,"('irrational', 'rational')",-0.3706515,-0.5712007,-0.2005492
53,-0.41611406,-0.40362012,"('uncreative', 'creative')",-0.4161141,-0.4036201,0.012494
54,0.49930847,0.64700174,"('incapable', 'capable')",0.4993085,0.6470017,0.1476932
55,0.24518506,0.48679665,"('incompetent', 'clever')",0.2451851,0.4867966,0.2416115
56,0.8086813,0.9884647,"('impractical', 'practical')",0.8086813,0.9884647,0.1797834
57,-2.1362062,-1.9886918,"('unimaginative', 'imaginative')",-2.1362062,-1.9886918,0.1475144
