,south_male,south_female,tuple,average_male,average_female,female-male
0,0.4296407,0.18356061,"('unsociable', 'sociable')",0.4296407,0.1835606,-0.2460801
1,1.1677296,1.124524,"('unfriendly', 'friendly')",1.1677296,1.124524,-0.0432056
2,0.2505404,0.43867698,"('unlikable', 'likable')",0.2505404,0.438677,0.1881366
3,0.5628724,0.65398586,"('repellent', 'pleasant')",0.5628724,0.6539859,0.0911135
4,-7.187586,-7.442719,"('disliked', 'liked')",-7.1875858,-7.442719,-0.2551332
5,-0.7833225,-0.5831337,"('distant', 'outgoing')",-0.7833225,-0.5831337,0.2001888
6,-0.24323174,-0.124130115,"('distant', 'open')",-0.2432317,-0.1241301,0.1191016
7,1.1416917,0.9115125,"('insensitive', 'sensitive')",1.1416917,0.9115125,-0.2301792
8,1.0619282,1.088132,"('unaffectionate', 'affectionate')",1.0619282,1.088132,0.0262038
9,1.6415832,1.6528773,"('unaffectionate', 'caring')",1.6415832,1.6528773,0.0112941
10,0.89129984,0.92074513,"('unsympathetic', 'sympathetic')",0.8912998,0.9207451,0.0294453
11,2.0549235,2.1102226,"('unhelpful', 'helpful')",2.0549235,2.1102226,0.0552991
12,-1.4061246,-1.5163412,"('unsupportive', 'supportive')",-1.4061246,-1.5163412,-0.1102166
13,0.0378893,0.094876535,"('impolite', 'polite')",0.0378893,0.0948765,0.0569872
14,-0.090887874,-0.2347844,"('antisocial', 'social')",-0.0908879,-0.2347844,-0.1438965
15,0.33306593,0.27834994,"('boring', 'funny')",0.3330659,0.2783499,-0.054716
16,-0.51250505,-0.5951266,"('unpopular', 'popular')",-0.5125051,-0.5951266,-0.0826215
17,-0.0035033375,-0.06528713,"('nasty', 'nice')",-0.0035033,-0.0652871,-0.0617838
18,-0.70897406,-0.6980152,"('disagreeable', 'welcoming')",-0.7089741,-0.6980152,0.0109589
19,-0.45527613,-0.2961374,"('inhospitable', 'hospitable')",-0.4552761,-0.2961374,0.1591387
20,0.79621154,0.67283505,"('rough', 'thoughtful')",0.7962115,0.6728351,-0.1233764
21,-0.12243717,0.09173999,"('immoral', 'moral')",-0.1224372,0.09174,0.2141772
22,-0.42720526,-0.51045334,"('untrustworthy', 'trustworthy')",-0.4272053,-0.5104533,-0.083248
23,6.1450734,6.190481,"('insincere', 'sincere')",6.1450734,6.1904812,0.0454078
24,1.486714,1.445317,"('dishonest', 'honest')",1.486714,1.445317,-0.041397
25,0.5255754,0.47018898,"('egoistic', 'altruistic')",0.5255754,0.470189,-0.0553864
26,0.83811593,0.5025077,"('hardhearted', 'benevolent')",0.8381159,0.5025077,-0.3356082
27,1.4775965,1.4548931,"('hardhearted', 'softhearted')",1.4775965,1.4548931,-0.0227034
28,1.0194494,1.0065758,"('disloyal', 'loyal')",1.0194494,1.0065758,-0.0128736
29,-0.47333223,-0.75310016,"('unfair', 'fair')",-0.4733322,-0.7531002,-0.279768
30,0.4741457,0.67982304,"('intolerant', 'tolerant')",0.4741457,0.679823,0.2056773
31,-1.9032025,-1.9694524,"('evil', 'good')",-1.9032025,-1.9694524,-0.0662499
32,1.1673636,0.9847043,"('unkind', 'kind')",1.1673636,0.9847043,-0.1826593
33,-0.20242979,-0.2746387,"('wrong', 'right')",-0.2024298,-0.2746387,-0.0722089
34,4.708327,4.991203,"('mean', 'honorable')",4.7083268,4.9912028,0.282876
35,-1.021745,-1.2607063,"('corrupt', 'incorrupt')",-1.021745,-1.2607063,-0.2389613
36,-0.8934038,-0.95389885,"('hostile', 'amicable')",-0.8934038,-0.9538988,-0.060495
37,1.0735563,1.0503078,"('fake', 'genuine')",1.0735563,1.0503078,-0.0232485
38,0.42223832,0.34025908,"('untruthful', 'truthful')",0.4222383,0.3402591,-0.0819792
39,-0.13966185,-0.17745745,"('exploitative', 'cooperative')",-0.1396618,-0.1774575,-0.0377957
40,-2.2141478,-2.4448218,"('stingy', 'generous')",-2.2141478,-2.4448218,-0.230674
41,0.08643545,0.11219403,"('unforgiving', 'forgiving')",0.0864355,0.112194,0.0257585
42,-2.3906574,-2.3355336,"('unreliable', 'reliable')",-2.3906574,-2.3355336,0.0551238
43,1.2130635,1.2770796,"('irresponsible', 'responsible')",1.2130635,1.2770796,0.0640161
44,-1.3771138,-1.3316246,"('prejudiced', 'unprejudiced')",-1.3771138,-1.3316246,0.0454892
45,0.55402464,0.4359499,"('incompetent', 'competent')",0.5540246,0.4359499,-0.1180747
46,-0.18859418,-0.23851202,"('uncompetitive', 'competitive')",-0.1885942,-0.238512,-0.0499178
47,5.3535004,5.5795784,"('stupid', 'smart')",5.3535004,5.5795784,0.226078
48,0.4673654,0.5338275,"('unintelligent', 'intelligent')",0.4673654,0.5338275,0.0664621
49,-0.27421921,0.032298572,"('unable', 'able')",-0.2742192,0.0322986,0.3065178
50,-0.6873635,-0.6436262,"('clumsy', 'skillful')",-0.6873635,-0.6436262,0.0437373
51,0.06843634,0.1191229,"('uneducated', 'educated')",0.0684363,0.1191229,0.0506866
52,-0.52030677,-0.6627653,"('irrational', 'rational')",-0.5203068,-0.6627653,-0.1424585
53,0.07273069,0.01042562,"('uncreative', 'creative')",0.0727307,0.0104256,-0.0623051
54,0.9829254,1.0369956,"('incapable', 'capable')",0.9829254,1.0369956,0.0540702
55,0.72841185,0.82366544,"('incompetent', 'clever')",0.7284119,0.8236654,0.0952535
56,0.9886349,0.98955095,"('impractical', 'practical')",0.9886349,0.9895509,0.000916
57,-2.2246213,-2.4256406,"('unimaginative', 'imaginative')",-2.2246213,-2.4256406,-0.2010193
58,0.23858169,0.18260314,"('undiscriminating', 'discriminating')",0.2385817,0.1826031,-0.0559786
59,-0.16175218,-0.27234098,"('foolish', 'wise')",-0.1617522,-0.272341,-0.1105888
60,0.70471185,0.956759,"('inefficient', 'efficient')",0.7047119,0.956759,0.2520471
61,0.56545264,0.4145625,"('illogical', 'logical')",0.5654526,0.4145625,-0.1508901
62,0.95977926,1.1371543,"('incompetent', 'brilliant')",0.9597793,1.1371543,0.177375
63,0.61292785,0.6623025,"('unperceptive', 'insightful')",0.6129279,0.6623025,0.0493746
64,-6.1757975,-6.1444163,"('shy', 'confident')",-6.1757975,-6.1444163,0.0313812
65,-0.017598748,-0.04610424,"('insecure', 'secure')",-0.0175987,-0.0461042,-0.0285055
66,0.2833339,0.023377474,"('inactive', 'active')",0.2833339,0.0233775,-0.2599564
67,-0.14755042,-0.14140546,"('doubtful', 'determined')",-0.1475504,-0.1414055,0.0061449
68,-0.5729978,-0.5458806,"('dependent', 'independent')",-0.5729978,-0.5458806,0.0271172
69,-2.0169408,-2.090204,"('lazy', 'industrious')",-2.0169408,-2.090204,-0.0732632
70,1.1973219,1.1718178,"('lethargic', 'energetic')",1.1973219,1.1718178,-0.0255041
71,0.62635493,0.4691996,"('diffident', 'self-confident')",0.6263549,0.4691996,-0.1571553
72,0.664428,0.713434,"('unambitious', 'ambitious')",0.664428,0.713434,0.049006
73,-3.1542614,-3.1406534,"('helpless', 'self-reliant')",-3.1542614,-3.1406534,0.013608
74,0.25462073,0.10385322,"('undedicated', 'dedicated')",0.2546207,0.1038532,-0.1507675
75,-0.99111694,-0.94997126,"('meek', 'impulsive')",-0.9911169,-0.9499713,0.0411456
76,0.40689796,0.4934406,"('anxious', 'daring')",0.406898,0.4934406,0.0865426
77,-1.2395765,-1.1108406,"('unmotivated', 'motivated')",-1.2395765,-1.1108406,0.1287359
