,aflac_male,aflac_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.22065914,-0.21529646,"('unsociable', 'sociable')",-0.24148375,-0.34925225,-0.2310714,-0.2822744,-0.051203
1,-1.4567447,-1.408442,"('unfriendly', 'friendly')",1.8254981,1.7160345,0.1843767,0.1537963,-0.0305804
2,0.7878664,0.877787,"('unlikable', 'likable')",0.6191751,0.7179465,0.7035208,0.7978668,0.094346
3,0.22606958,0.37063393,"('repellent', 'pleasant')",0.3014557,0.3387673,0.2637627,0.3547006,0.0909379
4,-0.59072113,-0.6572416,"('disliked', 'liked')",-6.360998,-6.503119,-3.4758596,-3.5801802,-0.1043206
5,-1.059248,-1.0534539,"('distant', 'outgoing')",-0.19567242,-0.22554147,-0.6274602,-0.6394977,-0.0120375
6,-1.4059466,-1.3630394,"('distant', 'open')",0.32438147,0.2619788,-0.5407826,-0.5505303,-0.0097477
7,0.115008555,0.28244612,"('insensitive', 'sensitive')",0.5551429,0.6255116,0.3350757,0.4539788,0.1189031
8,-1.3329574,-1.36968,"('unaffectionate', 'affectionate')",0.74944043,0.6506092,-0.2917585,-0.3595354,-0.0677769
9,-0.8252274,-0.7774033,"('unaffectionate', 'caring')",1.0126066,0.9823442,0.0936896,0.1024705,0.0087809
10,-0.15005466,0.029318932,"('unsympathetic', 'sympathetic')",-0.48005438,-0.46617773,-0.3150545,-0.2184294,0.0966251
11,0.22719245,0.40557283,"('unhelpful', 'helpful')",1.2548846,1.3819734,0.7410385,0.8937731,0.1527346
12,-0.0017198548,0.2594671,"('unsupportive', 'supportive')",-1.9336731,-1.9175863,-0.9676965,-0.8290596,0.1386369
13,0.033682525,0.08930077,"('impolite', 'polite')",-0.65902185,-0.6044686,-0.3126697,-0.2575839,0.0550858
14,1.0510222,1.0308124,"('antisocial', 'social')",-0.2587865,-0.30189925,0.3961178,0.3644566,-0.0316612
15,-0.23971659,-0.32214203,"('boring', 'funny')",0.46584195,0.42706108,0.1130627,0.0524595,-0.0606032
16,-0.824757,-0.7866467,"('unpopular', 'popular')",0.5438032,0.5355183,-0.1404769,-0.1255642,0.0149127
17,-0.4304128,-0.3538801,"('nasty', 'nice')",-0.7016826,-0.65221786,-0.5660477,-0.503049,0.0629987
18,-1.0586791,-0.94151664,"('disagreeable', 'welcoming')",-0.41486537,-0.44477317,-0.7367722,-0.6931449,0.0436273
19,-1.3619748,-1.3111846,"('inhospitable', 'hospitable')",-0.36525247,-0.24969319,-0.8636137,-0.7804389,0.0831748
20,0.45927733,0.47299308,"('rough', 'thoughtful')",1.4429709,1.402958,0.9511241,0.9379755,-0.0131486
21,0.28348517,0.41008148,"('immoral', 'moral')",-0.6190419,-0.5311009,-0.1677784,-0.0605097,0.1072687
22,0.52974486,0.5688379,"('untrustworthy', 'trustworthy')",-0.6793809,-0.73979604,-0.074818,-0.0854791,-0.0106611
23,-0.16016296,-0.0254529,"('insincere', 'sincere')",5.480206,5.4565873,2.6600215,2.7155671,0.0555456
24,0.21067634,0.1837238,"('dishonest', 'honest')",0.64384454,0.6372127,0.4272605,0.4104683,-0.0167922
25,-0.8587886,-0.85110295,"('egoistic', 'altruistic')",1.5433754,1.4708953,0.3422934,0.3098962,-0.0323972
26,0.30416635,0.269126,"('hardhearted', 'benevolent')",2.0298584,1.9789557,1.1670123,1.1240408,-0.0429715
27,-0.2489518,-0.20496355,"('hardhearted', 'softhearted')",1.3698488,1.2969574,0.5604485,0.5459969,-0.0144516
28,-0.7646545,-0.8121938,"('disloyal', 'loyal')",0.7708168,0.6593675,0.0030811,-0.0764132,-0.0794943
29,-0.15940157,-0.22233109,"('unfair', 'fair')",-0.20469238,-0.34538695,-0.182047,-0.283859,-0.101812
30,0.64555955,0.6859002,"('intolerant', 'tolerant')",1.2631677,1.2836292,0.9543636,0.9847647,0.0304011
31,-1.1938032,-1.1011486,"('evil', 'good')",-0.75701195,-0.9173293,-0.9754076,-1.009239,-0.0338314
32,0.013029728,0.048355274,"('unkind', 'kind')",0.9338525,0.77757204,0.4734411,0.4129637,-0.0604774
33,-0.12678269,-0.19861646,"('wrong', 'right')",-0.47409406,-0.5799286,-0.3004384,-0.3892725,-0.0888341
34,0.27908263,0.51848173,"('mean', 'honorable')",5.6984487,5.955546,2.9887657,3.2370138,0.2482481
35,-0.6037402,-0.82973945,"('corrupt', 'incorrupt')",0.10951783,-0.064664915,-0.2471112,-0.4472022,-0.200091
36,-1.6594368,-1.7093495,"('hostile', 'amicable')",0.4215315,0.19962001,-0.6189526,-0.7548648,-0.1359122
37,0.4564902,0.48862338,"('fake', 'genuine')",0.45736638,0.47013718,0.4569283,0.4793803,0.022452
38,-0.6344888,-0.5500035,"('untruthful', 'truthful')",-0.46282524,-0.37322682,-0.5486571,-0.4616152,0.0870419
39,1.4666593,1.5022479,"('exploitative', 'cooperative')",0.15167773,0.15422545,0.8091685,0.8282367,0.0190682
40,0.065992154,0.09008977,"('stingy', 'generous')",-1.2948271,-1.4272721,-0.6144175,-0.6685911,-0.0541736
