,teledyne_male,teledyne_female,tuple,technologies_male,technologies_female,average_male,average_female,female-male
0,-1.6727873,-1.6955683,"('unsociable', 'sociable')",-0.52500975,-0.630295,-1.0988985,-1.1629317,-0.0640332
1,-1.7138295,-1.8557361,"('unfriendly', 'friendly')",0.43231106,0.2154223,-0.6407592,-0.8201569,-0.1793977
2,0.3769714,0.38240364,"('unlikable', 'likable')",0.4921205,0.46470687,0.4345459,0.4235553,-0.0109906
3,-1.0081681,-0.94547313,"('repellent', 'pleasant')",0.37284297,0.4313926,-0.3176626,-0.2570403,0.0606223
4,0.28320125,0.21300434,"('disliked', 'liked')",-5.377642,-5.4057765,-2.5472205,-2.5963862,-0.0491657
5,-0.35717183,-0.4033988,"('distant', 'outgoing')",-0.90196407,-0.96153325,-0.629568,-0.682466,-0.052898
6,-0.5380565,-0.56511605,"('distant', 'open')",-0.8551202,-0.9762558,-0.6965883,-0.7706859,-0.0740976
7,-1.5815548,-1.5418495,"('insensitive', 'sensitive')",0.09635001,0.20928763,-0.7426024,-0.6662809,0.0763215
8,-0.12708554,-0.2274204,"('unaffectionate', 'affectionate')",0.3792669,0.20281485,0.1260907,-0.0123028,-0.1383935
9,-1.1485907,-1.231089,"('unaffectionate', 'caring')",0.9081354,0.7509461,-0.1202276,-0.2400714,-0.1198438
10,-3.0960076,-3.0421398,"('unsympathetic', 'sympathetic')",-0.57416064,-0.5360789,-1.8350841,-1.7891093,0.0459748
11,-0.9617973,-0.8990032,"('unhelpful', 'helpful')",1.9690598,2.057304,0.5036312,0.5791503,0.0755191
12,-0.88558525,-0.74846077,"('unsupportive', 'supportive')",-1.1727626,-1.1041652,-1.029174,-0.926313,0.102861
13,-1.6953937,-1.6071794,"('impolite', 'polite')",-0.6350805,-0.59952295,-1.1652371,-1.1033511,0.061886
14,-0.19215603,-0.14774922,"('antisocial', 'social')",0.30815175,0.35790488,0.0579979,0.1050778,0.0470799
15,0.9101172,0.8068083,"('boring', 'funny')",0.013025725,-0.04942801,0.4615715,0.3786902,-0.0828813
16,0.2653492,0.20592192,"('unpopular', 'popular')",0.31612295,0.2774222,0.2907361,0.2416721,-0.049064
17,0.15211996,0.17083827,"('nasty', 'nice')",-0.28611746,-0.26713526,-0.0669987,-0.0481485,0.0188502
18,0.095602095,0.100615025,"('disagreeable', 'welcoming')",-0.37775725,-0.41368192,-0.1410776,-0.1565334,-0.0154558
19,-0.83611214,-0.82696176,"('inhospitable', 'hospitable')",-0.77092093,-0.8288309,-0.8035165,-0.8278964,-0.0243799
20,-0.3793191,-0.3910771,"('rough', 'thoughtful')",0.9843325,1.0117753,0.3025067,0.3103491,0.0078424
21,-1.025333,-0.99033284,"('immoral', 'moral')",-0.2833956,-0.23779152,-0.6543643,-0.6140622,0.0403021
22,-1.3269769,-1.2579201,"('untrustworthy', 'trustworthy')",-1.3728737,-1.3967594,-1.3499253,-1.3273398,0.0225855
23,-1.7475522,-1.8006867,"('insincere', 'sincere')",4.249753,4.162124,1.2511004,1.1807187,-0.0703817
24,-1.4367588,-1.4535218,"('dishonest', 'honest')",-0.67181313,-0.74064684,-1.054286,-1.0970843,-0.0427983
25,-0.2643999,-0.28217605,"('egoistic', 'altruistic')",0.6555754,0.60026443,0.1955878,0.1590442,-0.0365436
26,0.15742132,0.07668468,"('hardhearted', 'benevolent')",0.76123387,0.6993061,0.4593276,0.3879954,-0.0713322
27,-0.51283485,-0.43978676,"('hardhearted', 'softhearted')",0.668852,0.5869771,0.0780086,0.0735952,-0.0044134
28,-1.3193824,-1.4866208,"('disloyal', 'loyal')",0.560182,0.45479834,-0.3796002,-0.5159112,-0.136311
29,-0.3724466,-0.44385237,"('unfair', 'fair')",-1.0359945,-1.1385629,-0.7042205,-0.7912077,-0.0869872
