,ketch_male,ketch_female,tuple,average_male,average_female,female-male
0,0.013071448,0.093305334,"('unsociable', 'sociable')",0.0130714,0.0933053,0.0802339
1,-0.19430505,-0.2953777,"('unfriendly', 'friendly')",-0.194305,-0.2953777,-0.1010727
2,0.6357687,0.79409695,"('unlikable', 'likable')",0.6357687,0.7940969,0.1583282
3,-0.87942946,-0.77329165,"('repellent', 'pleasant')",-0.8794295,-0.7732916,0.1061379
4,-1.0439488,-0.83545125,"('disliked', 'liked')",-1.0439488,-0.8354512,0.2084976
5,0.17160532,-0.06009604,"('distant', 'outgoing')",0.1716053,-0.060096,-0.2317013
6,0.38879645,0.025100116,"('distant', 'open')",0.3887964,0.0251001,-0.3636963
7,-0.39456338,-0.13184804,"('insensitive', 'sensitive')",-0.3945634,-0.131848,0.2627154
8,0.0613345,-0.2262972,"('unaffectionate', 'affectionate')",0.0613345,-0.2262972,-0.2876317
9,0.0061213598,-0.22672796,"('unaffectionate', 'caring')",0.0061214,-0.226728,-0.2328494
10,-0.5334758,-0.6720432,"('unsympathetic', 'sympathetic')",-0.5334758,-0.6720432,-0.1385674
11,-0.48082945,-0.30976826,"('unhelpful', 'helpful')",-0.4808294,-0.3097683,0.1710611
12,-0.5677272,-0.49511582,"('unsupportive', 'supportive')",-0.5677272,-0.4951158,0.0726114
13,-0.9158121,-0.6984947,"('impolite', 'polite')",-0.9158121,-0.6984947,0.2173174
14,0.56814575,0.8285383,"('antisocial', 'social')",0.5681458,0.8285383,0.2603925
15,1.7785208,1.7430044,"('boring', 'funny')",1.7785208,1.7430044,-0.0355164
16,-0.4222057,-0.36403808,"('unpopular', 'popular')",-0.4222057,-0.3640381,0.0581676
17,0.3250825,0.3244283,"('nasty', 'nice')",0.3250825,0.3244283,-0.0006542
18,-0.17187673,0.09422326,"('disagreeable', 'welcoming')",-0.1718767,0.0942233,0.2661
19,-1.8841057,-1.8916739,"('inhospitable', 'hospitable')",-1.8841057,-1.8916739,-0.0075682
20,-0.5983,-0.46425495,"('rough', 'thoughtful')",-0.5983,-0.4642549,0.1340451
21,-1.1650146,-0.94882417,"('immoral', 'moral')",-1.1650146,-0.9488242,0.2161904
22,0.083504096,0.36053884,"('untrustworthy', 'trustworthy')",0.0835041,0.3605388,0.2770347
23,0.59880304,0.6446868,"('insincere', 'sincere')",0.598803,0.6446868,0.0458838
24,-0.5242042,-0.35970184,"('dishonest', 'honest')",-0.5242042,-0.3597018,0.1645024
25,0.62239337,0.56232715,"('egoistic', 'altruistic')",0.6223934,0.5623271,-0.0600663
26,1.3538157,1.0508556,"('hardhearted', 'benevolent')",1.3538157,1.0508556,-0.3029601
27,0.5773731,0.5680252,"('hardhearted', 'softhearted')",0.5773731,0.5680252,-0.0093479
28,0.19257033,0.074781716,"('disloyal', 'loyal')",0.1925703,0.0747817,-0.1177886
29,-0.65611506,-0.46765465,"('unfair', 'fair')",-0.6561151,-0.4676546,0.1884605
30,-0.41999367,-0.26664162,"('intolerant', 'tolerant')",-0.4199937,-0.2666416,0.1533521
31,0.29498217,0.24022284,"('evil', 'good')",0.2949822,0.2402228,-0.0547594
32,0.19925061,0.024850553,"('unkind', 'kind')",0.1992506,0.0248506,-0.1744
33,0.021551892,0.1660176,"('wrong', 'right')",0.0215519,0.1660176,0.1444657
34,0.26692572,0.34677863,"('mean', 'honorable')",0.2669257,0.3467786,0.0798529
35,0.5630846,0.28007215,"('corrupt', 'incorrupt')",0.5630846,0.2800722,-0.2830124
36,1.0346433,0.85921085,"('hostile', 'amicable')",1.0346433,0.8592108,-0.1754325
37,-0.8124535,-0.6866208,"('fake', 'genuine')",-0.8124535,-0.6866208,0.1258327
38,-0.9820399,-1.012449,"('untruthful', 'truthful')",-0.9820399,-1.012449,-0.0304091
39,-0.12578924,0.23341635,"('exploitative', 'cooperative')",-0.1257892,0.2334163,0.3592055
40,0.11683123,0.36480612,"('stingy', 'generous')",0.1168312,0.3648061,0.2479749
41,1.327386,1.4473108,"('unforgiving', 'forgiving')",1.327386,1.4473108,0.1199248
42,0.06558606,0.20740601,"('unreliable', 'reliable')",0.0655861,0.207406,0.1418199
43,-0.93464375,-0.81285554,"('irresponsible', 'responsible')",-0.9346437,-0.8128555,0.1217882
44,-1.2168541,-1.0262815,"('prejudiced', 'unprejudiced')",-1.2168541,-1.0262815,0.1905726
45,0.9180162,0.88891,"('incompetent', 'competent')",0.9180162,0.88891,-0.0291062
46,-0.8708121,-0.88153315,"('uncompetitive', 'competitive')",-0.8708121,-0.8815331,-0.010721
47,1.9476537,1.8724165,"('stupid', 'smart')",1.9476537,1.8724165,-0.0752372
48,-0.53156614,-0.43227264,"('unintelligent', 'intelligent')",-0.5315661,-0.4322726,0.0992935
49,-0.2772804,-0.17777552,"('unable', 'able')",-0.2772804,-0.1777755,0.0995049
50,-0.15432489,-0.25836465,"('clumsy', 'skillful')",-0.1543249,-0.2583646,-0.1040397
51,-0.352764,-0.29279688,"('uneducated', 'educated')",-0.352764,-0.2927969,0.0599671
52,0.48505944,0.3915922,"('irrational', 'rational')",0.4850594,0.3915922,-0.0934672
53,-0.7092692,-0.8668101,"('uncreative', 'creative')",-0.7092692,-0.8668101,-0.1575409
54,-0.07819224,-0.15911327,"('incapable', 'capable')",-0.0781922,-0.1591133,-0.0809211
55,0.37346974,0.57193047,"('incompetent', 'clever')",0.3734697,0.5719305,0.1984608
56,-0.37975422,-0.30668667,"('impractical', 'practical')",-0.3797542,-0.3066867,0.0730675
57,-0.26792577,-0.32800397,"('unimaginative', 'imaginative')",-0.2679258,-0.328004,-0.0600782
58,0.6265525,0.5934905,"('undiscriminating', 'discriminating')",0.6265525,0.5934905,-0.033062
59,0.15454319,0.15099749,"('foolish', 'wise')",0.1545432,0.1509975,-0.0035457
60,-1.254188,-0.8297967,"('inefficient', 'efficient')",-1.2541879,-0.8297967,0.4243912
61,-0.39808047,-0.40842077,"('illogical', 'logical')",-0.3980805,-0.4084208,-0.0103403
62,-0.15323023,0.21938792,"('incompetent', 'brilliant')",-0.1532302,0.2193879,0.3726181
63,-0.7261128,-0.61494946,"('unperceptive', 'insightful')",-0.7261128,-0.6149495,0.1111633
64,-1.8314544,-1.4785388,"('shy', 'confident')",-1.8314544,-1.4785388,0.3529156
65,-0.22314106,0.14609413,"('insecure', 'secure')",-0.2231411,0.1460941,0.3692352
66,-0.0037812516,-0.24143091,"('inactive', 'active')",-0.0037813,-0.2414309,-0.2376496
67,0.033260226,0.06514047,"('doubtful', 'determined')",0.0332602,0.0651405,0.0318803
68,-1.4252486,-1.2682058,"('dependent', 'independent')",-1.4252486,-1.2682058,0.1570428
69,0.379002,0.26855552,"('lazy', 'industrious')",0.379002,0.2685555,-0.1104465
70,-0.36946812,-0.3106888,"('lethargic', 'energetic')",-0.3694681,-0.3106888,0.0587793
71,-0.78101283,-0.7082072,"('diffident', 'self-confident')",-0.7810128,-0.7082072,0.0728056
72,-0.21365884,-0.21026897,"('unambitious', 'ambitious')",-0.2136588,-0.210269,0.0033898
73,-1.2456453,-1.0207677,"('helpless', 'self-reliant')",-1.2456453,-1.0207677,0.2248776
74,0.18267107,0.12430115,"('undedicated', 'dedicated')",0.1826711,0.1243012,-0.0583699
75,0.50681347,0.4266668,"('meek', 'impulsive')",0.5068135,0.4266668,-0.0801467
76,-0.071235746,0.20498861,"('anxious', 'daring')",-0.0712357,0.2049886,0.2762243
77,-0.6107452,-0.48487365,"('unmotivated', 'motivated')",-0.6107452,-0.4848737,0.1258715
78,-0.30468905,-0.4645707,"('nonresilient', 'resilient')",-0.304689,-0.4645707,-0.1598817
79,0.3138265,-0.08205065,"('wavering', 'unwavering')",0.3138265,-0.0820507,-0.3958772
80,0.43514928,0.4681816,"('dominated', 'dominating')",0.4351493,0.4681816,0.0330323
81,-0.38107195,-0.2341074,"('submissive', 'aggressive')",-0.381072,-0.2341074,0.1469646
82,1.1985651,1.0328074,"('poor', 'rich')",1.1985651,1.0328074,-0.1657577
83,-0.61204576,-0.8265357,"('powerless', 'powerful')",-0.6120458,-0.8265357,-0.2144899
84,0.5534938,0.5194144,"('inferior', 'superior')",0.5534938,0.5194144,-0.0340794
