,raspberry_male,raspberry_female,tuple,average_male,average_female,female-male
0,-1.0852097,-1.1745062,"('unsociable', 'sociable')",-1.0852097,-1.1745062,-0.0892965
1,0.08967677,-0.54091364,"('unfriendly', 'friendly')",0.0896768,-0.5409136,-0.6305904
2,-0.2831066,-0.3241434,"('unlikable', 'likable')",-0.2831066,-0.3241434,-0.0410368
3,-1.5296932,-1.3427906,"('repellent', 'pleasant')",-1.5296932,-1.3427906,0.1869026
4,-2.1956995,-2.2518034,"('disliked', 'liked')",-2.1956995,-2.2518034,-0.0561039
5,0.77892035,0.33470443,"('distant', 'outgoing')",0.7789204,0.3347044,-0.444216
6,0.7163479,0.23715335,"('distant', 'open')",0.7163479,0.2371534,-0.4791945
7,-1.1318271,-0.87300366,"('insensitive', 'sensitive')",-1.1318271,-0.8730037,0.2588234
8,-0.0668088,-0.2915127,"('unaffectionate', 'affectionate')",-0.0668088,-0.2915127,-0.2247039
9,-0.10058591,-0.30317476,"('unaffectionate', 'caring')",-0.1005859,-0.3031748,-0.2025889
10,-2.1158817,-1.7940952,"('unsympathetic', 'sympathetic')",-2.1158817,-1.7940952,0.3217865
11,-0.9086436,-0.56573945,"('unhelpful', 'helpful')",-0.9086436,-0.5657395,0.3429041
12,-2.497021,-2.2388728,"('unsupportive', 'supportive')",-2.497021,-2.2388728,0.2581482
13,-0.6179417,-0.63555646,"('impolite', 'polite')",-0.6179417,-0.6355565,-0.0176148
14,-1.4462752,-1.1781698,"('antisocial', 'social')",-1.4462752,-1.1781698,0.2681054
15,0.8319844,0.5765226,"('boring', 'funny')",0.8319844,0.5765226,-0.2554618
16,0.5040548,0.22789265,"('unpopular', 'popular')",0.5040548,0.2278927,-0.2761621
17,-0.047908127,-0.19957581,"('nasty', 'nice')",-0.0479081,-0.1995758,-0.1516677
18,-0.18368521,-0.3637792,"('disagreeable', 'welcoming')",-0.1836852,-0.3637792,-0.180094
19,-0.64386624,-0.8408868,"('inhospitable', 'hospitable')",-0.6438662,-0.8408868,-0.1970206
20,-0.4714259,-0.58758074,"('rough', 'thoughtful')",-0.4714259,-0.5875807,-0.1161548
21,-1.0511847,-0.82611555,"('immoral', 'moral')",-1.0511847,-0.8261155,0.2250692
22,-0.48649788,-0.3733427,"('untrustworthy', 'trustworthy')",-0.4864979,-0.3733427,0.1131552
23,0.4537702,0.5927757,"('insincere', 'sincere')",0.4537702,0.5927757,0.1390055
24,-0.47911495,-0.4120148,"('dishonest', 'honest')",-0.4791149,-0.4120148,0.0671001
