,albemarle_male,albemarle_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-1.5524545,-1.6823118,"('unsociable', 'sociable')",0.036533132,-0.088045895,-0.7579607,-0.8851788,-0.1272181
1,-1.0498718,-1.1459779,"('unfriendly', 'friendly')",1.4085591,1.1847396,0.1793436,0.0193809,-0.1599627
2,1.0272213,1.00801,"('unlikable', 'likable')",0.8264133,0.81281686,0.9268173,0.9104134,-0.0164039
3,-0.9713666,-0.819812,"('repellent', 'pleasant')",0.721415,0.8402556,-0.1249758,0.0102218,0.1351976
4,0.09579039,0.095010154,"('disliked', 'liked')",-6.9118657,-6.953415,-3.4080377,-3.4292023,-0.0211646
5,0.10226378,0.08676157,"('distant', 'outgoing')",-0.36228558,-0.40131825,-0.1300109,-0.1572783,-0.0272674
6,0.37958577,0.38001862,"('distant', 'open')",-0.3053594,-0.39715835,0.0371132,-0.0085699,-0.0456831
7,-1.1214912,-0.9505955,"('insensitive', 'sensitive')",0.552139,0.5827845,-0.2846761,-0.1839055,0.1007706
8,0.11509311,0.06676581,"('unaffectionate', 'affectionate')",1.1836331,1.0138514,0.6493631,0.5403086,-0.1090545
9,-0.5785756,-0.5631577,"('unaffectionate', 'caring')",1.3792875,1.2998569,0.4003559,0.3683496,-0.0320063
10,-1.9675686,-1.9690931,"('unsympathetic', 'sympathetic')",-0.30556667,-0.41348225,-1.1365676,-1.1912876,-0.05472
11,-1.9339963,-1.798768,"('unhelpful', 'helpful')",1.2805746,1.4426284,-0.3267109,-0.1780698,0.1486411
12,-1.021699,-0.93821913,"('unsupportive', 'supportive')",-1.818923,-1.7982497,-1.420311,-1.3682344,0.0520766
13,-1.5425256,-1.508486,"('impolite', 'polite')",-0.9389723,-0.82535255,-1.240749,-1.1669192,0.0738298
14,-0.32723728,-0.3606914,"('antisocial', 'social')",0.40397456,0.36520207,0.0383686,0.0022553,-0.0361133
