,pony_male,pony_female,tuple,average_male,average_female,female-male
0,-0.47826275,-0.42926553,"('unsociable', 'sociable')",-0.4782628,-0.4292655,0.0489973
1,1.9181033,1.9467916,"('unfriendly', 'friendly')",1.9181033,1.9467916,0.0286883
2,-0.10763028,-0.010220772,"('unlikable', 'likable')",-0.1076303,-0.0102208,0.0974095
3,0.5765626,0.76919293,"('repellent', 'pleasant')",0.5765626,0.7691929,0.1926303
4,-7.35036,-7.263838,"('disliked', 'liked')",-7.3503599,-7.2638378,0.0865221
5,0.12145284,0.31651372,"('distant', 'outgoing')",0.1214528,0.3165137,0.1950609
6,0.49751568,0.64858526,"('distant', 'open')",0.4975157,0.6485853,0.1510696
7,0.7960245,1.0062629,"('insensitive', 'sensitive')",0.7960245,1.0062629,0.2102384
8,1.5106411,1.4623553,"('unaffectionate', 'affectionate')",1.5106411,1.4623553,-0.0482858
9,1.733722,1.9043987,"('unaffectionate', 'caring')",1.733722,1.9043987,0.1706767
10,0.42254913,0.52053916,"('unsympathetic', 'sympathetic')",0.4225491,0.5205392,0.0979901
11,1.6149354,1.8014641,"('unhelpful', 'helpful')",1.6149354,1.8014641,0.1865287
12,-1.664902,-1.4261343,"('unsupportive', 'supportive')",-1.664902,-1.4261343,0.2387677
13,-0.42961064,-0.42828983,"('impolite', 'polite')",-0.4296106,-0.4282898,0.0013208
14,-0.39407396,-0.52097905,"('antisocial', 'social')",-0.394074,-0.520979,-0.126905
15,0.6064484,0.5256844,"('boring', 'funny')",0.6064484,0.5256844,-0.080764
16,-0.50730133,-0.41753286,"('unpopular', 'popular')",-0.5073013,-0.4175329,0.0897684
17,0.015238328,0.00056671724,"('nasty', 'nice')",0.0152383,0.0005667,-0.0146716
18,-0.24689463,-0.16843852,"('disagreeable', 'welcoming')",-0.2468946,-0.1684385,0.0784561
19,-0.015668754,0.19391476,"('inhospitable', 'hospitable')",-0.0156688,0.1939148,0.2095836
20,0.4310929,0.2746421,"('rough', 'thoughtful')",0.4310929,0.2746421,-0.1564508
21,-0.8208433,-0.5335227,"('immoral', 'moral')",-0.8208433,-0.5335227,0.2873206
22,-1.0909702,-0.88621616,"('untrustworthy', 'trustworthy')",-1.0909702,-0.8862162,0.204754
23,6.7200227,6.8638463,"('insincere', 'sincere')",6.7200227,6.8638463,0.1438236
24,1.3103228,1.4962301,"('dishonest', 'honest')",1.3103228,1.4962301,0.1859073
25,1.1857084,1.1008314,"('egoistic', 'altruistic')",1.1857084,1.1008314,-0.084877
26,0.9464396,0.55684435,"('hardhearted', 'benevolent')",0.9464396,0.5568444,-0.3895952
27,1.8965678,1.7894881,"('hardhearted', 'softhearted')",1.8965678,1.7894881,-0.1070797
28,1.2611824,1.2588179,"('disloyal', 'loyal')",1.2611824,1.2588179,-0.0023645
29,-0.86184305,-0.8628464,"('unfair', 'fair')",-0.861843,-0.8628464,-0.0010034
30,0.58179307,0.6608468,"('intolerant', 'tolerant')",0.5817931,0.6608468,0.0790537
31,-0.6954943,-0.702334,"('evil', 'good')",-0.6954943,-0.702334,-0.0068397
32,0.8653036,0.76873034,"('unkind', 'kind')",0.8653036,0.7687303,-0.0965733
33,-0.073116116,0.01409954,"('wrong', 'right')",-0.0731161,0.0140995,0.0872156
34,4.812644,5.1023664,"('mean', 'honorable')",4.812644,5.1023664,0.2897224
35,-0.47951755,-0.6244361,"('corrupt', 'incorrupt')",-0.4795175,-0.6244361,-0.1449186
36,-0.58120227,-0.6724823,"('hostile', 'amicable')",-0.5812023,-0.6724823,-0.09128
37,0.9357868,0.99072397,"('fake', 'genuine')",0.9357868,0.990724,0.0549372
38,0.03554737,0.13087799,"('untruthful', 'truthful')",0.0355474,0.130878,0.0953306
39,0.1267751,0.1068442,"('exploitative', 'cooperative')",0.1267751,0.1068442,-0.0199309
40,-1.255937,-1.1970217,"('stingy', 'generous')",-1.255937,-1.1970217,0.0589153
41,0.062264606,-0.13576941,"('unforgiving', 'forgiving')",0.0622646,-0.1357694,-0.198034
42,-2.9312484,-2.7091272,"('unreliable', 'reliable')",-2.9312484,-2.7091272,0.2221212
43,0.6402274,0.75737315,"('irresponsible', 'responsible')",0.6402274,0.7573732,0.1171458
44,-1.4798391,-1.7266738,"('prejudiced', 'unprejudiced')",-1.4798391,-1.7266738,-0.2468347
45,-0.4596763,-0.3380418,"('incompetent', 'competent')",-0.4596763,-0.3380418,0.1216345
46,-1.3105206,-1.1858265,"('uncompetitive', 'competitive')",-1.3105206,-1.1858265,0.1246941
47,4.6811905,4.746011,"('stupid', 'smart')",4.6811905,4.7460108,0.0648203
48,0.3755886,0.34391743,"('unintelligent', 'intelligent')",0.3755886,0.3439174,-0.0316712
49,0.10516992,0.3775099,"('unable', 'able')",0.1051699,0.3775099,0.27234
50,-0.3346946,-0.18823497,"('clumsy', 'skillful')",-0.3346946,-0.188235,0.1464596
51,0.2506646,0.43891674,"('uneducated', 'educated')",0.2506646,0.4389167,0.1882521
52,0.3272952,0.2837214,"('irrational', 'rational')",0.3272952,0.2837214,-0.0435738
53,0.37132642,0.35976806,"('uncreative', 'creative')",0.3713264,0.3597681,-0.0115583
54,1.1809795,1.483988,"('incapable', 'capable')",1.1809795,1.483988,0.3030085
55,0.2351738,0.41873145,"('incompetent', 'clever')",0.2351738,0.4187315,0.1835577
56,0.06288693,0.28173432,"('impractical', 'practical')",0.0628869,0.2817343,0.2188474
57,-2.7578444,-2.699856,"('unimaginative', 'imaginative')",-2.7578444,-2.699856,0.0579884
58,-0.058360692,0.004845865,"('undiscriminating', 'discriminating')",-0.0583607,0.0048459,0.0632066
59,0.014529411,0.1750975,"('foolish', 'wise')",0.0145294,0.1750975,0.1605681
60,-0.24446133,-0.17652108,"('inefficient', 'efficient')",-0.2444613,-0.1765211,0.0679402
61,0.08069592,0.008278195,"('illogical', 'logical')",0.0806959,0.0082782,-0.0724177
62,0.46657324,0.8225799,"('incompetent', 'brilliant')",0.4665732,0.8225799,0.3560067
63,-0.0029560383,0.2472185,"('unperceptive', 'insightful')",-0.002956,0.2472185,0.2501745
64,-7.052345,-6.788961,"('shy', 'confident')",-7.0523448,-6.7889609,0.2633839
65,-0.36673462,-0.13445282,"('insecure', 'secure')",-0.3667346,-0.1344528,0.2322818
66,-0.12281336,-0.15515448,"('inactive', 'active')",-0.1228134,-0.1551545,-0.0323411
67,-0.8014806,-0.91313493,"('doubtful', 'determined')",-0.8014806,-0.9131349,-0.1116543
68,-0.9547399,-0.6399007,"('dependent', 'independent')",-0.9547399,-0.6399007,0.3148392
69,-1.5188553,-1.5939487,"('lazy', 'industrious')",-1.5188553,-1.5939487,-0.0750934
70,0.5703446,0.78523064,"('lethargic', 'energetic')",0.5703446,0.7852306,0.214886
71,0.29638022,0.46403027,"('diffident', 'self-confident')",0.2963802,0.4640303,0.1676501
72,0.70785385,0.9071061,"('unambitious', 'ambitious')",0.7078539,0.9071061,0.1992522
73,-2.928855,-2.557744,"('helpless', 'self-reliant')",-2.9288549,-2.557744,0.3711109
74,-0.20168886,-0.15005341,"('undedicated', 'dedicated')",-0.2016889,-0.1500534,0.0516355
75,-1.0197423,-0.90441096,"('meek', 'impulsive')",-1.0197423,-0.904411,0.1153313
76,0.038994137,-0.029066509,"('anxious', 'daring')",0.0389941,-0.0290665,-0.0680606
77,-1.5787808,-1.404592,"('unmotivated', 'motivated')",-1.5787808,-1.404592,0.1741888
78,-0.8581069,-0.7702807,"('nonresilient', 'resilient')",-0.8581069,-0.7702807,0.0878262
79,0.15484169,0.24284238,"('wavering', 'unwavering')",0.1548417,0.2428424,0.0880007
80,-0.44340175,-0.41678098,"('dominated', 'dominating')",-0.4434018,-0.416781,0.0266208
81,-0.80147886,-0.7018398,"('submissive', 'aggressive')",-0.8014789,-0.7018398,0.0996391
82,6.412249,6.643078,"('poor', 'rich')",6.4122491,6.6430779,0.2308288
