,godfather_male,godfather_female,tuple,average_male,average_female,female-male
0,-0.17948319,-0.11962485,"('unsociable', 'sociable')",-0.1794832,-0.1196249,0.0598583
1,1.2538898,1.0682911,"('unfriendly', 'friendly')",1.2538898,1.0682911,-0.1855987
2,-0.008234225,0.08814339,"('unlikable', 'likable')",-0.0082342,0.0881434,0.0963776
3,0.5892148,0.6801915,"('repellent', 'pleasant')",0.5892148,0.6801915,0.0909767
4,-6.9479823,-7.072912,"('disliked', 'liked')",-6.9479823,-7.0729122,-0.1249299
5,-0.3936057,-0.5209235,"('distant', 'outgoing')",-0.3936057,-0.5209235,-0.1273178
6,0.0917252,-0.08271347,"('distant', 'open')",0.0917252,-0.0827135,-0.1744387
7,0.6700053,0.78313696,"('insensitive', 'sensitive')",0.6700053,0.783137,0.1131317
8,1.2471602,1.055481,"('unaffectionate', 'affectionate')",1.2471602,1.055481,-0.1916792
9,1.3444841,1.2772795,"('unaffectionate', 'caring')",1.3444841,1.2772795,-0.0672046
10,0.9801185,1.1730055,"('unsympathetic', 'sympathetic')",0.9801185,1.1730055,0.192887
11,1.2806,1.3341231,"('unhelpful', 'helpful')",1.2806,1.3341231,0.0535231
12,-1.6471632,-1.6421567,"('unsupportive', 'supportive')",-1.6471632,-1.6421567,0.0050065
13,-0.32801098,-0.2004042,"('impolite', 'polite')",-0.328011,-0.2004042,0.1276068
14,0.043969277,0.15954112,"('antisocial', 'social')",0.0439693,0.1595411,0.1155718
15,0.018531661,-0.07801156,"('boring', 'funny')",0.0185317,-0.0780116,-0.0965433
16,-0.55558956,-0.54388344,"('unpopular', 'popular')",-0.5555896,-0.5438834,0.0117062
17,-0.44624043,-0.40636653,"('nasty', 'nice')",-0.4462404,-0.4063665,0.0398739
18,-0.026798539,-0.13333014,"('disagreeable', 'welcoming')",-0.0267985,-0.1333301,-0.1065316
19,-0.72102004,-0.82421136,"('inhospitable', 'hospitable')",-0.72102,-0.8242114,-0.1031914
