,precision_male,precision_female,tuple,castparts_male,castparts_female,corp_male,corp_female,average_male,average_female,female-male
0,1.5442563,1.7200632,"('unsociable', 'sociable')",0.078640744,0.10723723,-0.16342236,-0.2408508,0.4864916,0.5288165,0.0423249
1,-0.6700825,-0.7980442,"('unfriendly', 'friendly')",-0.06724805,-0.008363195,1.4819806,1.4526149,0.2482167,0.2154025,-0.0328142
2,0.24843192,0.31450093,"('unlikable', 'likable')",0.061203152,0.195517,0.42451167,0.47797477,0.2447156,0.3293309,0.0846153
3,-0.16838916,0.02459122,"('repellent', 'pleasant')",-0.6333536,-0.47145802,0.60181427,0.6387291,-0.0666428,0.0639541,0.1305969
4,-0.6139396,-0.784188,"('disliked', 'liked')",-0.27022028,-0.26774648,-6.6698627,-6.892343,-2.5180076,-2.6480926,-0.130085
5,-2.0856278,-2.2543895,"('distant', 'outgoing')",-0.2138531,-0.20193961,-0.3582687,-0.4042318,-0.8859166,-0.9535203,-0.0676037
6,-2.2701569,-2.4445128,"('distant', 'open')",-0.5609701,-0.49832377,-0.4119452,-0.44634604,-1.081024,-1.1297275,-0.0487035
7,0.85998195,0.93106556,"('insensitive', 'sensitive')",-0.28354192,-0.20682369,0.024294995,0.12715721,0.200245,0.2837997,0.0835547
8,-1.1988279,-1.3816845,"('unaffectionate', 'affectionate')",-0.7532904,-0.77899367,0.7816833,0.77387154,-0.390145,-0.4622689,-0.0721239
9,0.07692242,-0.067759976,"('unaffectionate', 'caring')",-0.1193043,-0.114488125,1.1427315,1.1888152,0.3667832,0.3355224,-0.0312608
10,1.3784506,1.6101114,"('unsympathetic', 'sympathetic')",-0.643308,-0.49860382,-0.76337016,-0.6351255,-0.0094092,0.158794,0.1682032
11,0.62767315,0.78003824,"('unhelpful', 'helpful')",-0.22043905,-0.14369321,1.3939046,1.5265427,0.6003795,0.7209625,0.120583
12,1.2633996,1.4223421,"('unsupportive', 'supportive')",0.22783418,0.3801951,-2.0115848,-1.9904839,-0.1734503,-0.0626489,0.1108014
13,1.3660082,1.4543912,"('impolite', 'polite')",0.3249948,0.3441881,-0.78060573,-0.7443938,0.3034657,0.3513952,0.0479295
14,1.713563,1.8480073,"('antisocial', 'social')",0.5874801,0.5674519,-0.3745034,-0.42842242,0.6421799,0.6623456,0.0201657
15,-0.5983342,-0.76924276,"('boring', 'funny')",0.27927324,0.19121766,-0.25432888,-0.30649033,-0.1911299,-0.2948385,-0.1037086
