,micron_male,micron_female,tuple,technology_male,technology_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.0548787,-1.2891064,"('unsociable', 'sociable')",0.117916994,0.00044506788,-0.38759565,-0.55900645,-0.4415191,-0.6158892,-0.1743701
1,-1.3835617,-1.6057225,"('unfriendly', 'friendly')",-0.6868703,-0.8682058,1.6492363,1.5228934,-0.1403985,-0.3170117,-0.1766132
2,0.11915918,0.12894538,"('unlikable', 'likable')",0.5190116,0.5571614,0.69734347,0.7478221,0.4451714,0.4779763,0.0328049
3,-0.44005725,-0.24434419,"('repellent', 'pleasant')",0.33354637,0.5269246,0.09001095,0.17715004,-0.0055,0.1532435,0.1587435
4,-0.13745148,-0.20848493,"('disliked', 'liked')",-0.4763854,-0.49646115,-5.199762,-5.2190804,-1.9378662,-1.9746755,-0.0368093
5,-1.6721766,-1.701959,"('distant', 'outgoing')",-1.8028111,-1.7531905,-0.10452834,-0.026817191,-1.1931721,-1.1606556,0.0325165
6,-1.989065,-2.0176117,"('distant', 'open')",-2.1620328,-2.1263876,0.20745547,0.25057176,-1.3145475,-1.2978091,0.0167384
7,-0.2912742,-0.2520185,"('insensitive', 'sensitive')",0.49186707,0.6518207,0.5639079,0.61438906,0.2548336,0.3380638,0.0832302
8,-0.5765093,-0.7083132,"('unaffectionate', 'affectionate')",-0.54484403,-0.6263032,0.45593548,0.40475193,-0.221806,-0.3099548,-0.0881488
9,-0.69471914,-0.81564707,"('unaffectionate', 'caring')",-0.41080827,-0.44586474,0.9490382,0.9763338,-0.0521631,-0.0950593,-0.0428962
10,-1.4445537,-1.4592553,"('unsympathetic', 'sympathetic')",-0.0023606438,0.08633507,-0.6422902,-0.7300881,-0.6964015,-0.7010028,-0.0046013
11,-0.25632623,-0.23379837,"('unhelpful', 'helpful')",1.0024236,1.0319436,1.774055,1.7575047,0.8400509,0.8518833,0.0118324
12,-0.18435718,-0.17252359,"('unsupportive', 'supportive')",0.28542742,0.44263554,-1.6768116,-1.6336414,-0.5252471,-0.4545098,0.0707373
13,-0.27941376,-0.35826492,"('impolite', 'polite')",0.43365863,0.39509308,-0.2974934,-0.31353194,-0.0477495,-0.0922346,-0.0444851
14,0.49747255,0.48353902,"('antisocial', 'social')",1.942718,2.0110161,-0.5305844,-0.5586827,0.6365354,0.6452909,0.0087555
15,0.28409812,0.12724815,"('boring', 'funny')",-0.24833554,-0.34055918,0.73764986,0.68422216,0.2578042,0.1569704,-0.1008338
16,-0.19808441,-0.19356798,"('unpopular', 'popular')",-0.45487863,-0.49698326,0.7629403,0.744045,0.0366591,0.0178313,-0.0188278
17,0.29296356,0.34210712,"('nasty', 'nice')",-0.439437,-0.38099235,-0.24941912,-0.2349855,-0.1319642,-0.0912902,0.040674
18,-0.33663118,-0.34354204,"('disagreeable', 'welcoming')",-0.21528187,-0.17703265,-0.15518343,-0.1731769,-0.2356988,-0.2312505,0.0044483
