,old_male,old_female,tuple,dominion_male,dominion_female,freight_male,freight_female,line_male,line_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.382573,-1.4308163,"('unsociable', 'sociable')",-0.8994405,-0.9689891,-0.07116756,-0.07943249,1.3820506,1.4285128,0.13957705,0.05142138,-0.1663106,-0.1998607,-0.0335501
1,-1.089793,-1.2026212,"('unfriendly', 'friendly')",-0.72284544,-0.831747,0.75731134,0.74977994,-0.315402,-0.27701783,1.7622247,1.6318176,0.0782991,0.0140423,-0.0642568
2,-0.12260768,-0.08542483,"('unlikable', 'likable')",-0.20678958,-0.2101186,0.27720308,0.35670847,0.5210787,0.5858553,0.3889471,0.48627684,0.1715663,0.2266594,0.0550931
3,0.21929513,0.34847036,"('repellent', 'pleasant')",-0.32087517,-0.33809432,-0.6543699,-0.59870917,0.82758504,0.99639875,0.411672,0.51041096,0.0966614,0.1836953,0.0870339
4,0.39734685,0.32266405,"('disliked', 'liked')",0.67645764,0.6236166,-0.38164252,-0.42766368,-0.33226845,-0.4154094,-6.484082,-6.4365335,-1.2248378,-1.2666652,-0.0418274
5,-0.195984,-0.25301602,"('distant', 'outgoing')",0.41667697,0.37620464,0.3451532,0.3525228,-1.959507,-2.034462,-0.3464625,-0.35381648,-0.3480247,-0.3825134,-0.0344887
6,-0.008388452,-0.036184482,"('distant', 'open')",0.29240143,0.24716194,0.37089953,0.3396473,-1.8735152,-1.9436452,0.12064168,0.10739927,-0.2195922,-0.2571243,-0.0375321
7,0.20061785,0.19120494,"('insensitive', 'sensitive')",-0.19811921,-0.18735224,0.43137965,0.52585596,0.65587234,0.8075002,1.0942401,1.1161461,0.4367981,0.490671,0.0538729
8,-0.3745298,-0.48022348,"('unaffectionate', 'affectionate')",-0.1797864,-0.26794726,1.1191509,1.06531,-0.78690785,-0.8019422,0.79550195,0.705149,0.1146858,0.0440692,-0.0706166
9,-0.29726967,-0.35745502,"('unaffectionate', 'caring')",-0.07210011,-0.16342616,1.0986077,1.062499,-0.51579493,-0.5246625,1.3167138,1.2674922,0.3060314,0.2568895,-0.0491419
10,-0.9027488,-0.7988304,"('unsympathetic', 'sympathetic')",-0.6640309,-0.6890987,-0.83049214,-0.8526049,0.71838295,0.90315855,0.43968105,0.42984745,-0.2478416,-0.2015056,0.046336
11,-0.8417218,-0.7835098,"('unhelpful', 'helpful')",-1.1434647,-1.1109966,-0.54966605,-0.51788974,-0.3697181,-0.2432987,2.0383701,2.0345292,-0.1732401,-0.1242332,0.0490069
12,-0.1403281,-0.06958185,"('unsupportive', 'supportive')",0.47259447,0.45506975,0.5067158,0.5783851,-0.072462186,0.037703894,-1.6196404,-1.5713125,-0.1706241,-0.1139471,0.056677
13,0.1975053,0.25650355,"('impolite', 'polite')",-0.06047207,-0.020326594,-0.0032598525,0.06925756,1.6151803,1.7122048,0.07636153,0.11157416,0.365063,0.4258427,0.0607797
14,-1.1273335,-0.8864063,"('antisocial', 'social')",-0.25534716,-0.1824647,-0.14199479,0.052643716,1.1125648,1.3377281,0.073941484,0.14398862,-0.0676338,0.0930979,0.1607317
15,-0.01378349,-0.07291533,"('boring', 'funny')",0.23400407,0.24972962,0.5834546,0.55250436,-0.25774696,-0.4738071,0.49682936,0.53981274,0.2085515,0.1590649,-0.0494866
16,-0.19974604,-0.20851313,"('unpopular', 'popular')",-0.749009,-0.7442101,-0.13589647,-0.05515742,-0.06262095,-0.035558045,0.36761352,0.49733397,-0.1559318,-0.1092209,0.0467109
17,-0.5096642,-0.23940825,"('nasty', 'nice')",-0.5503814,-0.4803464,-0.22531237,-0.11605768,-0.20246224,-0.11412378,-0.38291904,-0.29611805,-0.3741478,-0.2492108,0.124937
18,-0.4405384,-0.21516469,"('disagreeable', 'welcoming')",-0.12105648,-0.10760207,-0.33263433,-0.27200443,-1.2730434,-1.1239421,-0.6346642,-0.6085041,-0.5603873,-0.4654435,0.0949438
19,-1.2361605,-1.1781259,"('inhospitable', 'hospitable')",-0.5601472,-0.53872573,-1.0003225,-1.0167757,-1.7644804,-1.8144252,-0.29391614,-0.22573887,-0.9710053,-0.9547584,0.0162469
20,-0.85156214,-0.6063363,"('rough', 'thoughtful')",-0.5664971,-0.46009946,-1.182068,-1.0339617,-0.2722603,-0.10145897,0.9814394,1.0430986,-0.3781896,-0.2317516,0.146438
21,-0.41183686,-0.37320554,"('immoral', 'moral')",-0.36454368,-0.3591089,-0.49068743,-0.46833557,0.8571348,1.0295913,-0.5789758,-0.49821246,-0.1977818,-0.1338542,0.0639276
22,-0.04391843,0.036450673,"('untrustworthy', 'trustworthy')",-0.14717183,-0.113230236,-0.8266104,-0.7737127,0.68187505,0.7646621,-0.78641486,-0.758134,-0.2244481,-0.1687928,0.0556553
