,goodrich_male,goodrich_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.0425799,-0.33903664,"('unsociable', 'sociable')",-0.25192228,-0.43287355,-0.1472511,-0.3859551,-0.238704
1,-0.74085635,-0.83135,"('unfriendly', 'friendly')",1.662433,1.5695875,0.4607883,0.3691187,-0.0916696
2,0.85228574,0.88081205,"('unlikable', 'likable')",0.73851436,0.64583427,0.7954,0.7633232,-0.0320768
3,-0.62958676,-0.46479878,"('repellent', 'pleasant')",0.8326465,0.92775214,0.1015299,0.2314767,0.1299468
4,0.64482856,0.7081679,"('disliked', 'liked')",-6.786829,-6.905249,-3.0710001,-3.0985405,-0.0275404
5,-0.0897211,-0.0031475686,"('distant', 'outgoing')",-0.111979455,-0.0065049967,-0.1008503,-0.0048263,0.096024
6,-0.89357364,-0.78153235,"('distant', 'open')",-0.25430974,-0.16596691,-0.5739417,-0.4737496,0.1001921
7,0.016765848,0.08078285,"('insensitive', 'sensitive')",0.30860275,0.39194733,0.1626843,0.2363651,0.0736808
8,-0.7149382,-0.87064785,"('unaffectionate', 'affectionate')",1.1010238,1.0332297,0.1930428,0.0812909,-0.1117519
9,0.046770908,0.024556287,"('unaffectionate', 'caring')",1.4342947,1.5330245,0.7405328,0.7787904,0.0382576
10,-0.76500225,-0.96488464,"('unsympathetic', 'sympathetic')",-0.5737452,-0.69783944,-0.6693738,-0.831362,-0.1619882
11,-0.23318544,-0.3361393,"('unhelpful', 'helpful')",1.4404131,1.669139,0.6036139,0.6664999,0.062886
12,0.30810368,0.3867619,"('unsupportive', 'supportive')",-1.9534111,-1.928989,-0.8226537,-0.7711136,0.0515401
13,-0.008745231,-0.23928913,"('impolite', 'polite')",-0.98903537,-1.0399144,-0.4988903,-0.6396018,-0.1407115
14,0.14424464,0.11016633,"('antisocial', 'social')",-0.064280994,-0.1978153,0.0399818,-0.0438245,-0.0838063
15,-0.10537851,-0.2800842,"('boring', 'funny')",0.10562323,0.08398843,0.0001224,-0.0980479,-0.0981703
16,-0.5536129,-0.49023977,"('unpopular', 'popular')",0.37214512,0.36894235,-0.0907339,-0.0606487,0.0300852
17,0.5272075,0.43466106,"('nasty', 'nice')",-0.32792297,-0.36464965,0.0996423,0.0350057,-0.0646366
18,-0.12352474,-0.053892475,"('disagreeable', 'welcoming')",-0.2579135,-0.26910117,-0.1907191,-0.1614968,0.0292223
19,-0.052425154,-0.18563904,"('inhospitable', 'hospitable')",-0.1926988,-0.1957764,-0.122562,-0.1907077,-0.0681457
20,0.41812354,0.41813657,"('rough', 'thoughtful')",1.0424696,1.020223,0.7302966,0.7191798,-0.0111168
21,0.2130745,0.06655829,"('immoral', 'moral')",-0.4818983,-0.53091794,-0.1344119,-0.2321798,-0.0977679
22,0.059639867,0.053674795,"('untrustworthy', 'trustworthy')",-0.84548193,-0.8728805,-0.392921,-0.4096029,-0.0166819
23,0.12929901,0.13485463,"('insincere', 'sincere')",5.805519,6.0367436,2.9674091,3.0857992,0.1183901
24,0.15065579,0.027261391,"('dishonest', 'honest')",0.62550527,0.7217496,0.3880805,0.3745055,-0.013575
