,conduent_male,conduent_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.27772868,-0.3832164,"('unsociable', 'sociable')",-0.3163866,-0.43663698,-0.2970576,-0.4099267,-0.1128691
1,-1.9529452,-1.9690276,"('unfriendly', 'friendly')",2.1904383,2.1014833,0.1187465,0.0662279,-0.0525186
2,0.012243023,0.08683531,"('unlikable', 'likable')",0.60207266,0.71273595,0.3071578,0.3997856,0.0926278
3,-0.8256558,-0.73480386,"('repellent', 'pleasant')",0.030188557,0.101775475,-0.3977336,-0.3165142,0.0812194
4,-0.48116428,-0.46452165,"('disliked', 'liked')",-6.2907467,-6.255468,-3.3859556,-3.3599949,0.0259607
5,-1.3680933,-1.3275013,"('distant', 'outgoing')",0.30832052,0.3269803,-0.5298864,-0.5002605,0.0296259
6,-1.7122033,-1.6700195,"('distant', 'open')",0.6393045,0.61600786,-0.5364494,-0.5270058,0.0094436
7,-0.24845544,-0.17073938,"('insensitive', 'sensitive')",0.26127252,0.32339448,0.0064085,0.0763275,0.069919
8,-1.5252316,-1.5149094,"('unaffectionate', 'affectionate')",1.0815289,1.0387571,-0.2218513,-0.2380762,-0.0162249
9,-1.6118366,-1.5736287,"('unaffectionate', 'caring')",1.3395413,1.3882933,-0.1361476,-0.0926677,0.0434799
10,-0.29488337,-0.21287641,"('unsympathetic', 'sympathetic')",-0.81606877,-0.7968873,-0.5554761,-0.5048819,0.0505942
11,0.2577399,0.32230765,"('unhelpful', 'helpful')",1.7549953,1.9199018,1.0063677,1.1211047,0.114737
12,-0.032999486,0.07429023,"('unsupportive', 'supportive')",-1.920197,-1.8596889,-0.9765983,-0.8926993,0.083899
13,0.046362355,-0.010984298,"('impolite', 'polite')",-0.565025,-0.52925956,-0.2593313,-0.2701219,-0.0107906
14,0.4747311,0.4745431,"('antisocial', 'social')",-0.71586645,-0.73560077,-0.1205677,-0.1305288,-0.0099611
15,-0.4000476,-0.4185327,"('boring', 'funny')",0.54182833,0.52530533,0.0708904,0.0533863,-0.0175041
16,-0.7877593,-0.74419874,"('unpopular', 'popular')",0.7791604,0.7350374,-0.0042995,-0.0045807,-0.0002812
17,-0.39407915,-0.32232523,"('nasty', 'nice')",-0.29502678,-0.23720136,-0.344553,-0.2797633,0.0647897
18,-0.44820663,-0.45372176,"('disagreeable', 'welcoming')",-0.07967633,-0.16668402,-0.2639415,-0.3102029,-0.0462614
