,detective_male,detective_female,tuple,average_male,average_female,female-male
0,0.2402437,0.17429537,"('unsociable', 'sociable')",0.2402437,0.1742954,-0.0659483
1,1.165583,1.1177837,"('unfriendly', 'friendly')",1.165583,1.1177837,-0.0477993
2,0.13742797,0.19842082,"('unlikable', 'likable')",0.137428,0.1984208,0.0609928
3,0.16143535,0.31822568,"('repellent', 'pleasant')",0.1614354,0.3182257,0.1567903
4,-7.5894647,-7.598448,"('disliked', 'liked')",-7.5894647,-7.5984478,-0.0089831
5,-0.56624836,-0.62475127,"('distant', 'outgoing')",-0.5662484,-0.6247513,-0.0585029
6,-0.06766881,-0.118506394,"('distant', 'open')",-0.0676688,-0.1185064,-0.0508376
7,0.62936604,0.675395,"('insensitive', 'sensitive')",0.629366,0.675395,0.046029
8,1.2238557,1.1304923,"('unaffectionate', 'affectionate')",1.2238557,1.1304923,-0.0933634
9,1.9848675,1.9520698,"('unaffectionate', 'caring')",1.9848675,1.9520698,-0.0327977
10,1.0410521,1.0423577,"('unsympathetic', 'sympathetic')",1.0410521,1.0423577,0.0013056
11,1.889532,1.9103031,"('unhelpful', 'helpful')",1.889532,1.9103031,0.0207711
12,-1.6791711,-1.6912313,"('unsupportive', 'supportive')",-1.6791711,-1.6912313,-0.0120602
13,-0.22122395,-0.23229736,"('impolite', 'polite')",-0.221224,-0.2322974,-0.0110734
14,0.05887978,0.07750059,"('antisocial', 'social')",0.0588798,0.0775006,0.0186208
15,0.24212033,0.14570305,"('boring', 'funny')",0.2421203,0.145703,-0.0964173
16,-0.1495757,-0.12665552,"('unpopular', 'popular')",-0.1495757,-0.1266555,0.0229202
17,-0.16994682,-0.14005204,"('nasty', 'nice')",-0.1699468,-0.140052,0.0298948
18,-0.58415043,-0.6183576,"('disagreeable', 'welcoming')",-0.5841504,-0.6183576,-0.0342072
19,-0.54699594,-0.56048024,"('inhospitable', 'hospitable')",-0.5469959,-0.5604802,-0.0134843
20,0.39877367,0.44353965,"('rough', 'thoughtful')",0.3987737,0.4435396,0.0447659
21,-0.32531413,-0.23924617,"('immoral', 'moral')",-0.3253141,-0.2392462,0.0860679
22,-0.37386596,-0.37208897,"('untrustworthy', 'trustworthy')",-0.373866,-0.372089,0.001777
23,6.667529,6.69082,"('insincere', 'sincere')",6.6675291,6.6908202,0.0232911
24,1.5901899,1.4736207,"('dishonest', 'honest')",1.5901899,1.4736207,-0.1165692
25,0.70805866,0.62870336,"('egoistic', 'altruistic')",0.7080587,0.6287034,-0.0793553
26,1.4299414,1.3850696,"('hardhearted', 'benevolent')",1.4299414,1.3850696,-0.0448718
27,1.1768763,1.0430752,"('hardhearted', 'softhearted')",1.1768763,1.0430752,-0.1338011
28,1.4545861,1.4092945,"('disloyal', 'loyal')",1.4545861,1.4092945,-0.0452916
29,-0.8497052,-0.9737413,"('unfair', 'fair')",-0.8497052,-0.9737413,-0.1240361
30,0.6874102,0.7522488,"('intolerant', 'tolerant')",0.6874102,0.7522488,0.0648386
31,-1.6461095,-1.654002,"('evil', 'good')",-1.6461095,-1.654002,-0.0078925
32,1.5363533,1.4699605,"('unkind', 'kind')",1.5363533,1.4699605,-0.0663928
33,-0.31584597,-0.38297045,"('wrong', 'right')",-0.315846,-0.3829705,-0.0671245
34,4.9373336,5.052941,"('mean', 'honorable')",4.9373336,5.0529408,0.1156072
35,-0.94659275,-1.0482717,"('corrupt', 'incorrupt')",-0.9465927,-1.0482717,-0.101679
36,-0.2459236,-0.30915484,"('hostile', 'amicable')",-0.2459236,-0.3091548,-0.0632312
37,0.5054971,0.4953224,"('fake', 'genuine')",0.5054971,0.4953224,-0.0101747
38,0.21509853,0.21385561,"('untruthful', 'truthful')",0.2150985,0.2138556,-0.0012429
39,-0.062541425,-0.031807892,"('exploitative', 'cooperative')",-0.0625414,-0.0318079,0.0307335
40,-2.4149265,-2.4984539,"('stingy', 'generous')",-2.4149265,-2.4984539,-0.0835274
41,0.15550238,0.13511084,"('unforgiving', 'forgiving')",0.1555024,0.1351108,-0.0203916
42,-2.9877975,-2.9689453,"('unreliable', 'reliable')",-2.9877975,-2.9689453,0.0188522
43,1.4623175,1.4480562,"('irresponsible', 'responsible')",1.4623175,1.4480562,-0.0142613
44,-1.0771377,-1.0898122,"('prejudiced', 'unprejudiced')",-1.0771377,-1.0898122,-0.0126745
45,0.063789636,0.08494534,"('incompetent', 'competent')",0.0637896,0.0849453,0.0211557
46,-0.7443498,-0.7314181,"('uncompetitive', 'competitive')",-0.7443498,-0.7314181,0.0129317
47,5.595945,5.7275863,"('stupid', 'smart')",5.5959449,5.7275863,0.1316414
48,0.17666396,0.18800375,"('unintelligent', 'intelligent')",0.176664,0.1880037,0.0113397
49,-0.3161103,-0.19997343,"('unable', 'able')",-0.3161103,-0.1999734,0.1161369
50,-0.5391577,-0.53307706,"('clumsy', 'skillful')",-0.5391577,-0.5330771,0.0060806
51,-0.20431378,-0.15064737,"('uneducated', 'educated')",-0.2043138,-0.1506474,0.0536664
52,-0.5394433,-0.6667743,"('irrational', 'rational')",-0.5394433,-0.6667743,-0.127331
53,0.17666303,0.11793484,"('uncreative', 'creative')",0.176663,0.1179348,-0.0587282
54,1.0651621,1.1110654,"('incapable', 'capable')",1.0651621,1.1110654,0.0459033
55,0.69723725,0.7323633,"('incompetent', 'clever')",0.6972373,0.7323633,0.035126
