,patterson_male,patterson_female,tuple,companies_male,companies_female,inc_male,inc_female,average_male,average_female,female-male
0,1.0284325,0.95953774,"('unsociable', 'sociable')",0.6059419,0.49172136,-0.5686102,-0.644049,0.3552547,0.26907,-0.0861847
1,-0.51636326,-0.42879307,"('unfriendly', 'friendly')",-0.41965002,-0.5654375,1.6065152,1.5693014,0.2235006,0.1916903,-0.0318103
2,0.12497361,0.14447668,"('unlikable', 'likable')",0.90948176,1.0369211,0.5844444,0.7377704,0.5396333,0.6397227,0.1000894
3,0.16658606,0.25360024,"('repellent', 'pleasant')",0.6406406,0.6029469,0.1238567,0.12381991,0.3103611,0.326789,0.0164279
4,-1.0809009,-1.1253691,"('disliked', 'liked')",-0.5012449,-0.5911376,-5.866762,-5.9010468,-2.4829693,-2.5391846,-0.0562153
5,-1.208337,-1.176606,"('distant', 'outgoing')",-1.2704957,-1.2264547,-0.36297494,-0.28536868,-0.9472692,-0.8961432,0.051126
6,-1.3130794,-1.208665,"('distant', 'open')",-1.8013235,-1.7492635,0.3087604,0.35236827,-0.9352141,-0.8685201,0.066694
7,0.8945396,0.93088263,"('insensitive', 'sensitive')",0.6619114,0.6895927,0.9465132,0.9284843,0.8343214,0.8496532,0.0153318
8,-0.30940518,-0.26219633,"('unaffectionate', 'affectionate')",-0.41864517,-0.46734315,0.5283887,0.4885334,-0.0665539,-0.0803354,-0.0137815
9,0.11080402,0.17494802,"('unaffectionate', 'caring')",0.17329147,0.10142105,1.1220726,1.143819,0.4687227,0.473396,0.0046733
10,1.0875595,1.1762507,"('unsympathetic', 'sympathetic')",0.8933004,0.8062959,0.04144045,0.011333147,0.6741001,0.6646266,-0.0094735
11,0.10365908,0.12542474,"('unhelpful', 'helpful')",0.9807255,0.9587553,2.274256,2.3276792,1.1195469,1.1372864,0.0177395
12,2.0354483,2.1527655,"('unsupportive', 'supportive')",1.4733082,1.559941,-1.1372831,-1.0461116,0.7904912,0.888865,0.0983738
13,0.30896592,0.13313203,"('impolite', 'polite')",0.93894064,0.9761604,-0.22988512,-0.29888716,0.3393405,0.2701351,-0.0692054
14,2.3570693,2.2710032,"('antisocial', 'social')",1.6160772,1.6059997,-0.56762975,-0.6178496,1.1351722,1.0863845,-0.0487877
15,-0.4112495,-0.45499182,"('boring', 'funny')",-0.5039489,-0.5651121,0.44853613,0.44738117,-0.1555541,-0.1909076,-0.0353535
