,dame_male,dame_female,tuple,average_male,average_female,female-male
0,0.49961987,0.23655862,"('unsociable', 'sociable')",0.4996199,0.2365586,-0.2630613
1,1.1671858,1.014227,"('unfriendly', 'friendly')",1.1671858,1.014227,-0.1529588
2,0.30807295,0.6002184,"('unlikable', 'likable')",0.308073,0.6002184,0.2921454
3,1.0801038,1.0016371,"('repellent', 'pleasant')",1.0801038,1.0016371,-0.0784667
4,-6.7397733,-6.616168,"('disliked', 'liked')",-6.7397733,-6.616168,0.1236053
5,-0.5676274,-0.44789797,"('distant', 'outgoing')",-0.5676274,-0.447898,0.1197294
6,-0.41114938,-0.25976953,"('distant', 'open')",-0.4111494,-0.2597695,0.1513799
7,1.0231291,0.84133416,"('insensitive', 'sensitive')",1.0231291,0.8413342,-0.1817949
8,1.0495883,1.0283941,"('unaffectionate', 'affectionate')",1.0495883,1.0283941,-0.0211942
9,1.5798595,1.7360921,"('unaffectionate', 'caring')",1.5798595,1.7360921,0.1562326
10,1.2806858,1.1926408,"('unsympathetic', 'sympathetic')",1.2806858,1.1926408,-0.088045
11,1.8232502,1.7810645,"('unhelpful', 'helpful')",1.8232502,1.7810645,-0.0421857
12,-1.415131,-1.3395742,"('unsupportive', 'supportive')",-1.415131,-1.3395742,0.0755568
13,0.7785814,0.5921862,"('impolite', 'polite')",0.7785814,0.5921862,-0.1863952
14,0.3005075,0.056843463,"('antisocial', 'social')",0.3005075,0.0568435,-0.243664
15,0.5206545,0.56234485,"('boring', 'funny')",0.5206545,0.5623448,0.0416903
16,-0.14733979,0.023480736,"('unpopular', 'popular')",-0.1473398,0.0234807,0.1708205
17,-0.10851744,0.012267187,"('nasty', 'nice')",-0.1085174,0.0122672,0.1207846
18,-0.47075632,-0.5056251,"('disagreeable', 'welcoming')",-0.4707563,-0.5056251,-0.0348688
19,-1.0057359,-0.636574,"('inhospitable', 'hospitable')",-1.0057359,-0.636574,0.3691619
20,1.0941571,0.94817203,"('rough', 'thoughtful')",1.0941571,0.948172,-0.1459851
21,0.059887595,0.14057794,"('immoral', 'moral')",0.0598876,0.1405779,0.0806903
22,0.019808173,0.069359735,"('untrustworthy', 'trustworthy')",0.0198082,0.0693597,0.0495515
23,6.2802806,6.114989,"('insincere', 'sincere')",6.2802806,6.1149888,-0.1652918
24,1.5456337,1.4443133,"('dishonest', 'honest')",1.5456337,1.4443133,-0.1013204
25,0.6445739,0.5817449,"('egoistic', 'altruistic')",0.6445739,0.5817449,-0.062829
26,0.9010776,0.8677001,"('hardhearted', 'benevolent')",0.9010776,0.8677001,-0.0333775
27,1.3746747,1.1873863,"('hardhearted', 'softhearted')",1.3746747,1.1873863,-0.1872884
28,0.93553734,0.83409286,"('disloyal', 'loyal')",0.9355373,0.8340929,-0.1014444
29,-0.7449194,-0.95834965,"('unfair', 'fair')",-0.7449194,-0.9583496,-0.2134302
30,1.0018202,0.861192,"('intolerant', 'tolerant')",1.0018202,0.861192,-0.1406282
31,-1.7638701,-1.5461835,"('evil', 'good')",-1.7638701,-1.5461835,0.2176866
32,1.3825253,1.3390406,"('unkind', 'kind')",1.3825253,1.3390406,-0.0434847
33,-0.83592725,-0.67237735,"('wrong', 'right')",-0.8359272,-0.6723773,0.1635499
34,4.68218,4.7289753,"('mean', 'honorable')",4.6821799,4.7289753,0.0467954
35,-1.1359512,-0.91451174,"('corrupt', 'incorrupt')",-1.1359512,-0.9145117,0.2214395
36,-1.0237432,-0.7661142,"('hostile', 'amicable')",-1.0237432,-0.7661142,0.257629
37,0.59689325,0.52686805,"('fake', 'genuine')",0.5968933,0.526868,-0.0700253
38,-0.4214548,-0.48540443,"('untruthful', 'truthful')",-0.4214548,-0.4854044,-0.0639496
39,0.37203252,0.33079118,"('exploitative', 'cooperative')",0.3720325,0.3307912,-0.0412413
40,-1.2553363,-1.4049919,"('stingy', 'generous')",-1.2553363,-1.4049919,-0.1496556
41,-0.15280762,-0.13590154,"('unforgiving', 'forgiving')",-0.1528076,-0.1359015,0.0169061
42,-2.0939279,-2.0329897,"('unreliable', 'reliable')",-2.0939279,-2.0329897,0.0609382
43,1.2872468,1.1273,"('irresponsible', 'responsible')",1.2872468,1.1273,-0.1599468
44,-1.2538815,-1.2000839,"('prejudiced', 'unprejudiced')",-1.2538815,-1.2000839,0.0537976
45,0.539484,0.47422993,"('incompetent', 'competent')",0.539484,0.4742299,-0.0652541
46,-0.124691874,-0.28399605,"('uncompetitive', 'competitive')",-0.1246919,-0.283996,-0.1593041
47,5.137244,5.2389283,"('stupid', 'smart')",5.1372442,5.2389283,0.1016841
48,1.0865542,0.8642967,"('unintelligent', 'intelligent')",1.0865542,0.8642967,-0.2222575
49,0.47023803,0.611345,"('unable', 'able')",0.470238,0.611345,0.141107
50,-0.09161774,0.200591,"('clumsy', 'skillful')",-0.0916177,0.200591,0.2922087
51,0.7913949,0.68713415,"('uneducated', 'educated')",0.7913949,0.6871341,-0.1042608
52,-1.0636249,-1.0410509,"('irrational', 'rational')",-1.0636249,-1.0410509,0.022574
53,0.46044558,0.44789502,"('uncreative', 'creative')",0.4604456,0.447895,-0.0125506
54,0.8495663,1.086682,"('incapable', 'capable')",0.8495663,1.086682,0.2371157
55,1.1744926,1.0060902,"('incompetent', 'clever')",1.1744926,1.0060902,-0.1684024
56,0.96525335,0.91228306,"('impractical', 'practical')",0.9652534,0.9122831,-0.0529703
57,-2.0850747,-2.1854305,"('unimaginative', 'imaginative')",-2.0850747,-2.1854305,-0.1003558
58,0.05566013,-0.10190227,"('undiscriminating', 'discriminating')",0.0556601,-0.1019023,-0.1575624
