,symptom_male,symptom_female,tuple,average_male,average_female,female-male
0,-0.6767413,-0.91746104,"('unsociable', 'sociable')",-0.6767413,-0.917461,-0.2407197
1,-1.3888488,-1.7699299,"('unfriendly', 'friendly')",-1.3888488,-1.7699299,-0.3810811
2,-0.47290134,-0.62262815,"('unlikable', 'likable')",-0.4729013,-0.6226282,-0.1497269
3,-1.6064202,-1.4593965,"('repellent', 'pleasant')",-1.6064202,-1.4593965,0.1470237
4,-0.90154785,-0.9257872,"('disliked', 'liked')",-0.9015478,-0.9257872,-0.0242394
5,-1.1767122,-1.216466,"('distant', 'outgoing')",-1.1767122,-1.216466,-0.0397538
6,-1.1004801,-1.1898576,"('distant', 'open')",-1.1004801,-1.1898576,-0.0893775
7,-0.7576852,-0.87353843,"('insensitive', 'sensitive')",-0.7576852,-0.8735384,-0.1158532
8,-0.9200036,-1.2744883,"('unaffectionate', 'affectionate')",-0.9200036,-1.2744883,-0.3544847
9,-1.0675368,-1.3911245,"('unaffectionate', 'caring')",-1.0675368,-1.3911245,-0.3235877
10,-1.2237325,-1.3626281,"('unsympathetic', 'sympathetic')",-1.2237325,-1.3626281,-0.1388956
11,0.03244654,-0.06432119,"('unhelpful', 'helpful')",0.0324465,-0.0643212,-0.0967677
12,-0.34618574,-0.49495217,"('unsupportive', 'supportive')",-0.3461857,-0.4949522,-0.1487665
13,-0.5964334,-0.6987281,"('impolite', 'polite')",-0.5964334,-0.6987281,-0.1022947
14,-0.27138513,-0.3964771,"('antisocial', 'social')",-0.2713851,-0.3964771,-0.125092
15,0.92075497,0.80645144,"('boring', 'funny')",0.920755,0.8064514,-0.1143036
16,-0.65538305,-0.657372,"('unpopular', 'popular')",-0.6553831,-0.657372,-0.0019889
17,-0.6421639,-0.5508916,"('nasty', 'nice')",-0.6421639,-0.5508916,0.0912723
18,-0.6193873,-0.73381644,"('disagreeable', 'welcoming')",-0.6193873,-0.7338164,-0.1144291
19,-1.5519942,-1.5602432,"('inhospitable', 'hospitable')",-1.5519942,-1.5602432,-0.008249
20,-0.005344528,-0.036666553,"('rough', 'thoughtful')",-0.0053445,-0.0366666,-0.0313221
21,0.030708186,0.031721584,"('immoral', 'moral')",0.0307082,0.0317216,0.0010134
22,0.5490262,0.30188423,"('untrustworthy', 'trustworthy')",0.5490262,0.3018842,-0.247142
23,-0.78329015,-0.9735123,"('insincere', 'sincere')",-0.7832901,-0.9735123,-0.1902222
24,-1.3289242,-1.6208451,"('dishonest', 'honest')",-1.3289242,-1.6208451,-0.2919209
25,-0.40464327,-0.5369257,"('egoistic', 'altruistic')",-0.4046433,-0.5369257,-0.1322824
26,1.1201303,0.7513497,"('hardhearted', 'benevolent')",1.1201303,0.7513497,-0.3687806
27,0.7478587,0.51686454,"('hardhearted', 'softhearted')",0.7478587,0.5168645,-0.2309942
28,-0.9324067,-1.2596345,"('disloyal', 'loyal')",-0.9324067,-1.2596345,-0.3272278
29,-0.4631757,-0.5140459,"('unfair', 'fair')",-0.4631757,-0.5140459,-0.0508702
30,-1.0992212,-1.2515721,"('intolerant', 'tolerant')",-1.0992212,-1.2515721,-0.1523509
31,-0.73965013,-0.77660435,"('evil', 'good')",-0.7396501,-0.7766044,-0.0369543
32,0.16890725,-0.06650068,"('unkind', 'kind')",0.1689073,-0.0665007,-0.235408
33,0.20157635,0.05630378,"('wrong', 'right')",0.2015764,0.0563038,-0.1452726
34,-0.19479197,-0.10035558,"('mean', 'honorable')",-0.194792,-0.1003556,0.0944364
35,0.25263697,0.24279644,"('corrupt', 'incorrupt')",0.252637,0.2427964,-0.0098406
36,-0.8629482,-0.91286784,"('hostile', 'amicable')",-0.8629482,-0.9128678,-0.0499196
37,-0.103306584,-0.13575645,"('fake', 'genuine')",-0.1033066,-0.1357564,-0.0324498
38,-0.9452157,-1.1243215,"('untruthful', 'truthful')",-0.9452157,-1.1243215,-0.1791058
39,0.2367162,0.0846308,"('exploitative', 'cooperative')",0.2367162,0.0846308,-0.1520854
40,-0.77554595,-0.91873235,"('stingy', 'generous')",-0.775546,-0.9187323,-0.1431863
41,-0.20711163,-0.4804287,"('unforgiving', 'forgiving')",-0.2071116,-0.4804287,-0.2733171
42,0.34487367,0.39606336,"('unreliable', 'reliable')",0.3448737,0.3960634,0.0511897
43,-0.50738305,-0.6966376,"('irresponsible', 'responsible')",-0.507383,-0.6966376,-0.1892546
44,0.10704919,0.24073546,"('prejudiced', 'unprejudiced')",0.1070492,0.2407355,0.1336863
45,-0.32477504,-0.45997423,"('incompetent', 'competent')",-0.324775,-0.4599742,-0.1351992
46,-0.30606416,-0.40750936,"('uncompetitive', 'competitive')",-0.3060642,-0.4075094,-0.1014452
47,0.29681775,0.17256308,"('stupid', 'smart')",0.2968177,0.1725631,-0.1242546
48,-0.2490934,-0.26248986,"('unintelligent', 'intelligent')",-0.2490934,-0.2624899,-0.0133965
49,-0.23655443,-0.10088388,"('unable', 'able')",-0.2365544,-0.1008839,0.1356705
50,0.4622468,0.4336415,"('clumsy', 'skillful')",0.4622468,0.4336415,-0.0286053
51,-0.65369225,-0.69730616,"('uneducated', 'educated')",-0.6536922,-0.6973062,-0.043614
52,-1.3734043,-1.604029,"('irrational', 'rational')",-1.3734043,-1.6040291,-0.2306248
53,-2.1067567,-2.368886,"('uncreative', 'creative')",-2.1067567,-2.368886,-0.2621293
54,-0.9997073,-1.0942004,"('incapable', 'capable')",-0.9997073,-1.0942004,-0.0944931
55,-0.13790578,-0.2791865,"('incompetent', 'clever')",-0.1379058,-0.2791865,-0.1412807
56,-0.0030787587,-0.058519304,"('impractical', 'practical')",-0.0030788,-0.0585193,-0.0554405
57,-0.48738563,-0.59331554,"('unimaginative', 'imaginative')",-0.4873856,-0.5933155,-0.1059299
58,0.20501271,0.072800554,"('undiscriminating', 'discriminating')",0.2050127,0.0728006,-0.1322121
59,-0.89306045,-1.0215535,"('foolish', 'wise')",-0.8930604,-1.0215535,-0.1284931
60,-0.056089237,-0.10563627,"('inefficient', 'efficient')",-0.0560892,-0.1056363,-0.0495471
61,-1.4073794,-1.681178,"('illogical', 'logical')",-1.4073794,-1.681178,-0.2737986
62,-0.2072815,-0.21555507,"('incompetent', 'brilliant')",-0.2072815,-0.2155551,-0.0082736
63,-0.5916996,-0.7521894,"('unperceptive', 'insightful')",-0.5916996,-0.7521894,-0.1604898
64,-0.9536681,-0.93861204,"('shy', 'confident')",-0.9536681,-0.938612,0.0150561
65,-0.4606475,-0.5575416,"('insecure', 'secure')",-0.4606475,-0.5575416,-0.0968941
66,-1.2536283,-1.318,"('inactive', 'active')",-1.2536283,-1.318,-0.0643717
67,-0.79251593,-0.6639075,"('doubtful', 'determined')",-0.7925159,-0.6639075,0.1286084
68,-0.8927538,-0.73565465,"('dependent', 'independent')",-0.8927538,-0.7356547,0.1570991
69,0.45103157,0.5166382,"('lazy', 'industrious')",0.4510316,0.5166382,0.0656066
70,-0.6423527,-0.82364386,"('lethargic', 'energetic')",-0.6423527,-0.8236439,-0.1812912
71,-0.07415949,-0.20272343,"('diffident', 'self-confident')",-0.0741595,-0.2027234,-0.1285639
72,-0.38997522,-0.47997218,"('unambitious', 'ambitious')",-0.3899752,-0.4799722,-0.089997
73,-0.19388604,-0.049892433,"('helpless', 'self-reliant')",-0.193886,-0.0498924,0.1439936
74,-0.3483685,-0.55852747,"('undedicated', 'dedicated')",-0.3483685,-0.5585275,-0.210159
75,0.73169655,0.9146514,"('meek', 'impulsive')",0.7316965,0.9146514,0.1829549
76,-0.72623587,-0.6447763,"('anxious', 'daring')",-0.7262359,-0.6447763,0.0814596
77,-0.27650794,-0.19006053,"('unmotivated', 'motivated')",-0.2765079,-0.1900605,0.0864474
78,1.6322552,1.591548,"('nonresilient', 'resilient')",1.6322552,1.591548,-0.0407072
79,-0.68777406,-0.70394427,"('wavering', 'unwavering')",-0.6877741,-0.7039443,-0.0161702
80,0.99492234,1.0981127,"('dominated', 'dominating')",0.9949223,1.0981127,0.1031904
